,0,1,2,type
0,Robert De Niro,,Jack Byrnes,Lead Ensemble Members
1,Ben Stiller,,Greg Focker,Lead Ensemble Members
2,Owen Wilson,,Kevin Rawley,Lead Ensemble Members
3,Blythe Danner,,Dina Byrnes,Lead Ensemble Members
4,Teri Polo,,Pam Byrnes,Lead Ensemble Members
5,Jessica Alba,,Andi,Lead Ensemble Members
6,Dustin Hoffman,,"Bernard ""Bernie"" Focker",Lead Ensemble Members
7,Barbra Streisand,,"Rosalind ""Roz"" Focker",Lead Ensemble Members
0,Laura Dern,,Prudence,Supporting Cast
1,Harvey Keitel,,Randy Weir,Supporting Cast
0,Paul Weitz,,Director,Production and Technical Credits
1,Jane Rosenthal,,Producer,Production and Technical Credits
2,Robert De Niro,,Producer,Production and Technical Credits
3,Jay Roach,,Producer,Production and Technical Credits
4,John Hamburg,,Producer,Production and Technical Credits
5,Nancy Tenenbaum,,Executive Producer,Production and Technical Credits
6,Daniel Lupi,,Executive Producer,Production and Technical Credits
7,Meghan Lyvers,,Executive Producer,Production and Technical Credits
8,Andrew Miano,,Executive Producer,Production and Technical Credits
9,Ryan Kavanaugh,,Executive Producer,Production and Technical Credits
10,John Hamburg,,Screenwriter,Production and Technical Credits
11,Larry Stuckey,,Screenwriter,Production and Technical Credits
12,Greg Glienna,,Character Creator,Production and Technical Credits
13,Mary Ruth Clarke,,Character Creator,Production and Technical Credits
14,Remi Adefarasin,,Cinematographer,Production and Technical Credits
15,William Arnold,,Production Designer,Production and Technical Credits
16,Greg Hayden,,Editor,Production and Technical Credits
17,Leslie Jones,,Editor,Production and Technical Credits
18,Myron Kerstein,,Editor,Production and Technical Credits
19,Stephen Trask,,Composer,Production and Technical Credits
