,0,1,2,type
0,Will Ferrell,,Megamind,Leading Cast
0,Tina Fey,,Roxanne Ritchi,Supporting Cast
1,Jonah Hill,,Hal/Tighten,Supporting Cast
2,David Cross,,Minion,Supporting Cast
3,Brad Pitt,,Metro Man,Supporting Cast
0,Lara Breay,,Producer,Production and Technical Credits
1,Denise Nolan Cascino,,Producer,Production and Technical Credits
2,Stuart Cornfeld,,Executive Producer,Production and Technical Credits
3,Ben Stiller,,Executive Producer,Production and Technical Credits
4,Tom McGrath,,Director,Production and Technical Credits
5,Alan Schoolcraft,,Screenwriter,Production and Technical Credits
6,Brent Simons,,Screenwriter,Production and Technical Credits
7,Michael Andrews,,Editor,Production and Technical Credits
8,Hans Zimmer,,Composer,Production and Technical Credits
9,Lorne Balfe,,Composer,Production and Technical Credits
10,David James,,Production Designer,Production and Technical Credits
11,Timothy Lamb,,Art Director,Production and Technical Credits
12,Andy Nelson,,Sound Mixer,Production and Technical Credits
13,Anna Behlmer,,Sound Mixer,Production and Technical Credits
14,Ethan Van der Ryn,,Supervising Sound Editor,Production and Technical Credits
15,Erik Aadahl,,Supervising Sound Editor,Production and Technical Credits
16,Philippe Denis,,Visual Effects Supervisor,Production and Technical Credits
17,Jason Schleifer,,Head of Animation,Production and Technical Credits
18,Catherine Yuh Rader,,Head of Story,Production and Technical Credits
19,Nol Le Meyer,,Head of Layout,Production and Technical Credits
20,Holly Edwards,,Associate Producer,Production and Technical Credits
21,Leslee Feldman,,Casting Director,Production and Technical Credits
