,0,1,2,type
0,Colin Firth,,King George VI,Leading Cast
1,Geoffrey Rush,,Lionel Logue,Leading Cast
2,Helena Bonham Carter,,Queen Elizabeth,Leading Cast
0,Guy Pearce,,King Edward VIII,Supporting Cast
1,Timothy Spall,,Winston Churchill,Supporting Cast
2,Derek Jacobi,,Archbishop Cosmo Lang,Supporting Cast
3,Jennifer Ehle,,Myrtle Logue,Supporting Cast
4,Anthony Andrews,,Stanley Baldwin,Supporting Cast
5,Claire Bloom,,Queen Mary,Supporting Cast
6,Eve Best,,Wallis Simpson,Supporting Cast
7,Michael Gambon,,George V,Supporting Cast
0,Tom Hooper,,Director,Production and Technical Credits
1,David Seidler,,Screenwriter,Production and Technical Credits
2,Iain Canning,,Producer,Production and Technical Credits
3,Emile Sherman,,Producer,Production and Technical Credits
4,Gareth Unwin,,Producer,Production and Technical Credits
5,Geoffrey Rush,,Executive Producer,Production and Technical Credits
6,Tim Smith,,Executive Producer,Production and Technical Credits
7,Paul Brett,,Executive Producer,Production and Technical Credits
8,Mark Foligno,,Executive Producer,Production and Technical Credits
9,Harvey Weinstein,,Executive Producer,Production and Technical Credits
10,Bob Weinstein,,Executive Producer,Production and Technical Credits
11,Peter Heslop,,Co-Producer,Production and Technical Credits
12,Simon Egan,,Co-Producer,Production and Technical Credits
13,Deepak Sikka,,Co-Executive Producer,Production and Technical Credits
14,Lisbeth Savill,,Co-Executive Producer,Production and Technical Credits
15,Phil Hope,,Co-Executive Producer,Production and Technical Credits
16,Danny Cohen,,Cinematographer,Production and Technical Credits
17,Tariq Anwar,,Editor,Production and Technical Credits
18,Alexandre Desplat,,Composer,Production and Technical Credits
19,Maggie Rodford,,Music Supervisor,Production and Technical Credits
20,Eve Stewart,,Production Designer,Production and Technical Credits
21,Leon McCarthy,,Art Director,Production and Technical Credits
22,Judy Farr,,Set Decorator,Production and Technical Credits
23,Jenny Beavan,,Costume Designer,Production and Technical Credits
24,John Midgley,,Sound Mixer,Production and Technical Credits
25,Paul Hamblin,,Re-recording Mixer,Production and Technical Credits
26,Lee Walpole,,Supervising Sound Editor,Production and Technical Credits
27,Mark Holt,,Special Effects Supervisor,Production and Technical Credits
28,Tom Horton,,Visual Effects Supervisor,Production and Technical Credits
29,Peter Heslop,,Line Producer,Production and Technical Credits
30,Charles Dorfman,,Associate Producer,Production and Technical Credits
31,Martin Harrison,,Assistant Director,Production and Technical Credits
32,Matt Kenzie,,Second Unit Camera,Production and Technical Credits
33,Nina Gold,,Casting Director,Production and Technical Credits
