,0,1,2,type
0,Noah Ringer,,Aang,Leading Cast
0,Dev Patel,,Zuko,Supporting Cast
1,Nicola Peltz,,Katara,Supporting Cast
2,Jackson Rathbone,,,Supporting Cast
3,Jessica Jade Andres,,Suki,Supporting Cast
0,Cliff Curtis,,,Uncategorized
0,M. Night Shyamalan,,Director,Production and Technical Credits
1,M. Night Shyamalan,,Screenwriter,Production and Technical Credits
2,Michael Dante DiMartino,,"Based on the Series ""Avatar: The Last Airbender""",Production and Technical Credits
3,Bryan Konietzko,,"Based on the series ""Avatar: The Last Airbender""",Production and Technical Credits
4,Sam Mercer,,Producer,Production and Technical Credits
5,Frank Marshall,,Producer,Production and Technical Credits
6,Kathleen Kennedy,,Executive Producer,Production and Technical Credits
7,Scott Aversano,,Executive Producer,Production and Technical Credits
8,Michael Dante DiMartino,,Executive Producer,Production and Technical Credits
9,Bryan Konietzko,,Executive Producer,Production and Technical Credits
10,Jose L. Rodriguez,,Co-Producer,Production and Technical Credits
11,Andrew Lesnie,,Cinematographer,Production and Technical Credits
12,Conrad Buff,,Editor,Production and Technical Credits
13,James Newton Howard,,Composer,Production and Technical Credits
14,Judianna Makovsky,,Costume Designer,Production and Technical Credits
15,Chris Munro,,Sound Mixer,Production and Technical Credits
16,Randy Thom,,Sound Designer,Production and Technical Credits
17,Randy Thom,,Supervising Sound Editor,Production and Technical Credits
18,Richard Hymns,,Supervising Sound Editor,Production and Technical Credits
19,Josh Gold,,Sound Effects Editor,Production and Technical Credits
20,Randy Thom,,Re-recording Mixer,Production and Technical Credits
21,Rick Kline,,Re-recording Mixer,Production and Technical Credits
22,Pablo Helman,,Visual Effects Supervisor,Production and Technical Credits
23,Tim Harrington,,Animation Supervisor,Production and Technical Credits
24,Jeff Habberstad,,Stunt Coordinator,Production and Technical Credits
25,Markos Rounthwaite,,Fight Choreographer,Production and Technical Credits
26,Ben Cooke,,Fight Choreographer,Production and Technical Credits
27,John Rusk,,Assistant Director,Production and Technical Credits
28,Douglas Aibel,,Casting Director,Production and Technical Credits
29,Richard L. Johnson,,Supervising Art Director,Production and Technical Credits
30,Jeff Habberstad,,Second Unit Director,Production and Technical Credits
