,0,1,2,type
0,Leonardo DiCaprio,,Teddy Daniels,Leading Cast
0,Mark Ruffalo,,Chuck Aule,Supporting Cast
1,Ben Kingsley,,Dr. Cawley,Supporting Cast
2,Max von Sydow,,Dr. Naehring,Supporting Cast
3,Michelle Williams,,Dolores Chanal,Supporting Cast
4,Emily Mortimer,,Rachel 1,Supporting Cast
5,Patricia Clarkson,,Rachel 2,Supporting Cast
6,Jackie Earle Haley,,George Noyce,Supporting Cast
7,Ted Levine,,Warden,Supporting Cast
8,Elias Koteas,,Laeddis,Supporting Cast
0,Martin Scorsese,,Director,Production and Technical Credits
1,Laeta Kalogridis,,Screenwriter,Production and Technical Credits
2,Dennis Lehane,,Story Creator,Production and Technical Credits
3,Mike Medavoy,,Producer,Production and Technical Credits
4,Arnold W. Messer,,Producer,Production and Technical Credits
5,Bradley J. Fischer,,Producer,Production and Technical Credits
6,Martin Scorsese,,Producer,Production and Technical Credits
7,Chris Brigham,,Executive Producer,Production and Technical Credits
8,Laeta Kalogridis,,Executive Producer,Production and Technical Credits
9,Dennis Lehane,,Executive Producer,Production and Technical Credits
10,Gianni Nunnari,,Executive Producer,Production and Technical Credits
11,Louis Phillips,,Executive Producer,Production and Technical Credits
12,Joseph Reidy,,Co-Producer,Production and Technical Credits
13,Emma Tillinger Koskoff,,Co-Producer,Production and Technical Credits
14,Amy Herman,,Co-Producer,Production and Technical Credits
15,Robert Richardson,,Cinematographer,Production and Technical Credits
16,Thelma Schoonmaker,,Editor,Production and Technical Credits
17,Robbie Robertson,,Music Supervisor,Production and Technical Credits
18,Dante Ferretti,,Production Designer,Production and Technical Credits
19,Robert Guerra,,Supervising Art Director,Production and Technical Credits
20,Christina Wilson,,Art Director,Production and Technical Credits
21,Max Bixcoe,,Art Director,Production and Technical Credits
22,Francesca Lo Schiavo,,Set Decorator,Production and Technical Credits
23,Sandy Powell,,Costume Designer,Production and Technical Credits
24,Petur Hliddal,,Sound Mixer,Production and Technical Credits
25,Philip Stockton,,Supervising Sound Editor,Production and Technical Credits
26,Eugene Gearty,,Supervising Sound Editor,Production and Technical Credits
27,Tom Fleischman,,Re-recording Mixer,Production and Technical Credits
28,Rob Legato,,Visual Effects Supervisor,Production and Technical Credits
29,R. Bruce Steinheimer,,Special Effects Coordinator,Production and Technical Credits
30,G. A. Aguilar,,Stunt Coordinator,Production and Technical Credits
31,Joseph Reidy,,Assistant Director,Production and Technical Credits
32,Rob Legato,,Second Unit Director,Production and Technical Credits
33,Rob Legato,,Second Unit Camera,Production and Technical Credits
34,Ellen Lewis,,Casting Director,Production and Technical Credits
35,Meghan Rafferty,,Casting Director,Production and Technical Credits
