,0,1,2,type
0,Johnny Depp,,Mad Hatter,Leading Cast
1,Alan Rickman,,Blue Caterpillar,Leading Cast
0,Mia Wasikowska,,Alice,Supporting Cast
1,Helena Bonham Carter,,Red Queen,Supporting Cast
2,Anne Hathaway,,White Queen,Supporting Cast
3,Crispin Glover,,Stayne - Knave of Hearts,Supporting Cast
4,Matt Lucas,,Tweedledee/Tweedledum,Supporting Cast
5,Lindsay Duncan,,Helen Kingsleigh,Supporting Cast
6,Geraldine James,,Lady Ascot,Supporting Cast
7,Tim Pigott-Smith,,Lord Ascot,Supporting Cast
8,Marton Csokas,,Charles Kingsleigh,Supporting Cast
9,Leo Bill,,Hamish,Supporting Cast
10,Frances de la Tour,,Aunt Imogene,Supporting Cast
11,Jemma Powell,,Margaret Kingsleigh,Supporting Cast
12,John Hopkins,,Lowell,Supporting Cast
13,Stephen Fry,,Cheshire Cat,Supporting Cast
14,Michael Sheen,,White Rabbit,Supporting Cast
15,Timothy Spall,,Bayard,Supporting Cast
16,Barbara Windson*,,Dormouse,Supporting Cast
17,Chistopher Lee*,,Jabberwocky,Supporting Cast
18,Michael Gough,,Dodo Bird,Supporting Cast
19,Jim Carter,,Executioner,Supporting Cast
20,Imelda Staunton,,Tall Flower Faces,Supporting Cast
21,Paul Whitehouse,,March Hare,Supporting Cast
22,Frank Welker,,Additional Vocal Effects,Supporting Cast
23,Harry Taylor,,Ship Captain,Supporting Cast
24,Richard Alonzo,,Red Queen Court: Man with Big Forehead,Supporting Cast
25,Jessica Oyelowo,,Red Queen Court: Woman with Large Poitrine,Supporting Cast
26,Joel Swetow,,Red Queen Court: Man with Large Belly,Supporting Cast
27,Lucy Davenport,,Red Queen Court: Woman with Big Ears,Supporting Cast
28,Holly Hawkins,,Red Queen Court: Woman with Large Nose,Supporting Cast
29,Mairi Ella Challen,,6-Year-Old Alice,Supporting Cast
30,Rebecca Crookshank,,Strange Woman Kisser,Supporting Cast
31,Eleanor Tomlinson,,Fiona Chattaway,Supporting Cast
32,Eleanor Gecks,,Faith Chattaway,Supporting Cast
33,Peter Mattinson,,Colleague #2,Supporting Cast
34,John Surman,,Colleague #1,Supporting Cast
35,"David ""Elsewhere"" Bernal",,Hatter Futterwacken Dance Double,Supporting Cast
36,Chris Grabher,,Hightopp Hat Juggler,Supporting Cast
37,Bonnie Parker,,Party Dancer,Supporting Cast
0,Ethan Cohn,,Red Queen Court: Man with Large Chin,Cameos
0,Tim Burton,,Director,Production and Technical Credits
1,Linda Woolverton,,Screenwriter,Production and Technical Credits
2,Richard D. Zanuck,,Producer,Production and Technical Credits
3,Suzanne Todd,,Producer,Production and Technical Credits
4,Jennifer Todd,,Producer,Production and Technical Credits
5,Joe Roth,,Producer,Production and Technical Credits
6,Peter Tobyansen,,Executive Producer,Production and Technical Credits
7,Chris Lebenzon,,Executive Producer,Production and Technical Credits
8,Katterli Frauenfelder,,Co-Producer,Production and Technical Credits
9,Tom Peitzman,,Co-Producer,Production and Technical Credits
10,Dariusz Wolski,,Cinematographer,Production and Technical Credits
11,Chris Lebenzon,,Editor,Production and Technical Credits
12,Danny Elfman,,Composer,Production and Technical Credits
13,Robert Stromberg,,Production Designer,Production and Technical Credits
14,Stefan Dechant,,Supervising Art Director,Production and Technical Credits
15,Andrew Nicholson,,Supervising Art Director,Production and Technical Credits
16,Todd Cherniawsky,,Art Director,Production and Technical Credits
17,Andrew L. Jones,,Art Director,Production and Technical Credits
18,Mike Stassi,,Art Director,Production and Technical Credits
19,Christina Wilson,,Art Director,Production and Technical Credits
20,Timothy Browning,,Art Director,Production and Technical Credits
21,C. Scott Baker,,Set Designer,Production and Technical Credits
22,Jackson Bishop,,Set Decorator,Production and Technical Credits
23,Jackson Bishop,,Set Designer,Production and Technical Credits
24,Tammy Lee,,Set Decorator,Production and Technical Credits
25,Tammy Lee,,Set Designer,Production and Technical Credits
26,Jeff Markwith,,Set Decorator,Production and Technical Credits
27,Jeff Markwith,,Set Designer,Production and Technical Credits
28,Richard Mays,,Set Decorator,Production and Technical Credits
29,Richard Mays,,Set Designer,Production and Technical Credits
30,David Moreau,,Set Decorator,Production and Technical Credits
31,David Moreau,,Set Designer,Production and Technical Credits
32,Annie Porter,,Set Decorator,Production and Technical Credits
33,Annie Porter,,Set Designer,Production and Technical Credits
34,Karen O'Hara,,Set Decorator,Production and Technical Credits
35,Peter Young,,Set Decorator,Production and Technical Credits
36,Colleen Atwood,,Costume Designer,Production and Technical Credits
37,William B. Kaplan,,Sound Mixer,Production and Technical Credits
38,Steve Boeddeker,,Sound Designer,Production and Technical Credits
39,Steve Boeddeker,,Supervising Sound Editor,Production and Technical Credits
40,David Evans,,Supervising Sound Editor,Production and Technical Credits
41,Michael Semanick,,Re-recording Mixer,Production and Technical Credits
42,Tom Johnson,,Re-recording Mixer,Production and Technical Credits
43,Ken Ralston,,Visual Effects Supervisor,Production and Technical Credits
44,Sean Phillips,,Visual Effects Supervisor,Production and Technical Credits
45,Carey Villegas,,Visual Effects Supervisor,Production and Technical Credits
46,David Schaub,,Animation Supervisor,Production and Technical Credits
47,Valli O'Reilly,,Make-up and Hair Designer,Production and Technical Credits
48,Mary Richards,,Line Producer,Production and Technical Credits
49,Derek Frey,,Associate Producer,Production and Technical Credits
