,0,1,2,type
0,"Robert Downey, Jr.",,Tony Stark,Lead Ensemble Members
1,Gwyneth Paltrow,,Pepper Potts,Lead Ensemble Members
2,Don Cheadle,,"Lt. Col. James ""Rhodey"" Rhodes",Lead Ensemble Members
3,Scarlett Johansson,,Natalie Rushman/Natasha Romanoff,Lead Ensemble Members
4,Mickey Rourke,,Ivan Vanko,Lead Ensemble Members
0,Sam Rockwell,,Justin Hammer,Supporting Cast
1,Clark Gregg,,Agent Coulson,Supporting Cast
2,John Slattery,,Howard Stark,Supporting Cast
3,Samuel L. Jackson,,Nick Fury,Supporting Cast
4,Garry Shandling,,Senator Stern,Supporting Cast
5,Paul Bettany,,Jarvis,Supporting Cast
6,Kate Mara,,U.S. Marshal,Supporting Cast
7,Leslie Bibb,,Christine Everhart,Supporting Cast
8,Jon Favreau,,Happy Hogan,Supporting Cast
9,Philippe Bergeron,,Detective Lemieux,Supporting Cast
10,James Bethea,,Security Force,Supporting Cast
11,Michael Bruno,,Security Force,Supporting Cast
12,Katie Clark,,Expo Fan,Supporting Cast
13,Luminita Docan,,Russian Newscaster,Supporting Cast
14,Francois Duhamel,,French Photographer,Supporting Cast
15,Tim Guinee,,Major Allen,Supporting Cast
16,Eric L. Haney,,General Meade,Supporting Cast
17,Ali Khan,,10 Rings Gangster,Supporting Cast
18,Eugene Lazarev,,Anton Vanko,Supporting Cast
19,Isaiah Guyman Martin IV,,AV Operator,Supporting Cast
20,Helena Mattsson,,Rebecca,Supporting Cast
21,Keith Middlebrook,,Expo Cop,Supporting Cast
22,Anya Monzikova,,Rebeka,Supporting Cast
23,Margy Moore,,Bambi Arbogast,Supporting Cast
24,Olivia Munn,,Chess Roberts,Supporting Cast
25,Alejandro Patino,,Strawberry Vendor,Supporting Cast
26,Davin Ransom,,Young Tony Stark,Supporting Cast
27,Karim Saleh,,Guard,Supporting Cast
28,Brian Schaeffer,,Hammer Expo Tech,Supporting Cast
29,Phillipe Simon,,French Waiter,Supporting Cast
30,Jack White,,Jack,Supporting Cast
0,Christiane Amanpour,,Herself,Cameos
1,Larry Ellison,,Himself,Cameos
2,"Adam \""DJ AM\"" Goldstein",,Himself,Cameos
3,Stan Lee,,Himself,Cameos
4,Elon Musk,,Himself,Cameos
5,Bill O'Reilly,,Himself,Cameos
0,Jon Favreau,,Director,Production and Technical Credits
1,Justin Favreau,,Screenwriter,Production and Technical Credits
2,Kevin Feige,,Producer,Production and Technical Credits
3,Alan Fine,,Executive Producer,Production and Technical Credits
4,Stan Lee,,Executive Producer,Production and Technical Credits
5,David Maisel,,Executive Producer,Production and Technical Credits
6,Denis L. Stewart,,Executive Producer,Production and Technical Credits
7,Louis D’Esposito,,Executive Producer,Production and Technical Credits
8,Jon Favreau,,Executive Producer,Production and Technical Credits
9,Susan Downey,,Executive Producer,Production and Technical Credits
10,Jeremy Latcham,,Co-Producer,Production and Technical Credits
11,Victoria Alonso,,Co-Producer,Production and Technical Credits
12,Stan Lee,,Based on the Marvel comicbook by,Production and Technical Credits
13,Don Heck,,Based on the Marvel comicbook by,Production and Technical Credits
14,Larry Lieber,,Based on the Marvel comicbook by,Production and Technical Credits
15,Jack Kirby,,Based on the Marvel comicbook by,Production and Technical Credits
16,Matthew Libatique,,Cinematographer,Production and Technical Credits
17,Richard Pearson,,Editor,Production and Technical Credits
18,Dan Lebental,,Editor,Production and Technical Credits
19,J. Michael Riva,,Production Designer,Production and Technical Credits
20,John Debney,,Composer,Production and Technical Credits
21,Dave Jordan,,Music Supervisor,Production and Technical Credits
22,David Klassen,,Supervising Art Director,Production and Technical Credits
23,Suzan Wexler,,Art Director,Production and Technical Credits
24,Michael E. Goldman,,Art Director,Production and Technical Credits
25,Lauri Gaffin,,Set Decorator,Production and Technical Credits
26,Ernie Avila,,Set Designer,Production and Technical Credits
27,Mary Zophres,,Costume Designer,Production and Technical Credits
28,Mark Ulano,,Sound,Production and Technical Credits
29,Frank Eulner,,Supervising Sound Editor,Production and Technical Credits
30,Christopher Boyes,,Supervising Sound Editor,Production and Technical Credits
31,Christopher Boyes,,Sound Designer,Production and Technical Credits
32,Janek Sirrs,,Visual Effects Supervisor,Production and Technical Credits
33,Ben Snow,,Visual Effects Supervisor,Production and Technical Credits
34,Marc Chu,,Animation Supervisor,Production and Technical Credits
35,Shane Patrick Mahan,,Physical Suit Effects Supervisor,Production and Technical Credits
36,Thomas Robinson Harper,,Stunt Coordinator,Production and Technical Credits
37,Eric N. Heffron*,,Associate Producer,Production and Technical Credits
38,Karen Johnson,,Associate Producer,Production and Technical Credits
39,Eric N. Heffron*,,Assistant Director,Production and Technical Credits
40,Jonathan Taylor,,Second Unit Director,Production and Technical Credits
41,Sarah Halley Finn,,Casting,Production and Technical Credits
42,Randi Hiller,,Casting,Production and Technical Credits
43,Chris Castaldi,,Second Assistant Director,Production and Technical Credits
