,0,1,2,type
0,Emma Watson,,Hermione Granger,Leading Cast
1,Daniel Radcliffe,,Harry Potter,Leading Cast
2,Rupert Grint,,Ron Weasley,Leading Cast
3,Ralph Fiennes,,Lord Voldemort,Leading Cast
0,Bill Nighy,,Rufus Scrimgeour,Supporting Cast
1,Richard Griffiths,,Vernon Dursley,Supporting Cast
2,Harry Melling,,Dudley Dursley,Supporting Cast
3,Julie Walters,,Molly Weasley,Supporting Cast
4,Bonnie Wright,,Ginny Weasly,Supporting Cast
5,Ian Kelly,,Hermione's Dad,Supporting Cast
6,Michelle Fairley,,Hermione's Mum,Supporting Cast
7,Fiona Shaw,,Petunia Dursley,Supporting Cast
8,Alan Rickman,,Professor Severus Snape,Supporting Cast
9,Carolyn Pickles,,Charity Burbage,Supporting Cast
10,Helena Bonham Carter,,Bellatrix Lestrange,Supporting Cast
11,Helen McCrory,,Narcissa Malfoy,Supporting Cast
12,Jason Isaacs,,Lucius Malfoy,Supporting Cast
13,Tom Felton,,Draco Malfoy,Supporting Cast
14,Timothy Spall,,Wormtail,Supporting Cast
15,Graham Duff,,Death Eater,Supporting Cast
16,Peter Mullan,,Yaxley,Supporting Cast
17,Guy Henry,,Pius Thicknesse,Supporting Cast
18,Arben Bajraktaraj,,Dolohov,Supporting Cast
19,Ron Hunt,,Thorfinn Rowle,Supporting Cast
20,Chris Rankin,,Percy Weasley,Supporting Cast
21,Suzanne Toase,,Alecto Carrow,Supporting Cast
22,Ralph Ineson,,Amycus Carrow,Supporting Cast
23,Adrian Annis,,Death Eater,Supporting Cast
24,Emil Hostina,,Death Eater,Supporting Cast
25,Paul Khanna,,Death Eater,Supporting Cast
26,Richard Strange,,Death Eater,Supporting Cast
27,Anthony John Crocker,,Death Eater,Supporting Cast
28,Peter G. Reed,,Death Eater,Supporting Cast
29,Granville Saxton,,Death Eater,Supporting Cast
30,Judith Sharp,,Death Eater,Supporting Cast
31,Ashley McGuire,,Death Eater,Supporting Cast
32,Penelope McGhie,,Death Eater,Supporting Cast
33,Bob Yves Van Hellenberg Hubar,,Death Eater,Supporting Cast
34,Tony Kirwood,,Death Eater,Supporting Cast
35,Michael Gambon,,Professor Albus Dumbledore,Supporting Cast
36,David Ryall,,Elphias Doge,Supporting Cast
37,Robbie Coltrane,,Rugeus Hagrid,Supporting Cast
38,Brendan Gleeson,,Alastor 'Mad Eye' Moody,Supporting Cast
39,James Phelps,,Fred Weasley,Supporting Cast
40,Oliver Phelps,,George Weasley,Supporting Cast
41,Mark Williams,,Arthur Weasley,Supporting Cast
42,George Harris,,Kingsley Shacklebolt,Supporting Cast
43,Andy Linden,,Mindungus Fletcher,Supporting Cast
44,Domhnall Gleeson,,Bill Weasley,Supporting Cast
45,Clémence Poésy,,Fleur Delacour,Supporting Cast
46,Natalia Tena,,Nymphadora Tonks,Supporting Cast
47,David Thewlis,,Remus Lupin,Supporting Cast
48,John Hurt,,Ollivander,Supporting Cast
49,Frances de la Tour,,Madame Maxime,Supporting Cast
50,Evanna Lynch,,Luna Lovegood,Supporting Cast
51,Rhys Ifans,,Xenophilius Lovegood,Supporting Cast
52,Matyelok Gibbs,,Auntie Muriel,Supporting Cast
53,Eva Alexander,,Waitress,Supporting Cast
54,Simon McBurney,,Kreacher,Supporting Cast
55,Matthew Lewis,,Neville Longbottom,Supporting Cast
56,Jon Campling,,Death Eater,Supporting Cast
