,0,1,2,type
0,Leonardo DiCaprio,,Cobb,Leading Cast
1,Joseph Gordon-Levitt,,Arthur,Leading Cast
2,Elliot Page,,Ariadne,Leading Cast
0,Tom Hardy,,Eames,Supporting Cast
1,Ken Watanabe,,Saito,Supporting Cast
2,Dileep Rao,,Yusuf,Supporting Cast
3,Cillian Murphy,,"Robert Fischer, Jr",Supporting Cast
4,Tom Berenger,,Browning,Supporting Cast
5,Marion Cotillard,,Mal,Supporting Cast
6,Pete Postlethwaite,,Maurice Fischer,Supporting Cast
7,Michael Caine,,Miles,Supporting Cast
8,Lukas Haas,,Nash,Supporting Cast
9,Tai-Li Lee,,Tadashi,Supporting Cast
10,Claire Geare,,Phillipa (3 years),Supporting Cast
11,Magnus Nolan,,James (20 months),Supporting Cast
12,Taylor Geare,,Phillipa (5 years),Supporting Cast
13,Johnathan,,James (3 years),Supporting Cast
14,Tohoru Masamune,,Japanese Security Guard,Supporting Cast
15,Yuji Okumoto,,Satio's attendant,Supporting Cast
16,Earl Cameron,,Elderly Bald Man,Supporting Cast
17,Ryan Hayward,,Lawyer,Supporting Cast
18,Miranda Nolan,,Flight Attendant,Supporting Cast
19,Russ Fega,,Cab Driver,Supporting Cast
20,Tim Kelleher,,Thin Man,Supporting Cast
21,Talulah Riley,,Blond,Supporting Cast
22,Nicolas Cleric,,Bridge Sub Cons,Supporting Cast
23,Coralie Dedykere,,Bridge Sub Cons,Supporting Cast
24,Silvie Laguna,,Bridge Sub Cons,Supporting Cast
25,Virgile Bramly,,Bridge Sub Cons,Supporting Cast
26,Jean-Michel Dagory,,Bridge Sub Cons,Supporting Cast
27,Helena Cullinan,,Penrose Sub Cons,Supporting Cast
28,Mark Fleischmann,,Penrose Sub Cons,Supporting Cast
29,Shelly Lang,,Penrose Sub Cons,Supporting Cast
30,Adam Cole,,Bar Sub Cons,Supporting Cast
31,Kraig Thornber,,Bar Sub Cons,Supporting Cast
32,Jack Murry,,Bar Sub Cons,Supporting Cast
33,Angela Nathenson,,Bar Sub Cons,Supporting Cast
34,Natasha Beaumont,,Bar Sub Cons,Supporting Cast
35,Marc Raducci,,Lobby Sub Cons,Supporting Cast
36,Carl Gilliard,,Lobby Sub Cons,Supporting Cast
37,Jill Maddrell,,Lobby Sub Cons,Supporting Cast
38,Alex Lombard,,Lobby Sub Cons,Supporting Cast
39,Nichole Pulliam,,Lobby Sub Cons,Supporting Cast
40,Peter Basham,,Fischer's Jet Captain,Supporting Cast
41,Michael Gaston,,Immigration Officer,Supporting Cast
42,Felix Scott,,Businessman,Supporting Cast
43,Andrew Pleavin,,Businessman,Supporting Cast
44,Lisa Reynolds,,Private Nurse,Supporting Cast
45,Jason Tendell,,Fischer's Driver,Supporting Cast
46,Jack Gilroy,,Old Cobb,Supporting Cast
47,Shannon Welles,,Old Mal,Supporting Cast
0,Christopher Nolan,,Director,Production and Technical Credits
1,Christopher Nolan,,Screenwriter,Production and Technical Credits
2,Emma Thomas,,Producer,Production and Technical Credits
3,Christopher Nolan,,Producer,Production and Technical Credits
4,Chris Brigham,,Executive Producer,Production and Technical Credits
5,Thomas Tull,,Executive Producer,Production and Technical Credits
6,Wally Pfister,,Cinematographer,Production and Technical Credits
7,Guy Hendrix Dyas,,Production Designer,Production and Technical Credits
8,Lee Smith,,Editor,Production and Technical Credits
9,Hans Zimmer,,Composer,Production and Technical Credits
10,Brad Ricker,,Supervising Art Director,Production and Technical Credits
11,Luke Freeborn,,Art Director,Production and Technical Credits
12,Dean Wilcott,,Art Director,Production and Technical Credits
13,Mark Hitchler,,Set Designer,Production and Technical Credits
14,Greg Hooper,,Set Designer,Production and Technical Credits
15,Larry Hubbs,,Set Designer,Production and Technical Credits
16,Robert Fechtman,,Set Designer,Production and Technical Credits
17,Sam Page,,Set Designer,Production and Technical Credits
18,Larry Dias,,Set Decorator,Production and Technical Credits
19,Doug Mowat,,Set Decorator,Production and Technical Credits
20,Jeffrey Kurland,,Costume Designer,Production and Technical Credits
21,Ed Novick,,Sound Mixer,Production and Technical Credits
22,Richard King,,Sound Designer,Production and Technical Credits
23,Richard King,,Supervising Sound Editor,Production and Technical Credits
24,Lora Hirschberg,,Re-recording Mixer,Production and Technical Credits
25,Gary A. Rizzo,,Re-recording Mixer,Production and Technical Credits
26,Paul Franklin,,Visual Effects Supervisor,Production and Technical Credits
27,Nilo Otero,,Assistant Director,Production and Technical Credits
28,Chris Corbould,,Special Effects Supervisor,Production and Technical Credits
