,0,1,2,type
0,Steve Carell,,Gru,Leading Cast
1,Miranda Cosgrove,,Margo,Leading Cast
2,Dana Gaier,,Edith,Leading Cast
3,Elsie Fisher,,Agnes,Leading Cast
0,Jason Segel,,Vector,Supporting Cast
1,Russell Brand,,Dr. Nefario,Supporting Cast
2,Julie Andrews,,Gru's Mom,Supporting Cast
3,Will Arnett,,Mr. Perkins,Supporting Cast
4,Kristen Wiig,,Miss Hattie,Supporting Cast
5,Pierre Coffin,,"Minions Tim, Bob, Mark, Phil, Stuart",Supporting Cast
6,Chris Renaud,,Dave the Minion,Supporting Cast
7,Jemaine Clement,,Jerry the Minion,Supporting Cast
8,Jack McBrayer,,"Carnival Barker, Tourist Dad",Supporting Cast
9,Danny McBride,,Fred McDade,Supporting Cast
10,Mindy Kaling,,Tourist Mom,Supporting Cast
11,Rob Huebel,,Anchorman,Supporting Cast
12,Ken Duario,,Egyptian Guard,Supporting Cast
13,Ken Jeong,,Talk Show Host,Supporting Cast
14,Charles Bright,,Additional Voice,Supporting Cast
15,Katie Leigh,,Additional Voice,Supporting Cast
0,Chris Renaud,,Director,Production and Technical Credits
1,Pierre Coffin,,Director,Production and Technical Credits
2,Christopher Meledandri,,Producer,Production and Technical Credits
3,Janet Healy,,Producer,Production and Technical Credits
4,John Cohen,,Producer,Production and Technical Credits
5,Nina Rowan,,Executive Producer,Production and Technical Credits
6,Sergio Pablos,,Executive Producer,Production and Technical Credits
7,Cinco Paul,,Screenwriter,Production and Technical Credits
8,Ken Daurio,,Screenwriter,Production and Technical Credits
9,Yarrow Cheney,,Production Designer,Production and Technical Credits
10,Pam Ziegenhagen-Shefland,,Editor,Production and Technical Credits
11,Gregory Perler,,Editor,Production and Technical Credits
12,Pharrell Williams,,Composer,Production and Technical Credits
13,Heitor Pereira,,Composer,Production and Technical Credits
14,Sergio Pablos,,Story Creator,Production and Technical Credits
15,Hans Zimmer,,Composer,Production and Technical Credits
16,Pharrell Williams,,Original Songs and Themes,Production and Technical Credits
17,Hans Zimmer,,Music Producer,Production and Technical Credits
18,Kathy Nelson,,Music Supervisor,Production and Technical Credits
19,Eric Guillon,,Art Director,Production and Technical Credits
20,Carter Goodrich,,Character Designer,Production and Technical Credits
21,Robert Taylor,,Associate Producer,Production and Technical Credits
22,Christelle Balcon,,Production Supervisor,Production and Technical Credits
