,0,1,2,type
0,Mike Myers,,Shrek,Leading Cast
1,Eddie Murphy,,Donkey,Leading Cast
2,Cameron Diaz,,Princess Fiona,Leading Cast
3,Antonio Banderas,,Puss-in-Boots,Leading Cast
0,Julie Andrews,,Queen Lillian,Supporting Cast
1,John Cleese,,King,Supporting Cast
2,Walt Dohrn,,Rumpelstiltskin,Supporting Cast
3,Lake Bell,,,Supporting Cast
4,Jane Lynch,,,Supporting Cast
5,Jon Hamm,,,Supporting Cast
6,Chris Miller,,Royal Messenger/Magic Mirror/Geppetto,Supporting Cast
0,Mike Mitchell,,Director,Production and Technical Credits
1,Teresa Cheng,,Producer,Production and Technical Credits
2,Gina Shay,,Producer,Production and Technical Credits
3,Aron Warner,,Executive Producer,Production and Technical Credits
4,Andrew Adamson,,Executive Producer,Production and Technical Credits
5,John H. Williams,,Executive Producer,Production and Technical Credits
6,Patty Kaku-Bueb,,Associate Producer,Production and Technical Credits
7,Josh Klausner,,Screenwriter,Production and Technical Credits
8,Darren Lemke,,Screenwriter,Production and Technical Credits
9,William Steig,,Screenwriter,Production and Technical Credits
10,Yong Duk Jhun,,Cinematographer,Production and Technical Credits
11,Nick Fletcher,,Editor,Production and Technical Credits
12,Peter Zazlav,,Production Designer,Production and Technical Credits
13,Jason Reisig,,Character Supervisor,Production and Technical Credits
14,Max Boas,,Art Director,Production and Technical Credits
15,Michael Andrew Hernandez,,Art Director,Production and Technical Credits
16,Harry Gregson-Williams,,Composer,Production and Technical Credits
