,0,1,2,type
0,Jay Baruchel,,Hiccup,Leading Cast
0,Gerard Butler,,Stoick,Supporting Cast
1,Craig Ferguson,,Gobber,Supporting Cast
2,America Ferrera,,Astrid,Supporting Cast
3,Jonah Hill,,Snotlout,Supporting Cast
4,Christopher Mintz-Plasse,,Fishlegs,Supporting Cast
5,T.J. Miller,,Tuffnut,Supporting Cast
6,Kristen Wiig,,Ruffnut,Supporting Cast
0,Chris Sanders,,Director,Production and Technical Credits
1,Dean DeBlois,,Director,Production and Technical Credits
2,Chris Sanders,,Screenwriter,Production and Technical Credits
3,Dean DeBlois,,Screenwriter,Production and Technical Credits
4,Bonnie Arnold,,Producer,Production and Technical Credits
5,Kristine Belson,,Executive Producer,Production and Technical Credits
6,Tim Johnson,,Executive Producer,Production and Technical Credits
7,Karen Foster,,Co-Producer,Production and Technical Credits
8,Doug Davison,,Co-Producer,Production and Technical Credits
9,Roy Lee,,Co-Producer,Production and Technical Credits
10,Michael Connelly,,Co-Producer,Production and Technical Credits
11,Darren Holmes,,Editor,Production and Technical Credits
12,Maryann Brandon,,Editor,Production and Technical Credits
13,Kathy Altieri,,Production Designer,Production and Technical Credits
14,John Powell,,Composer,Production and Technical Credits
15,Pierre-Olivier Vincent,,Art Director,Production and Technical Credits
16,Craig Ring,,Visual Effects Supervisor,Production and Technical Credits
17,Simon Otto,,Head of Animation,Production and Technical Credits
18,Alessandro Carloni,,Head of Story,Production and Technical Credits
19,Gil Zimmerman,,Head of Layout,Production and Technical Credits
20,Nico Marlet,,Character Designer,Production and Technical Credits
21,Randy Thom,,Sound Designer,Production and Technical Credits
22,Randy Thom,,Supervising Sound Editor,Production and Technical Credits
23,Jonathan Null,,Supervising Sound Editor,Production and Technical Credits
24,Josh Gold,,Sound Effects Editor,Production and Technical Credits
25,Bruce Seifert,,Associate Producer,Production and Technical Credits
26,Leslee Feldman,,Casting Director,Production and Technical Credits
