,0,1,2,type
0,Zachary Levi,,Flynn Rider,Leading Cast
1,Mandy Moore,,Rapunzel,Leading Cast
0,Donna Murphy,,Mother Gothel,Supporting Cast
1,Bob Bergen,,Additional Voice,Supporting Cast
0,Nathan Greno,,Director,Production and Technical Credits
1,Byron Howard,,Director,Production and Technical Credits
2,Dan Fogelman,,Screenwriter,Production and Technical Credits
3,Roy Conli,,Producer,Production and Technical Credits
4,John Lasseter,,Executive Producer,Production and Technical Credits
5,Glen Keane,,Executive Producer,Production and Technical Credits
6,Tim Mertens,,Editor,Production and Technical Credits
7,Alan Menken,,Composer,Production and Technical Credits
8,Alan Menken,,Song Writer,Production and Technical Credits
9,Glenn Slater,,Song Writer,Production and Technical Credits
10,Tom MacDougall,,Music Supervisor,Production and Technical Credits
11,Douglas Roger,,Production Designer,Production and Technical Credits
12,David Goetz,,Art Director,Production and Technical Credits
13,Dan Cooper,,Art Director,Production and Technical Credits
14,Steve Goldberg,,Visual Effects Supervisor,Production and Technical Credits
15,Mark Kennedy,,Head of Story,Production and Technical Credits
16,Scott Beattie,,Head of Layout,Production and Technical Credits
17,Mark Hammel,,Technical Supervisor,Production and Technical Credits
18,Glen Keane,,Animation Supervisor,Production and Technical Credits
19,John Kahrs,,Animation Supervisor,Production and Technical Credits
20,Clay Kaytis,,Animation Supervisor,Production and Technical Credits
21,Lino Di Salvo,,Supervising Animator,Production and Technical Credits
22,Mark Mitchell,,Supervising Animator,Production and Technical Credits
23,Cameron Frankley,,Sound Designer,Production and Technical Credits
24,David E. Fluhr,,Re-recording Mixer,Production and Technical Credits
25,Dean A. Zupancic,,Re-recording Mixer,Production and Technical Credits
26,Aimee Scribner,,Associate Producer,Production and Technical Credits
27,Jamie Sparer Roberts,,Casting Director,Production and Technical Credits
28,Lee Gilmore,,Foley Editor,Production and Technical Credits
