,0,1,2,type
0,Ralph Fiennes,,Lord Voldemort,Leading Cast
1,Daniel Radcliffe,,Harry Potter,Leading Cast
2,Rupert Grint,,Ron Weasley,Leading Cast
3,Emma Watson,,Hermione Granger,Leading Cast
0,Michael Gambon,,Albus Dumbledore,Supporting Cast
1,Alan Rickman,,Severus Snape,Supporting Cast
2,Evanna Lynch,,Luna Lovegood,Supporting Cast
3,Domhnall Gleeson,,Bill Weasley,Supporting Cast
4,John Hurt,,Ollivander,Supporting Cast
5,Helena Bonham Carter,,Bellatrix Lestrange,Supporting Cast
6,Jason Isaacs,,Lucius Malfoy,Supporting Cast
7,Kelly Macdonald,,Helena Malfoy,Supporting Cast
8,Ian Peck,,Hogsmeade Death Eater,Supporting Cast
9,Benjamin Northover,,Hogsmeade Death Eater,Supporting Cast
10,Hebe Beardsall,,Ariana Dumbleoore,Supporting Cast
11,Matthew Lewis,,Nelville Longbottom,Supporting Cast
12,Devon Murray,,Seamus Finnigan,Supporting Cast
13,Afshan Azad,,Padma Patil,Supporting Cast
14,Clémence Poésy,,Fleur Delacour,Supporting Cast
15,Isabella Laughland,,Leanne,Supporting Cast
16,Anna Shaffer,,Romilda Vane,Supporting Cast
17,Warwick Davis,,Griphook,Supporting Cast
18,Graham Duff,,Death Eater,Supporting Cast
19,Georgina Leonidas,,Katie Bell,Supporting Cast
20,Anthony Allgood,,Gringotts Guard,Supporting Cast
21,Freddie Stroma,,Cromac Mclaggen,Supporting Cast
22,Rusty Goffe,,Aged Gringotts Goblin,Supporting Cast
23,Alfie Enoch,,Dean Thomas,Supporting Cast
24,Jon Key,,Bogrod,Supporting Cast
25,Katie Leung,,Cho Chang,Supporting Cast
26,William Melling,,Nigel,Supporting Cast
27,Helen McCrory,,Narcissa Malfoy,Supporting Cast
28,Sian Phillips,,Screaming Girl,Supporting Cast
29,Tom Felton,,Draco Malfoy,Supporting Cast
30,Bonnie Wright,,Ginny Weasley,Supporting Cast
31,Ralph Ineson,,Anycus Carrow,Supporting Cast
32,Maggie Smith,,Minerva McGonagall,Supporting Cast
33,Suzanne Toase,,Alecto Carrow,Supporting Cast
34,Jim Broadbent,,Horace Slughorn,Supporting Cast
