,0,1,2,type
0,James Franco,,Will Rodman,Leading Cast
1,Freida Pinto,,Caroline Aranha,Leading Cast
0,John Lithgow,,Charles Rodman,Supporting Cast
1,Brian Cox,,Hank Landon,Supporting Cast
2,Tom Felton,,Dodge Landon,Supporting Cast
3,David Oyelowo,,Steven Jacobs,Supporting Cast
4,Tyler Labine,,Robert Franklin,Supporting Cast
5,Jamie Harris,,Rodney,Supporting Cast
6,David Hewlett,,Hunsiker,Supporting Cast
7,Ty Olsson,,Chief John Hamil,Supporting Cast
8,Madison Bell,,Alice Hunsiker,Supporting Cast
9,Makena Joy,,Alice Hunsiker (Teen),Supporting Cast
10,Kevin O'Grady,,Animal Control Officer #1,Supporting Cast
11,Sean Tyson,,Animal Control Officer #2,Supporting Cast
12,Jack Kuris,,Boy in Muir Woods,Supporting Cast
13,Tammy Hui,,Bridge Driver,Supporting Cast
14,Kyle Riefsnyder,,CHP #1,Supporting Cast
15,Rufus Dorsey,,CHP #2,Supporting Cast
16,Anthony McRae,,CHP #3,Supporting Cast
17,Jeb Beach,,Dad in Muir Woods,Supporting Cast
18,Jesse Reid,,Donnie Thompson,Supporting Cast
19,BJ Harrison,,Dottie,Supporting Cast
20,Leah Gibson,,Party Girl #1,Supporting Cast
21,Tracy Spiridakos,,Party Girl #2,Supporting Cast
22,Ivan Wanis Ruiz,,Handler at Lab #1,Supporting Cast
23,Trevor Carroll,,Handler at Lab #2,Supporting Cast
24,Chelah Horsdal,,Irena,Supporting Cast
25,Timothy Webber,,Janito - Stan Timko,Supporting Cast
26,James Pizzinato,,Lab Tech #1,Supporting Cast
27,Robin Nielsen,,Lab Tech #2,Supporting Cast
28,Monica Mustelier,,Lab Tech #3,Supporting Cast
29,Syn Narula,,Lab Tech #4,Supporting Cast
30,Mattie Hawkinson,,Lab Tech #5,Supporting Cast
31,Ryan Booth,,South Side Commander,Supporting Cast
32,Grodon Douglas Myren,,Local Guy,Supporting Cast
33,Elizabeth Weinstein,,Mom in Muir Woods,Supporting Cast
34,Meredith Canby,,New Aide,Supporting Cast
35,Javier Caballero Cano,,Newspater Dad,Supporting Cast
36,Peter Bundic,,Newspaper Boy #1,Supporting Cast
37,Dylan Nouri,,Newspaper Boy #2,Supporting Cast
38,Oona Service,,Playground Girl,Supporting Cast
39,Camille Atebe,,Playground Mom,Supporting Cast
40,Derek Morrison,,Security Guard #1,Supporting Cast
41,Dean Redman,,Security Guard #2,Supporting Cast
42,Hector Johnson,,Security Guard #3,Supporting Cast
43,David Richmond-Peck,,Board Member #1,Supporting Cast
44,Adrian Hough,,Board Member #2,Supporting Cast
45,Evans Johnson,,Board Member #3,Supporting Cast
46,Joey Roche,,Todd Hunsiker,Supporting Cast
47,Sean Roche,,Todd Hunsiker (Teen),Supporting Cast
48,Qayam Devji,,Todd's Buddy,Supporting Cast
49,Yurij Kis,,Worker,Supporting Cast
50,Riel Hahn,,Zoo Guide,Supporting Cast
51,Sonja Bennett,,Mother on Sidewalk,Supporting Cast
52,Michael Kopsa,,Jerk Driver,Supporting Cast
53,Steve Lawler,,SFPD #1,Supporting Cast
54,Chris Shields,,SFPD #2,Supporting Cast
55,Panou,,SFPD #3,Supporting Cast
56,Sandy Robson,,SFPD #4,Supporting Cast
57,Luc Roderique,,SWAT,Supporting Cast
58,Mike Dopud,,Northside Officer,Supporting Cast
59,Mark Henriques,,Driver,Supporting Cast
60,Stacy Schmidt,,Jogger,Supporting Cast
61,Matteo Mazziotti,,Child in Car,Supporting Cast
62,Willy Miles,,Guy with Newspaper,Supporting Cast
63,Fred North,,Camera Ship Pilot,Supporting Cast
64,Allen Martin,,KPIX New Anchor,Supporting Cast
65,Juliette Goodrich,,KPIX News Anchor,Supporting Cast
66,Andy Serkis,,Caesar (Ape),Supporting Cast
67,Karin Konoval,,Maurice (Ape),Supporting Cast
68,Terry Notary,,Rocket / Bright Eyes (Ape),Supporting Cast
69,Richard Ridings,,Buck (Ape),Supporting Cast
70,Chris Gordon,,Koba (Ape),Supporting Cast
71,Devin Dalton,,Comelia,Supporting Cast
72,Jay Caputo,,Alpha (Ape),Supporting Cast
73,Richard Darwin,,Baby Ceasar (Puppeteer),Supporting Cast
0,Rupert Wyatt,,Director,Production and Technical Credits
1,Rick Jaffa,,Screenwriter,Production and Technical Credits
2,Amanda Silver,,Screenwriter,Production and Technical Credits
3,Peter Chernin,,Producer,Production and Technical Credits
4,Dylan Clark,,Producer,Production and Technical Credits
5,Rick Jaffa,,Producer,Production and Technical Credits
6,Amanda Silver,,Producer,Production and Technical Credits
7,Thomas M. Hammel,,Executive Producer,Production and Technical Credits
8,Andrew Lesnie,,Cinematographer,Production and Technical Credits
9,Claude Pare,,Production Designer,Production and Technical Credits
10,Conrad Buff,,Editor,Production and Technical Credits
11,Mark Goldblatt,,Editor,Production and Technical Credits
12,Kurt Williams,,Co-Producer,Production and Technical Credits
13,Joe Letteri,,Visual Effects Supervisor,Production and Technical Credits
14,Dan Lemmon,,Visual Effects Supervisor,Production and Technical Credits
15,Patrick Doyle,,Composer,Production and Technical Credits
16,Renee April,,Costume Designer,Production and Technical Credits
17,Debra Zane,,Casting Director,Production and Technical Credits
18,Brian Smrz,,Second Unit Director,Production and Technical Credits
19,Jeanette Surga,,Music Editor,Production and Technical Credits
