,0,1,2,type
0,Jack Black,,Po,Leading Cast
0,Angelina Jolie,,Tigress,Supporting Cast
1,Dustin Hoffman,,Shifu,Supporting Cast
2,Gary Oldman,,Shen,Supporting Cast
3,Seth Rogen,,Mantis,Supporting Cast
4,Lucy Liu*,,Viper,Supporting Cast
5,David Cross,,Crane,Supporting Cast
6,James Hong,,Mr. Ping,Supporting Cast
7,Michelle Yeoh,,Soothsayer,Supporting Cast
8,Danny McBride,,Wolf Boss,Supporting Cast
9,Dennis Haysbert,,Master Ox,Supporting Cast
10,Jean-Claude Van Damme,,Master Croc,Supporting Cast
11,Victor Garber,,Master Rhino,Supporting Cast
12,Jackie Chan,,Monkey,Supporting Cast
13,Michael Patrick Bell,,Gorilla Guard,Supporting Cast
14,Jason Bertsch,,Antelope Driver,Supporting Cast
15,Michael DeMaio,,Happy Bunny,Supporting Cast
16,Shane Glick,,Wolf Soldier 4,Supporting Cast
17,Lena Golia,,"Pig Fan, Bunny",Supporting Cast
18,April Hong,,Mop Bunny,Supporting Cast
19,Joseph Izzo,,Wolf Soldier 1,Supporting Cast
20,Alexandra Jourden,,Bunny Fan,Supporting Cast
21,Stephen Kearin,,"Musician Pig, Awesome Pig",Supporting Cast
22,Liam Knight,,Baby Po,Supporting Cast
23,Paul Mazursky,,Musician Bunny,Supporting Cast
24,Dan O’Connor,,"Stain Pig, Wolf Soldier 2",Supporting Cast
25,Romy Rosemont,,Pig Mother,Supporting Cast
26,Jeremy Shipp,,Dumpling Bunny,Supporting Cast
27,Maury Sterling,,Wolf Soldier 3,Supporting Cast
28,Fred Tatasciore,,"Panda Dad, Gorilla Guard 2",Supporting Cast
29,Lauren Tom,,Market Sheep,Supporting Cast
30,Conrad Vernon,,Boar,Supporting Cast
0,Jennifer Yuh Nelson,,Director,Production and Technical Credits
1,Melissa Cobb,,Producer,Production and Technical Credits
2,Suzanne Buirgy,,Co-Producer,Production and Technical Credits
3,Jonathan Aibel,,Co-Producer,Production and Technical Credits
4,Glenn Berger,,Co-Producer,Production and Technical Credits
5,Jonathan Aibel,,Screenwriter,Production and Technical Credits
6,Glenn Berger,,Screenwriter,Production and Technical Credits
7,Hans Zimmer,,Composer,Production and Technical Credits
8,John Powell,,Composer,Production and Technical Credits
9,Jeff Hermann,,Production Manager,Production and Technical Credits
10,Raymond Zibach,,Production Designer,Production and Technical Credits
11,Tang Kheng Heng,,Art Director,Production and Technical Credits
12,Alex Parkinson,,Visual Effects Supervisor,Production and Technical Credits
13,Clare Knight,,Editor,Production and Technical Credits
14,Maryann Brandon,,Editor,Production and Technical Credits
15,Mark Hester,,Associate Editor,Production and Technical Credits
16,Anna Solorio-Catalano,,Associate Editor,Production and Technical Credits
17,Joyce Arrastia,,Additional Editor,Production and Technical Credits
18,C.K. Horness,,Additional Editor,Production and Technical Credits
19,Ryan Cole,,Recordist,Production and Technical Credits
20,Andy Nelson,,Re-recording Mixer,Production and Technical Credits
21,Jim Bolt,,Re-recording Mixer,Production and Technical Credits
22,Ethan Van der Ryn,,Supervising Sound Editor,Production and Technical Credits
23,Erik Aadahl,,Supervising Sound Editor,Production and Technical Credits
24,John Marquis,,Sound Effects Editor,Production and Technical Credits
25,P.K. Hooker,,Sound Effects Editor,Production and Technical Credits
26,Allen Hartz,,Dialogue Editor,Production and Technical Credits
27,Adam Smalley,,Music Editor,Production and Technical Credits
28,Peter Snell,,Music Editor,Production and Technical Credits
29,Slamm Andrews,,Music Editor,Production and Technical Credits
30,Lorne Balfe,,Additional Music,Production and Technical Credits
31,Dominic Lewis,,Additional Music,Production and Technical Credits
32,Paul Mounsey,,Additional Music,Production and Technical Credits
33,Leslee Feldman,,Casting Director,Production and Technical Credits
