,0,1,2,type
0,Antonio Banderas,,Puss in Boots,Leading Cast
1,Salma Hayek,,Kitty Softpaws,Leading Cast
2,Zach Galifianakis,,Humpty Dumpty,Leading Cast
0,Billy Bob Thornton,,Jack,Supporting Cast
1,Amy Sedaris,,Jill,Supporting Cast
2,Bob Joles,,Giuseppe,Supporting Cast
3,Chris Miller,,Little Boy Blue/Friar Miller/Prison Guard,Supporting Cast
0,Walt Dohrn,,Narrator,Narrator(s)
0,Chris Miller,,Director,Production and Technical Credits
1,Will Davies,,Story Creator,Production and Technical Credits
2,Joe M. Aguilar,,Producer,Production and Technical Credits
3,John H. Williams,,Co-Executive Producer,Production and Technical Credits
4,Latifa Ouaou,,Producer,Production and Technical Credits
5,Eric Dapkewicz,,Editor,Production and Technical Credits
6,Guillaume Aretos,,Production Designer,Production and Technical Credits
7,Andrew Adamson,,Executive Producer,Production and Technical Credits
8,Gil Zimmerman,,Head of Layout,Production and Technical Credits
9,Guillermo del Toro,,Executive Producer,Production and Technical Credits
10,Michelle Raimo Kouyate,,Executive Producer,Production and Technical Credits
11,Ken Bielenberg,,Visual Effects Supervisor,Production and Technical Credits
12,Tom Wheeler,,Screenwriter,Production and Technical Credits
13,Brian Lynch,,Story Creator,Production and Technical Credits
14,Tom Wheeler,,Story Creator,Production and Technical Credits
15,Henry Jackman,,Composer,Production and Technical Credits
16,Laura Gorenstein Miller,,Choreographer,Production and Technical Credits
17,Christian Schellewald,,Art Director,Production and Technical Credits
18,Fabio Lignini,,Head of Character Animation,Production and Technical Credits
19,Bob Persichetti,,Head of Story,Production and Technical Credits
20,Patrick Mate,,Character Designer,Production and Technical Credits
21,Richard King,,Supervising Sound Editor,Production and Technical Credits
22,Richard King,,Sound Designer,Production and Technical Credits
23,Andy Nelson,,Re-recording Mixer,Production and Technical Credits
24,Anna Behlmer,,Re-recording Mixer,Production and Technical Credits
25,Tom Jacomb,,Associate Producer,Production and Technical Credits
26,Leslee Feldman,,Casting Director,Production and Technical Credits
