,0,1,2,type
0,James McAvoy,,Professor Charles Xavier,Leading Cast
1,Michael Fassbender,,Erik Lehnsherr / Magneto,Leading Cast
2,Jennifer Lawrence,,Raven Darkholme / Mystique,Leading Cast
0,Rose Byrne,,Moira MacTaggert,Supporting Cast
1,January Jones,,Emma Frost / White Queen,Supporting Cast
2,Nicholas Hoult,,"Dr. Henry ""Hank"" McCoy / Beast",Supporting Cast
3,Kevin Bacon,,Sebastian Shaw,Supporting Cast
4,Oliver Platt,,The Man in Black,Supporting Cast
5,Jason Flemyng,,Azazel,Supporting Cast
6,Edi Gathegi,,Armando Munoz / Darwin,Supporting Cast
7,Caleb Landry-Jones,,Sean Cassidy / Banshee,Supporting Cast
8,Zoë Kravitz,,Angel Salvadore,Supporting Cast
9,Matt Craven,,,Supporting Cast
10,Alex Gonzalez,,Janos Quested / Riptide,Supporting Cast
11,Rade Sherbedgia,,,Supporting Cast
12,Glenn Morshower,,,Supporting Cast
13,Bill Milner,,,Supporting Cast
14,Michael Ironside,,,Supporting Cast
15,Ray Wise,,,Supporting Cast
0,Matthew Vaughn,,Director,Production and Technical Credits
1,Lauren Shuler Donner,,Producer,Production and Technical Credits
2,Bryan Singer,,Producer,Production and Technical Credits
3,Simon Kinberg,,Producer,Production and Technical Credits
4,Gregory Goodman,,Producer,Production and Technical Credits
5,Stan Lee,,Executive Producer,Production and Technical Credits
6,Tarquin Pack,,Executive Producer,Production and Technical Credits
7,Josh McLaglen,,Executive Producer,Production and Technical Credits
8,Jason Taylor,,Co-Producer,Production and Technical Credits
9,Tom Cohen,,Associate Producer,Production and Technical Credits
10,Ashley Edward Miller,,Screenwriter,Production and Technical Credits
11,Zack Stentz,,Screenwriter,Production and Technical Credits
12,Jane Goldman,,Screenwriter,Production and Technical Credits
13,Matthew Vaughn,,Screenwriter,Production and Technical Credits
14,Sheldon Turner,,Story Creator,Production and Technical Credits
15,Bryan Singer,,Story Creator,Production and Technical Credits
16,John Mathieson,,Cinematographer,Production and Technical Credits
17,Lee Smith,,Editor,Production and Technical Credits
18,Eddie Hamilton,,Editor,Production and Technical Credits
19,Chris Seagers,,Production Designer,Production and Technical Credits
20,Henry Jackman,,Composer,Production and Technical Credits
21,John Dykstra,,Visual Effects Designer,Production and Technical Credits
22,Josh McLaglen,,First Assistant Director: Los Angeles,Production and Technical Credits
23,Brian Smrz,,Second Unit Director,Production and Technical Credits
24,Spiro Razatos,,Second Unit Director,Production and Technical Credits
25,Lee Cleary,,Assistant Director,Production and Technical Credits
26,Jeff Habberstad,,Stunt Coordinator,Production and Technical Credits
27,Chris Corbould,,Special Effects Supervisor,Production and Technical Credits
