,0,1,2,type
0,Anne Hathaway,,Jewel,Lead Ensemble Members
1,Jesse Eisenberg,,Blu,Lead Ensemble Members
2,Jemaine Clement,,Nigel,Lead Ensemble Members
3,Tracy Morgan,,Luiz,Lead Ensemble Members
4,will.i.am,,Pedro,Lead Ensemble Members
5,George Lopez,,Rafael,Lead Ensemble Members
6,Jamie Foxx,,Nico,Lead Ensemble Members
0,Leslie Mann,,Linda,Supporting Cast
1,Rodrigo Santoro,,Tulio,Supporting Cast
0,Bruce Anderson,,Producer,Production and Technical Credits
1,John C. Donkin,,Producer,Production and Technical Credits
2,Chris Wedge,,Executive Producer,Production and Technical Credits
3,Carlos Saldanha,,Director,Production and Technical Credits
4,Don Rhymer,,Screenwriter,Production and Technical Credits
5,Joshua Sternin,,Screenwriter,Production and Technical Credits
6,Jeffrey Ventimilia*,,Screenwriter,Production and Technical Credits
7,Carlos Saldanha,,Story Creator,Production and Technical Credits
8,Earl Richey Jones,,Story Creator,Production and Technical Credits
9,Todd Jones,,Story Creator,Production and Technical Credits
10,Renato Falcao,,Cinematographer,Production and Technical Credits
11,Harry Hitner,,Editor,Production and Technical Credits
12,Randy Trager,,Associate Editor,Production and Technical Credits
13,John Powell,,Music Producer,Production and Technical Credits
14,Thomas Cardone,,Art Director,Production and Technical Credits
15,Galen Tan Chur,,Supervising Animator,Production and Technical Credits
16,Karen Disher,,Head of Story,Production and Technical Credits
17,Robert V. Calvaleri,,Animation Supervisor,Production and Technical Credits
18,James Gettinger,,Lighting,Production and Technical Credits
19,Randy Thom,,Sound Designer,Production and Technical Credits
20,Gwendolyn Yates Whittle,,Supervising Sound Editor,Production and Technical Credits
21,Josh Gold,,Sound Effects Editor,Production and Technical Credits
22,Randy Thom,,Re-recording Mixer,Production and Technical Credits
23,Lora Hirschberg,,Re-recording Mixer,Production and Technical Credits
24,Gary A. Rizzo,,Re-recording Mixer,Production and Technical Credits
25,Christian Kaplan,,Casting Director,Production and Technical Credits
