,0,1,2,type
0,Katy Perry,,Smurfette,Leading Cast
1,Jonathan Winters,,Papa Smurf,Leading Cast
0,Neil Patrick Harris,,Patrick Winslow,Supporting Cast
1,Jayma Mays,,Grace Winslow,Supporting Cast
2,Sofia Vergara,,Odile,Supporting Cast
3,Tim Gunn,,Henri,Supporting Cast
4,Hank Azaria,,Gargamel,Supporting Cast
5,Alan Cumming,,Gutsy Smurf,Supporting Cast
6,B.J. Novak,,Baker Smurf,Supporting Cast
7,Kenan Thompson,,Greedy Smurf,Supporting Cast
8,John Oliver,,Vanity Smurf,Supporting Cast
9,Gary Basaraba,,Hefty Smurf,Supporting Cast
10,Paul Reubens,,Jokey Smurf,Supporting Cast
11,Jeff Foxworthy,,Handy Smurf,Supporting Cast
12,Fred Armisen,,Brainy Smurf,Supporting Cast
13,George Lopez,,Grouchy Smurf,Supporting Cast
14,Anton Yelchin,,Clumsy Smurf,Supporting Cast
15,Wolfgang Puck,,Chef Smurf,Supporting Cast
16,Frank Welker,,Azrael,Supporting Cast
0,Raja Gosnell,,Director,Production and Technical Credits
1,Jordan Kerner,,Producer,Production and Technical Credits
2,Ezra Swerdlow,,Executive Producer,Production and Technical Credits
3,Ben Haber,,Executive Producer,Production and Technical Credits
4,Paul Neesan,,Executive Producer,Production and Technical Credits
5,J. David Stem,,Screenwriter,Production and Technical Credits
6,David N. Weiss,,Screenwriter,Production and Technical Credits
7,Jay Scherick,,Screenwriter,Production and Technical Credits
8,David Ronn,,Screenwriter,Production and Technical Credits
9,Peyo,,Character Creator,Production and Technical Credits
10,Phil Meheux,,Cinematographer,Production and Technical Credits
11,Bill Boes,,Production Designer,Production and Technical Credits
12,Sabrina Plisco,,Editor,Production and Technical Credits
13,Heitor Pereira,,Composer,Production and Technical Credits
14,Chris Shriver,,Art Director,Production and Technical Credits
15,Regina Graves,,Set Decorator,Production and Technical Credits
16,Rita Ryack,,Costume Designer,Production and Technical Credits
17,James J. Sabat,,Sound Mixer,Production and Technical Credits
18,Robert L. Sephton,,Supervising Sound Editor,Production and Technical Credits
19,Will Files,,Sound Designer,Production and Technical Credits
20,Terry Porter,,Re-recording Mixer,Production and Technical Credits
21,Dean A. Zupancic,,Re-recording Mixer,Production and Technical Credits
22,Steve Kirshoff,,Special Effects Supervisor,Production and Technical Credits
23,Richard R. Hoover,,Visual Effects Supervisor,Production and Technical Credits
24,Rob Engle,,Visual Effects Supervisor,Production and Technical Credits
25,G. A. Aguilar,,Stunt Coordinator,Production and Technical Credits
26,Benita Allen,,Assistant Director,Production and Technical Credits
27,G. A. Aguilar,,Second Unit Director,Production and Technical Credits
28,David Rubin,,Casting Director,Production and Technical Credits
29,Richard Hicks,,Casting Director,Production and Technical Credits
