,0,1,2,type
0,Justin Long,,Voice of Alvin,Leading Cast
1,Matthew Gray Gubler,,Voice of Simon,Leading Cast
2,Jesse McCartney,,Voice of Theodore,Leading Cast
0,Jason Lee,,Dave,Supporting Cast
1,David Cross,,Ian,Supporting Cast
2,Jenny Slate,,Zoe,Supporting Cast
3,Amy Poehler,,Voice of Eleanor,Supporting Cast
4,Anna Faris,,Voice of Jeanette,Supporting Cast
5,Christina Applegate,,Voice of Brittany,Supporting Cast
6,Alan Tudyk,,Voice of Simone,Supporting Cast
7,Michael Northey,,Hawaiian Shirt Guy,Supporting Cast
8,Sophia Aguiar,,Club Woman #1,Supporting Cast
9,Lauren Gottlieg,,Club Woman #2,Supporting Cast
10,Tera Perez,,Club Woman #3,Supporting Cast
11,Andy Buckley,,Captain Correlli,Supporting Cast
12,Chad Krowchuk,,Waiter,Supporting Cast
13,Luisa D'Oliverira,,Tessa,Supporting Cast
14,Tucker Albrizzi,,Tucker/Kite Kid,Supporting Cast
15,Nelson Wong,,Casino Guy,Supporting Cast
16,Michael Karman,,Excursion Clerk,Supporting Cast
17,Amber-Rochelle DeMarco,,Damsel #1,Supporting Cast
18,Marcela Caceres,,Damsel #2,Supporting Cast
19,Natalie Sutcliffe,,Damsel #3,Supporting Cast
20,Ian Harmon,,Monster,Supporting Cast
21,Phyllis Smith,,Flight Attendant,Supporting Cast
0,Mike Mitchell,,Director,Production and Technical Credits
1,Jonathan Aibel,,Screenwriter,Production and Technical Credits
2,Glenn Berger,,Screenwriter,Production and Technical Credits
3,Ross Bagdasarian Jr,,Based on the characters Alvin and Chipmunks created by Ross Bagdasarian,Production and Technical Credits
4,Janice Karman,,Based on the Chipettes Created by Janice Karman,Production and Technical Credits
5,Janice Karman,,Producer,Production and Technical Credits
6,Ross Bagdasarian Jr,,Producer,Production and Technical Credits
7,Karen Rosenfelt,,Executive Producer,Production and Technical Credits
8,Arnon Milchan,,Executive Producer,Production and Technical Credits
9,Neil Machlis,,Executive Producer,Production and Technical Credits
10,Steve Waterman,,Executive Producer,Production and Technical Credits
11,Thomas Ackerman,,Director of Photography,Production and Technical Credits
12,Richard Holland,,Production Designer,Production and Technical Credits
13,Peter Amundson,,Editor,Production and Technical Credits
14,Kevin Johnson,,Animation Supervisor,Production and Technical Credits
15,Mark Mothersbaugh,,Composer,Production and Technical Credits
16,Julia Michels,,Music Supervisor,Production and Technical Credits
17,Ali Dee Theodore,,Executive Music Producer,Production and Technical Credits
18,Alexandra Welker,,Costume Designer,Production and Technical Credits
19,Allison Jones,,Casting Director,Production and Technical Credits
