,0,1,2,type
0,Shia LaBeouf,,Sam Witwicky,Leading Cast
0,John Turturro,,Agent Seymour Simmons,Supporting Cast
1,Josh Duhamel,,Lt. Colonel William Lennox,Supporting Cast
2,Tyrese Gibson,,Chief Robert Epps,Supporting Cast
3,Rosie Huntington-Whiteley,,Carly Miller,Supporting Cast
4,Patrick Dempsey,,Dylan,Supporting Cast
5,Kevin Dunn,,Ron Witwicky,Supporting Cast
6,John Malkovich,,Bruce,Supporting Cast
7,Frances McDormand,,Charlotte Mearing,Supporting Cast
8,Leonard Nimoy,,Sentinel Prime,Supporting Cast
9,Peter Cullen,,Optimus Prime,Supporting Cast
10,Don Jeanes,,Neil Armstrong,Supporting Cast
11,Cory Tucker,,Buzz Aldrin,Supporting Cast
12,Alan Tudyk,,Dutch,Supporting Cast
13,Lester Speight,,Hardcore Eddie,Supporting Cast
14,Julie White,,Judy Witwicky,Supporting Cast
15,James Avery,,Silverbolt,Supporting Cast
16,Frank Welker,,Shockwave / Soundwave Voice,Supporting Cast
17,Hugo Weaving,,Megatron Voice,Supporting Cast
0,Michael Bay,,Director,Production and Technical Credits
1,Steven Spielberg,,Executive Producer,Production and Technical Credits
2,Michael Bay,,Executive Producer,Production and Technical Credits
3,Brian Goldner,,Executive Producer,Production and Technical Credits
4,Mark Vahradian,,Executive Producer,Production and Technical Credits
5,Don Murphy,,Producer,Production and Technical Credits
6,Tom DeSanto,,Producer,Production and Technical Credits
7,Lorenzo di Bonaventura,,Producer,Production and Technical Credits
8,Ian Bryce,,Producer,Production and Technical Credits
9,Ehren Kruger,,Screenwriter,Production and Technical Credits
10,Ken Bates,,Co-Producer,Production and Technical Credits
11,Allegra Clegg,,Co-Producer,Production and Technical Credits
12,Amir Mokri,,Cinematographer,Production and Technical Credits
13,Roger Barton,,Editor,Production and Technical Credits
14,William Goldenberg,,Editor,Production and Technical Credits
15,Joel Negron,,Editor,Production and Technical Credits
16,Steve Jablonsky,,Composer,Production and Technical Credits
17,Nigel Phelps,,Production Designer,Production and Technical Credits
18,Richard L. Johnson,,Supervising Art Director,Production and Technical Credits
19,Ben Proctor,,Art Director,Production and Technical Credits
20,Benjamin Edelberg,,Art Director,Production and Technical Credits
21,James F. Truesdale,,Art Director,Production and Technical Credits
22,Julian Ashby,,Art Director,Production and Technical Credits
23,Kevin Ishioka,,Art Director,Production and Technical Credits
24,Jennifer Williams,,Set Decorator,Production and Technical Credits
25,Deborah L. Scott,,Costume Designer,Production and Technical Credits
26,Peter J. Devlin,,Sound Mixer,Production and Technical Credits
27,Ethan Van der Ryn,,Supervising Sound Editor,Production and Technical Credits
28,Erik Aadahl,,Supervising Sound Editor,Production and Technical Credits
29,Greg P. Russell,,Re-recording Mixer,Production and Technical Credits
30,Gary Summers,,Re-recording Mixer,Production and Technical Credits
31,Jeffrey J. Haboush,,Re-recording Mixer,Production and Technical Credits
32,John Frazier,,Special Effects Supervisor,Production and Technical Credits
33,James Schwalm,,Special Effects Coordinator,Production and Technical Credits
34,Scott Farrar,,Visual Effects Supervisor,Production and Technical Credits
35,Corey Turner,,Stereoscopic Supervisor,Production and Technical Credits
36,Corey Turner,,3D Supervisor,Production and Technical Credits
37,Ken Bates,,Stunt Coordinator,Production and Technical Credits
38,Matthew Cohan,,Associate Producer,Production and Technical Credits
39,Michael Kase,,Associate Producer,Production and Technical Credits
40,Simon Warnock,,Assistant Director,Production and Technical Credits
41,Ken Bates,,Second Unit Director,Production and Technical Credits
42,Denise Chamian,,Casting Director,Production and Technical Credits
43,Easton Smith,,Set Designer,Production and Technical Credits
44,Jacob Riehle,,Assistant Sound Editor,Production and Technical Credits
