,0,1,2,type
0,Bradley Cooper,,Phil,Leading Cast
1,Ed Helms,,Stu,Leading Cast
2,Zach Galifianakis,,Alan,Leading Cast
3,Justin Bartha,,Doug,Leading Cast
0,Ken Jeong,,Mr. Chow,Supporting Cast
1,Paul Giamatti,,Kingsley,Supporting Cast
2,Jeffrey Tambor,,Sid Garner,Supporting Cast
3,Mason Lee,,Teddy,Supporting Cast
4,Jamie Chung,,Lauren,Supporting Cast
5,Sasha Barrese,,Tracy,Supporting Cast
6,Gillian Vigman,,Stephanie,Supporting Cast
7,Aroon Seeboonruang,,Monk,Supporting Cast
8,Nirut Sirichanya,,Fohn,Supporting Cast
9,Yasmin Lee,,Kimmy,Supporting Cast
10,Nick Cassavetes,,Tattoo Joe,Supporting Cast
11,Sondra Currie,,Linda Garner,Supporting Cast
12,Schnitrnunt Busarakamwong,,Grand Wizard,Supporting Cast
13,Bryan Callen,,Samir,Supporting Cast
14,Brody Stevens,,Kingsley Guy,Supporting Cast
15,Nimit Lugsamepong,,Desk Officer,Supporting Cast
16,Michael Berry Jr.,,Vladi,Supporting Cast
17,Andrew Howard,,Nikolai,Supporting Cast
18,Danai Thiengdham,,Cell Block Officer,Supporting Cast
19,Thana Spisuke,,Fighting Monk,Supporting Cast
20,Pairot Noiply,,Shouting Man,Supporting Cast
21,Penpak Sirikul,,Joi,Supporting Cast
22,Sanita Jai-ua,,Hostess #1,Supporting Cast
23,Chanicha Shindejanichakul,,Hostess #2,Supporting Cast
24,Vithaya Pansringarm,,Minister,Supporting Cast
25,Kim Lee,,Dancer,Supporting Cast
26,Tanner Maguire,,Phil - 12 Years Old,Supporting Cast
27,William A. Johnson,,Stu - 12 Years Old,Supporting Cast
28,Aedin Mincks,,Alan - 12 Years Old,Supporting Cast
29,Dylan Boyack,,Doug - 12 Years Old,Supporting Cast
30,William Jiang,,Chow - 12 Years Old,Supporting Cast
31,Lynne Kidder,,Woman in Restaurant,Supporting Cast
32,Fred North,,Helicoper Pilot,Supporting Cast
0,Mike Tyson,,Himself,Cameos
0,Todd Phillips,,Director,Production and Technical Credits
1,Craig Mazin,,Screenwriter,Production and Technical Credits
2,Scot Armstrong,,Screenwriter,Production and Technical Credits
3,Todd Phillips,,Screenwriter,Production and Technical Credits
4,Todd Phillips,,Producer,Production and Technical Credits
5,Dan Goldberg,,Producer,Production and Technical Credits
6,Thomas Tull,,Executive Producer,Production and Technical Credits
7,Scott Budnick,,Executive Producer,Production and Technical Credits
8,Chris Bender,,Executive Producer,Production and Technical Credits
9,J.C. Spink,,Executive Producer,Production and Technical Credits
10,John Lucas,,Character Creator,Production and Technical Credits
11,Scott Moore,,Character Creator,Production and Technical Credits
12,Lawrence Sher,,Cinematographer,Production and Technical Credits
13,Bill Brzeski,,Production Designer,Production and Technical Credits
14,Debra Neil-Fisher,,Editor,Production and Technical Credits
15,Mike Sale,,Editor,Production and Technical Credits
16,David A. Siegel,,Co-Producer,Production and Technical Credits
17,Jeffrey Wetzel,,Co-Producer,Production and Technical Credits
18,Christophe Beck,,Composer,Production and Technical Credits
19,Randall Poster,,Music Supervisor,Production and Technical Credits
20,George Drakoulias,,Music Supervisor,Production and Technical Credits
21,Louise Mingenbach,,Costume Designer,Production and Technical Credits
22,Desma Murphy,,Art Director,Production and Technical Credits
23,Philip Toolin,,Art Director,Production and Technical Credits
24,Danielle Berman,,Set Decorator,Production and Technical Credits
25,Petur Hliddal,,Sound Mixer,Production and Technical Credits
26,Jason W. Jennings,,Sound Designer,Production and Technical Credits
27,Lee Gilmore,,Sound Effects Editor,Production and Technical Credits
28,Ron Bartlett,,Re-recording Mixer,Production and Technical Credits
29,Gregg Landaker,,Re-recording Mixer,Production and Technical Credits
30,Robert Stadd,,Visual Effects Supervisor,Production and Technical Credits
31,Russell Solberg,,Stunt Coordinator,Production and Technical Credits
32,Jeffrey Wetzel,,Assistant Director,Production and Technical Credits
33,Justine Baddeley,,Casting,Production and Technical Credits
34,Kim Davis-Wagner,,Casting,Production and Technical Credits
35,Brian Smrz,,Second Unit Director,Production and Technical Credits
