,0,1,2,type
0,Johnny Depp,,Captain Jack Sparrow,Leading Cast
1,Penélope Cruz,,Angelica,Leading Cast
2,Geoffrey Rush,,Barbossa,Leading Cast
3,Ian McShane,,Blackbeard,Leading Cast
0,Kevin McNally,,Gibbs,Supporting Cast
1,Sam Claflin,,Phillip,Supporting Cast
2,Astrid Berges-Frisbey,,Syrena,Supporting Cast
3,Stephen Graham,,Scrum,Supporting Cast
4,Keith Richards,,Captain Teague,Supporting Cast
5,Richard Griffiths,,King George,Supporting Cast
6,Greg Ellis,,Groves,Supporting Cast
7,Damian O'Hare,,Gillette,Supporting Cast
8,Oscar Jaenada,,The Spaniard,Supporting Cast
9,Anton Lesser,,Lord John Carteret,Supporting Cast
10,Roger Allam,,Prime Minister Henry Pelham,Supporting Cast
11,Judi Dench,,Society Lady,Supporting Cast
12,Christopher Fairbank,,Ezekiel,Supporting Cast
13,Paul Bazely,,Salaman,Supporting Cast
14,Bronson Webb,,Cook,Supporting Cast
15,Richard Thomson,,Derrick,Supporting Cast
16,Yuki Matsuzaki,,Garheng,Supporting Cast
17,Robbie Kay,,Cabin Boy,Supporting Cast
18,Steve Evets,,Purser,Supporting Cast
19,Ian Mercer,,Quartermaster,Supporting Cast
20,Deobia Oparei,,Gunner,Supporting Cast
21,Gemma Ward,,Tamara-First Mermaid,Supporting Cast
22,Sebastian Armesto,,King Kerdinand,Supporting Cast
23,Juan Carlos Vellido,,Spanish Sea Captian,Supporting Cast
24,Triston Laurence Perez,,Spanish Fisherman,Supporting Cast
25,Norberto Moran,,Spanish Castaway,Supporting Cast
26,Gerard Monaco,,Spanish Officer,Supporting Cast
27,Tyrone Lopez,,Spanish Soldier,Supporting Cast
28,Luke Roberts,,Captian of the Guard,Supporting Cast
29,Daniel Ings,,Guard,Supporting Cast
30,Emilia Jones,,English Girl,Supporting Cast
31,Patrick Kennedy,,English Girl,Supporting Cast
32,Jody Halse,,Jailor,Supporting Cast
33,Clifford Rose,,Bailiff,Supporting Cast
34,Paul Hunter,,Foreman,Supporting Cast
35,Jorgelina Guadalupe Airaldi,,Mermaid,Supporting Cast
36,Brea Berrett,,Mermaid,Supporting Cast
37,Toni Busker,,Mermaids,Supporting Cast
38,Sanya Hughes,,Mermaid,Supporting Cast
39,Daphne Joy,,Mermaids,Supporting Cast
40,Antoinette Nikprelaj,,Mermaid,Supporting Cast
41,Derek Mears,,Master-at-Arms,Supporting Cast
42,Danny Le Boyer,,Yeoman,Supporting Cast
43,Kitt Barrie,,Courtroom Wench,Supporting Cast
44,Stephen Morphew,,Courtroom Heckler,Supporting Cast
45,Alan Utley-Moore,,Justice Smith,Supporting Cast
0,Rob Marshall,,Director,Production and Technical Credits
1,Ted Elliott,,Screenwriter,Production and Technical Credits
2,Terry Rossio,,Screenwriter,Production and Technical Credits
3,Tim Powers,,Story Creator,Production and Technical Credits
4,Ted Elliott,,Character Creator,Production and Technical Credits
5,Terry Rossio,,Character Creator,Production and Technical Credits
6,Stuart Beattie,,Character Creator,Production and Technical Credits
7,Jay Wolpert,,Character Creator,Production and Technical Credits
8,Jerry Bruckheimer,,Producer,Production and Technical Credits
9,Mike Stenson,,Producer,Production and Technical Credits
10,Chad Oman,,Executive Producer,Production and Technical Credits
11,John DeLuca,,Executive Producer,Production and Technical Credits
12,Barry Waldman,,Executive Producer,Production and Technical Credits
13,Ted Elliott,,Executive Producer,Production and Technical Credits
14,Terry Rossio,,Executive Producer,Production and Technical Credits
15,Dariusz Wolski,,Cinematographer,Production and Technical Credits
16,John Myhre,,Production Designer,Production and Technical Credits
17,David Brenner,,Editor,Production and Technical Credits
18,Wyatt Smith,,Editor,Production and Technical Credits
19,Hans Zimmer,,Composer,Production and Technical Credits
20,Bob Badami,,Music Supervisor,Production and Technical Credits
21,Tomas Voth,,Art Director,Production and Technical Credits
22,Gary Freeman,,Art Director,Production and Technical Credits
23,Zack Grobler,,Art Director,Production and Technical Credits
24,Andrew Boughton,,Art Director,Production and Technical Credits
25,John Chichester,,Art Director,Production and Technical Credits
26,Rob Cowper,,Art Director,Production and Technical Credits
27,Penny Rose,,Costume Designer,Production and Technical Credits
28,Gordon Sim,,Set Decorator,Production and Technical Credits
29,Missy Parker,,Set Decorator,Production and Technical Credits
30,Shannon Mills,,Sound Designer,Production and Technical Credits
31,Lee Orloff,,Sound Mixer,Production and Technical Credits
32,George Watters II,,Supervising Sound Editor,Production and Technical Credits
33,Shannon Mills,,Supervising Sound Editor,Production and Technical Credits
34,Ken Fischer,,Sound Effects Editor,Production and Technical Credits
35,Addison Teague,,Sound Effects Editor,Production and Technical Credits
36,Adam Kopald,,Sound Effects Editor,Production and Technical Credits
37,Paul Massey,,Re-recording Mixer,Production and Technical Credits
38,Christopher Boyes,,Re-recording Mixer,Production and Technical Credits
39,Charles Gibson,,Visual Effects Supervisor,Production and Technical Credits
40,David Conley,,Visual Effects Producer,Production and Technical Credits
41,Rob Engle,,3D Supervisor,Production and Technical Credits
42,Ben Snow,,Visual Effects Supervisor,Production and Technical Credits
43,Tim Harrington,,Animation Supervisor,Production and Technical Credits
44,Susan Greenhow,,Visual Effects Producer,Production and Technical Credits
45,John DeLuca,,Choreographer,Production and Technical Credits
46,John Frazier,,Special Effects Supervisor,Production and Technical Credits
47,Peter Kohn,,Assistant Director,Production and Technical Credits
48,George Marshall Ruge,,Stunt Coordinator,Production and Technical Credits
49,George Marshall Ruge,,Second Unit Director,Production and Technical Credits
50,Francine Maisler,,Casting,Production and Technical Credits
