,0,1,2,type
0,Vin Diesel,,Dominic Toretto,Leading Cast
1,Paul Walker,,Brian O'Conner,Leading Cast
2,Dwayne Johnson,,Hobbs,Leading Cast
0,Jordana Brewster,,Mia,Supporting Cast
1,Tyrese Gibson,,Roman,Supporting Cast
2,Chris ‘Ludacris’ Bridges,,Tej,Supporting Cast
3,Matt Schulze,,Vince,Supporting Cast
4,Sung Kang,,Han,Supporting Cast
5,Gal Gadot,,Gisele,Supporting Cast
6,Tego Calderon,,Leo,Supporting Cast
7,Don Omar,,Santos,Supporting Cast
8,Joaquim de Almeida,,Reyes,Supporting Cast
9,Elsa Pataky,,Elena,Supporting Cast
10,Michael Irby,,Zizi,Supporting Cast
11,Fernando Chien,,Wilkes,Supporting Cast
12,Alimi Ballard,,Fusco,Supporting Cast
13,Yorgo Constantine,,Chato,Supporting Cast
14,Geoff Meed,,Macroy,Supporting Cast
15,Joseph Melendez,,Chief of Police Alemeida,Supporting Cast
16,Jeirmarie Osorio,,Rosa,Supporting Cast
17,Mark Hicks,,Capa,Supporting Cast
18,Esteban Cueto,,Berto,Supporting Cast
19,Corey Eubanks,,Lanzo,Supporting Cast
20,"Luis Dasilva, Jr.",,Diogo,Supporting Cast
21,Luis Gonzaga,,Cash House Door Guard,Supporting Cast
22,Carlos Sanchez,,Evidence Technician,Supporting Cast
23,Ben Blankenship,,Lead DEA Agent,Supporting Cast
24,Pedro Garcia,,Conductor,Supporting Cast
25,Arturo Gaskins,,Croupier,Supporting Cast
26,Jay Jackson,,Field Reporters,Supporting Cast
27,Arlene Santana,,Field Reporter,Supporting Cast
28,Kent Shocknek,,News Anchor,Supporting Cast
29,Sharon Tay,,News Anchor,Supporting Cast
30,Andy Rosa Adler,,News Anchor,Supporting Cast
0,Justin Lin,,Director,Production and Technical Credits
1,Chris Morgan,,Screenwriter,Production and Technical Credits
2,Neal H. Moritz,,Producer,Production and Technical Credits
3,Vin Diesel,,Producer,Production and Technical Credits
4,Michael Fottrell,,Producer,Production and Technical Credits
5,Gary Scott Thompson,,Character Creator,Production and Technical Credits
6,Amanda Lewis,,Executive Producer,Production and Technical Credits
7,Stephen F. Windon,,Director of Photography,Production and Technical Credits
8,Peter Wenham,,Production Designer,Production and Technical Credits
9,Christian Wagner,,Editor,Production and Technical Credits
10,Kelly Matsumoto,,Editor,Production and Technical Credits
11,Fred Raskin,,Editor,Production and Technical Credits
12,Sanja Milkovic Hays,,Costume Designer,Production and Technical Credits
13,Debra Zane,,Casting Director,Production and Technical Credits
14,Brian Tyler,,Composer,Production and Technical Credits
15,Fernando Serzedelo,,Line Producer,Production and Technical Credits
16,Vincent Lascoumes,,Assistant Director,Production and Technical Credits
17,Malu Miranda,,Assistant Director,Production and Technical Credits
18,Spiro Razatos,,Second Unit Director,Production and Technical Credits
19,Alexander Witt,,Second Unit Director,Production and Technical Credits
20,Michael Fottrell,,Unit Production Manager,Production and Technical Credits
21,Fernando Zagallo,,Production Manager,Production and Technical Credits
22,Thomas Hayslip,,Production Supervisor,Production and Technical Credits
23,Thomas Valentine,,Supervising Art Director,Production and Technical Credits
24,Andrew Neskorommy,,Art Director,Production and Technical Credits
25,Beat Frutiger,,Art Director,Production and Technical Credits
26,Robert Kensinger,,Set Decorator,Production and Technical Credits
27,Monica Costa,,Set Decorator,Production and Technical Credits
28,Igor Meglic,,Second Unit Camera,Production and Technical Credits
29,Michael J. Wassel,,Visual Effects Supervisor,Production and Technical Credits
30,R. Bruce Steinheimer,,Special Effects Coordinator,Production and Technical Credits
31,Nick Scarano,,Costume Supervisor,Production and Technical Credits
32,Gladyris Silva,,Costume Supervisor,Production and Technical Credits
33,Whit Norris,,Sound Mixer,Production and Technical Credits
34,Jorge Saldanha,,Sound Mixer,Production and Technical Credits
35,Jon Taylor,,Re-recording Mixer,Production and Technical Credits
36,Frank A. Montano,,Re-recording Mixer,Production and Technical Credits
37,Peter Brown,,Supervising Sound Editor,Production and Technical Credits
38,Tim Walston,,Sound Effects Editor,Production and Technical Credits
39,Charles Maynes,,Sound Effects Editor,Production and Technical Credits
40,Peter Brown,,Sound Designer,Production and Technical Credits
41,Glynna Grimala,,Sound Designer,Production and Technical Credits
42,Ann Scibelli,,Sound Designer,Production and Technical Credits
43,Stephen Robinson,,Sound Designer,Production and Technical Credits
44,Peter Staubli,,Sound Designer,Production and Technical Credits
45,Anna Mackenzie,,Supervising Dialogue Editor,Production and Technical Credits
46,Laura Harris Atkinson,,Dialogue Editor,Production and Technical Credits
47,Sheri Ozeki,,Music Editor,Production and Technical Credits
48,Joe Lisanti,,Music Editor,Production and Technical Credits
49,John Blake,,Make up,Production and Technical Credits
50,James Mackinnon,,Make up,Production and Technical Credits
51,Joani Yarbrough,,Hairstylist,Production and Technical Credits
52,Jo Jo Stephens,,Hairstylist,Production and Technical Credits
53,Mike Gunther,,Stunt Coordinator,Production and Technical Credits
54,Troy Robinson,,Stunt Coordinator,Production and Technical Credits
55,Spiro Razatos,,Stunt Coordinator,Production and Technical Credits
56,Jack Gill,,Second Unit Stunt Coordinator,Production and Technical Credits
57,Kelvin McIlwain,,Visual Effects Supervisor,Production and Technical Credits
