,0,1,2,type
0,Dan Whitney,,Mater,Leading Cast
1,Owen Wilson,,Lightning McQueen,Leading Cast
2,Michael Caine,,Finn McMissle,Leading Cast
3,Emily Mortimer,,Holley Shiftwell,Leading Cast
0,Eddie Izzard,,Miles Axlerod,Supporting Cast
1,John Turturro,,Francesco Bernoulli,Supporting Cast
2,Brent Musburger,,Brent Mustangburger,Supporting Cast
3,Joe Mantegna,,Grem,Supporting Cast
4,Thomas Kretschmann,,Professor Zundapp,Supporting Cast
5,Peter Jacobson,,Acer,Supporting Cast
6,Bonnie Hunt,,Sally,Supporting Cast
7,Darrell Waltrip,,Darrell Cartrip,Supporting Cast
8,Franco Nero,,Uncle Topolino,Supporting Cast
9,David Hobbs,,David Hobbscap,Supporting Cast
10,Patrick Walker,,Mel Dorado,Supporting Cast
11,Tony Shalhoub,,Luigi,Supporting Cast
12,Jeff Garlin,,Otis,Supporting Cast
13,Michel Michelis,,Tomber,Supporting Cast
14,Jason Isaacs,,Siddeley and Leland Turbo,Supporting Cast
15,Lloyd Sherr,,Fillmore and Combat Ship,Supporting Cast
16,Bruce Campbell,,"Rod ""Torque"" Redline",Supporting Cast
17,Teresa Gallagher,,Mater's Computer,Supporting Cast
18,Jennifer Lewis,,Flo,Supporting Cast
19,Stanley Townsend,,Victor Hugo/Vladimir Trunkov/Ivan the Tow Truck,Supporting Cast
20,Velibor Topic,,Alexander Hugo,Supporting Cast
21,Guido Quaroni,,Guido,Supporting Cast
22,Vanessa Redgrave,,The Queen and Mama Topolino,Supporting Cast
23,John Mainieri,,J Curby Gremlin,Supporting Cast
24,Brad Lewis,,Tubbs Pacer,Supporting Cast
25,Cheech Marin,,Ramone,Supporting Cast
26,Paul Dooley,,Sarge,Supporting Cast
27,Edie McClurg,,Minny,Supporting Cast
28,Richard Kind,,Van,Supporting Cast
29,Katherine Helmond,,Lizzie,Supporting Cast
30,Michael Wallis,,Sheriff,Supporting Cast
0,Sig Hansen,,Crabby the Boat,Cameos
1,Jeff Gordon,,Jeff Corvette,Cameos
2,Lewis Hamilton,,Lewis Hamilton,Cameos
3,John Ratzenberger,,Mack,Cameos
0,John Lasseter,,Director,Production and Technical Credits
1,Brad Lewis,,Co-Director,Production and Technical Credits
2,Denise Ream,,Producer,Production and Technical Credits
3,Mark Nielsen,,Associate Producer,Production and Technical Credits
4,Guillermo Del Turbo,,Executive Producer,Production and Technical Credits
5,John Lasseter,,Story Creator,Production and Technical Credits
6,Brad Lewis,,Story Creator,Production and Technical Credits
7,Dan Fogelman,,Story Creator,Production and Technical Credits
8,Ben Queen,,Screenwriter,Production and Technical Credits
9,Michael Giacchino,,Composer,Production and Technical Credits
10,Nathan Stanton,,Story Supervisor,Production and Technical Credits
11,Stephen Schaffer,,Editor,Production and Technical Credits
12,Harley Jessup,,Production Designer,Production and Technical Credits
13,Jake Martin,,Production Manager,Production and Technical Credits
14,Shawn Krause,,Supervising Animator,Production and Technical Credits
15,Dave Mullins,,Supervising Animator,Production and Technical Credits
16,Sharon Calahan,,Director of Photography - Lighting,Production and Technical Credits
17,Jeremy Lasky,,Director of Photography - Camera,Production and Technical Credits
18,John Halstead,,Sets Supervisor,Production and Technical Credits
19,Sajan Skaria,,Character Supervisor,Production and Technical Credits
20,Robert Moyer,,Character Supervisor,Production and Technical Credits
21,Gary Bruins,,Effects Supervisor,Production and Technical Credits
22,Jay Shuster,,Character Art Director,Production and Technical Credits
23,Nat McLaughlin,,Sets Art Director,Production and Technical Credits
24,Bert Berry,,Shading Art Direction,Production and Technical Credits
25,Tom Myers,,Sound Designer,Production and Technical Credits
26,Kevin Reher,,Casting Director,Production and Technical Credits
27,Natalie Lyon,,Casting Director,Production and Technical Credits
28,Tom MacDougall,,Music Supervisor,Production and Technical Credits
29,Paul Cichocki,,Post-Production Supervisor,Production and Technical Credits
