,0,1,2,type
0,"Robert Downey, Jr.",,Sherlock Holmes,Leading Cast
1,Jude Law,,Dr. John Watson,Leading Cast
2,Noomi Rapace,,Madam Simza Heron,Leading Cast
3,Rachel McAdams,,Irene Adler,Leading Cast
4,Jared Harris,,Professor James Moriarty,Leading Cast
0,Stephen Fry,,Mycroft Holmes,Supporting Cast
1,Paul Anderson,,Colonel Sebastian Moran,Supporting Cast
2,Kelly Reilly,,Mary Watson,Supporting Cast
3,Geraldine James,,Mrs. Hudson,Supporting Cast
4,Eddie Marsan,,Inspector Lestrade,Supporting Cast
5,William Houston,,Constable Clark,Supporting Cast
6,Wolf Kahler,,Doctor Hoffmanstahl,Supporting Cast
7,Iain Mitchell,,Auctioneer,Supporting Cast
8,Jack Laskey,,Carruthers,Supporting Cast
9,Patricia Slater,,Shush Club Maitre D,Supporting Cast
10,Karima Adebibe,,Shush Club Maitre D,Supporting Cast
11,Richard Cunningham,,Businessman,Supporting Cast
12,Marcus Shakesheff,,Hashisheen,Supporting Cast
13,Mark Sheals,,Cock Fight Referee,Supporting Cast
14,George Taylor,,University Student,Supporting Cast
15,Michael A. Webber,,Vicar,Supporting Cast
16,Mike Grady,,Train Conductor,Supporting Cast
17,Alexandre Carril,,Twin,Supporting Cast
18,Victor Carril,,Twin,Supporting Cast
19,Thorston Manderlay,,Alfred Meinhard,Supporting Cast
20,Afif Ben Badra,,Tamas,Supporting Cast
21,Daniel Naprous,,Marko,Supporting Cast
22,Lancelot Weaver,,Stefan,Supporting Cast
23,Vladimir Furdik,,Andrzej,Supporting Cast
24,Jacques Senet Larson,,Gypsy Kid,Supporting Cast
25,Nicolas Senet Larson,,Gypsy Kids,Supporting Cast
26,Sebastian Senet Larson,,Gypsy Kid,Supporting Cast
27,Alexander Devrient,,Gypsies,Supporting Cast
28,Fatima Adoum,,Gypsy,Supporting Cast
29,Stanley Kaye,,Stanley,Supporting Cast
30,Thierry Neuvic,,Claude Ravache,Supporting Cast
31,Martin Nelson,,Commendatore,Supporting Cast
32,Mark Llewelyn-Evans,,Don Giovanni,Supporting Cast
33,Anthony Inglis,,Conductor,Supporting Cast
34,Ian Wilson-Pope,,Leporello,Supporting Cast
35,Pamela Hay,,Elvira,Supporting Cast
36,Laurence Dobiesz,,Servant,Supporting Cast
37,Peter Stark,,German Officer,Supporting Cast
38,Roman Jankovic,,German Officer,Supporting Cast
39,Frederick Ruth,,Ballroom Attendant,Supporting Cast
40,Carsten Hayes,,Ballroom Photographer,Supporting Cast
41,Jonathan Christie,,Diplomat,Supporting Cast
42,James McNeill,,Diplomat,Supporting Cast
43,Laurentiu Possa,,Rene Heron,Supporting Cast
44,Maitland Chandler,,Banker,Supporting Cast
45,Joe Egan,,Big Joe,Supporting Cast
0,Clive Russell,,Captain Tanner,Cameos
0,Guy Ritchie,,Director,Production and Technical Credits
1,Michele Mulroney,,Screenwriter,Production and Technical Credits
2,Kieran Mulroney,,Screenwriter,Production and Technical Credits
3,Joel Silver,,Producer,Production and Technical Credits
4,Lionel Wigram,,Producer,Production and Technical Credits
5,Susan Downey,,Producer,Production and Technical Credits
6,Dan Lin,,Producer,Production and Technical Credits
7,Arthur Conan Doyle,,Sherlock Holmes and Dr. Watson were created by the late Sir Arthur Conan Doyle and appear in stories and novels by him.,Production and Technical Credits
8,Bruce Berman,,Executive Producer,Production and Technical Credits
9,Steve Clark-Hall,,Executive Producer,Production and Technical Credits
10,Lauren Meek,,Co-Producer,Production and Technical Credits
11,Ethan Erwin,,Co-Producer,Production and Technical Credits
12,Philippe Rousselot,,Director of Photography,Production and Technical Credits
13,Sarah Greenwood,,Production Designer,Production and Technical Credits
14,James Herbert,,Editor,Production and Technical Credits
15,Reg Poerscout-Edgerton,,Casting,Production and Technical Credits
16,Hans Zimmer,,Composer,Production and Technical Credits
17,Hans Zimmer,,Music Producer,Production and Technical Credits
18,Lorne Balfe,,Music Producer,Production and Technical Credits
19,Jenny Beavan,,Costume Designer,Production and Technical Credits
20,Chas Jarrett,,Visual Effects Supervisor,Production and Technical Credits
21,Max Keene,,First Assistant Director,Production and Technical Credits
22,Mark Mostyn,,Unit Production Manager,Production and Technical Credits
23,Peter Eskelsen,,Associate Producer,Production and Technical Credits
24,Christine Blundell,,Make-up and Hair Designer,Production and Technical Credits
25,Niall Moroney,,Supervising Art Director,Production and Technical Credits
26,James Foster,,Art Director,Production and Technical Credits
27,Nick Gottschalk,,Art Director,Production and Technical Credits
28,Matt Gray,,Art Director,Production and Technical Credits
29,Katie Spencer,,Supervising Set Decorator,Production and Technical Credits
30,Alison Harvey,,Set Decorator,Production and Technical Credits
31,Chris Munro,,Sound,Production and Technical Credits
32,Oliver Tarney,,Supervising Sound Editor,Production and Technical Credits
33,Mark Holt,,Special Effects Supervisor,Production and Technical Credits
34,Paul Jennings,,Second Unit Director,Production and Technical Credits
35,Chad Stahelski,,Second Unit Director,Production and Technical Credits
36,David Higgs,,Second Unit Camera,Production and Technical Credits
37,Alan Stewart,,Second Unit Camera,Production and Technical Credits
38,Franklin Hanson,,Stunt Coordinator,Production and Technical Credits
39,Markos Rounthwaite,,Stunt Coordinator,Production and Technical Credits
40,Chad Stahelski,,Stunt Coordinator,Production and Technical Credits
41,Richard R. Ryan,,Fight Coordinator,Production and Technical Credits
42,Will Dodds,,Second Assistant Director: Second Unit,Production and Technical Credits
43,Simon Chase,,Dialogue Editor,Production and Technical Credits
