,0,1,2,type
0,Chris Hemsworth,,Thor,Lead Ensemble Members
1,Natalie Portman,,Jane Foster,Lead Ensemble Members
2,Tom Hiddleston,,Loki,Lead Ensemble Members
3,Anthony Hopkins,,Odin,Lead Ensemble Members
4,Idris Elba,,Heimdall,Lead Ensemble Members
0,Stellan Skarsgård,,Erik Selvig,Supporting Cast
1,Kat Dennings,,Darcy Lewis,Supporting Cast
2,Clark Gregg,,Agent Coulson,Supporting Cast
3,Colm Feore,,King Laufey,Supporting Cast
4,Ray Stevenson,,Volstagg,Supporting Cast
5,Tadanobu Asano,,Hogun,Supporting Cast
6,Josh Dallas,,Fandral,Supporting Cast
7,Jaimie Alexander,,Sif,Supporting Cast
8,Rene Russo,,Frigga,Supporting Cast
9,Adriana Barraza,,Isabela Alvarez,Supporting Cast
10,Darren Kendrick,,Frost Giant Sentry,Supporting Cast
11,Maximiliano Hernández,,Agent Sitwell,Supporting Cast
12,Josh Coxx,,Frost Giant Hailstrum,Supporting Cast
13,Justice Jesse Smith,,Frost Giant Brute,Supporting Cast
14,Richard Cetrone,,Frost Giant Captian,Supporting Cast
15,Joseph Gatt,,Frost Giant Grundoth,Supporting Cast
16,Luke Massy,,Frost Giant Raze,Supporting Cast
17,Matthew Ducey,,Einherjar Guards,Supporting Cast
18,Jason Camp,,Einherjar Guard,Supporting Cast
19,Buddy Sosthand,,Agent Delancey,Supporting Cast
20,Blake Silver,,Techie,Supporting Cast
21,Jamie McShane,,Agent Jackson,Supporting Cast
22,Dale Gooboloo,,Agent Garrett,Supporting Cast
23,Patrick O Brien Demsey,,Agent Cale,Supporting Cast
24,Jim Palmer,,SHIELD Guard,Supporting Cast
25,Seth Coltan,,Townie,Supporting Cast
26,J. Michael Straczynski,,Townie,Supporting Cast
27,Ryan Schaeffer,,Townies,Supporting Cast
28,Matt Battaglia,,Pete,Supporting Cast
29,Joel McCrary,,Drunk Townie,Supporting Cast
30,Isaac Kappy,,Pet Store Clerk,Supporting Cast
31,Juliet Lopez,,Pet Store Clerk,Supporting Cast
32,Rob Mars,,Orderly,Supporting Cast
33,Carrie Lazar,,Viking Mother,Supporting Cast
34,Harley Graham,,Viking Child,Supporting Cast
35,Alexander Wright,,Viking Elder,Supporting Cast
36,Hilary Pingle,,Viking,Supporting Cast
37,Shawn-Caulin Young,,Viking,Supporting Cast
38,Kinsey McLean,,Viking,Supporting Cast
39,Kelly Hawthorne,,Viking,Supporting Cast
40,Dakota Goyo,,Young Thor,Supporting Cast
41,Ted Allpress,,Young Loki,Supporting Cast
0,Stan Lee,,Stan the Man,Cameos
1,Samuel L. Jackson,,Nick Fury (uncredited),Cameos
0,Kenneth Branagh,,Director,Production and Technical Credits
1,Ashley Edward Miller,,Screenwriter,Production and Technical Credits
2,Zack Stentz,,Screenwriter,Production and Technical Credits
3,Don Payne,,Screenwriter,Production and Technical Credits
4,J. Michael Straczynski,,Story by,Production and Technical Credits
5,Mark Protosevich,,Story by,Production and Technical Credits
6,Kevin Feige,,Producer,Production and Technical Credits
7,Patricia Whitcher,,Executive Producer,Production and Technical Credits
8,Louis D’Esposito,,Executive Producer,Production and Technical Credits
9,Alan Fine,,Executive Producer,Production and Technical Credits
10,Stan Lee,,Executive Producer,Production and Technical Credits
11,David Maisel,,Executive Producer,Production and Technical Credits
12,Haris Zambarloukos,,Director of Photography,Production and Technical Credits
13,Bo Welch,,Production Designer,Production and Technical Credits
14,Paul Rubell,,Editor,Production and Technical Credits
15,Alexandra Byrne,,Costume Designer,Production and Technical Credits
16,Craig Kyle,,Co-Producer,Production and Technical Credits
17,Victoria Alonso,,Co-Producer,Production and Technical Credits
18,Dave Jordan,,Music Supervisor,Production and Technical Credits
19,Patrick Doyle,,Composer,Production and Technical Credits
20,Stan Lee,,Story Creator,Production and Technical Credits
21,Larry Lieber,,Story Creator,Production and Technical Credits
22,Jack Kirby,,Story Creator,Production and Technical Credits
23,Maya Shimoguchi,,Supervising Art Director,Production and Technical Credits
24,Kasra Faranahi,,Art Director,Production and Technical Credits
25,Luke Freeborn,,Art Director,Production and Technical Credits
26,Sean Haworth,,Art Director,Production and Technical Credits
27,A. Todd Holland,,Art Director,Production and Technical Credits
28,Lauri Gaffin,,Set Decorator,Production and Technical Credits
29,Peter J. Devlin,,Sound Mixer,Production and Technical Credits
30,Steve Durkee,,Supervising Music Editor,Production and Technical Credits
31,Richard King,,Supervising Sound Editor,Production and Technical Credits
32,Richard King,,Sound Designer,Production and Technical Credits
33,Wesley Sewell,,Visual Effects Supervisor,Production and Technical Credits
34,Eric Petey,,Animation Supervisor,Production and Technical Credits
35,Andy Armstrong,,Stunt Coordinator,Production and Technical Credits
36,Luc Etienne,,Assistant Director,Production and Technical Credits
37,Vic Armstrong,,Second Unit Director,Production and Technical Credits
38,Christopher Manley,,Second Unit Camera,Production and Technical Credits
39,Randi Hiller,,Casting Director,Production and Technical Credits
40,Sarah Halley Finn,,Casting Director,Production and Technical Credits
41,Diana Giorgiutti,,Visual Effects Producer,Production and Technical Credits
42,Kelly Port,,Visual Effects Supervisor,Production and Technical Credits
