,0,1,2,type
0,John C. Reilly,,Ralph,Lead Ensemble Members
1,Sarah Silverman,,Vanellope,Lead Ensemble Members
2,Jack McBrayer,,Felix,Lead Ensemble Members
3,Jane Lynch,,Calhoun,Lead Ensemble Members
4,Alan Tudyk,,King Candy,Lead Ensemble Members
5,Mindy Kaling,,Taffyta Muttonfudge,Lead Ensemble Members
6,Joe Lo Truglio,,Markowski,Lead Ensemble Members
7,Ed O'Neill,,Mr. Litwak,Lead Ensemble Members
8,Dennis Haysbert,,General Hologram,Lead Ensemble Members
0,Adam Carolla,,Wynnchel,Supporting Cast
1,Rachael Harris,,Deanna,Supporting Cast
2,Edie McClurg,,Mary,Supporting Cast
3,Horatio Sanz,,Duncan,Supporting Cast
4,Stefanie Scott,,Moppet Girl,Supporting Cast
5,Bob Bergen,,Additional Voices,Supporting Cast
0,Clark Spencer,,Producer,Production and Technical Credits
1,John Lasseter,,Executive Producer,Production and Technical Credits
2,Rich Moore,,Director,Production and Technical Credits
3,Phil Johnston,,Screenwriter,Production and Technical Credits
4,Jennifer Lee,,Screenwriter,Production and Technical Credits
5,Rich Moore,,Story Creator,Production and Technical Credits
6,Phil Johnston,,Story Creator,Production and Technical Credits
7,Jim Reardon,,Story Creator,Production and Technical Credits
8,Tim Mertens,,Editor,Production and Technical Credits
9,Henry Jackman,,Composer,Production and Technical Credits
10,Tom MacDougall,,Music Supervisor,Production and Technical Credits
11,Mike Gabriel,,Art Director,Production and Technical Credits
12,Scott Kersavage,,Visual Effects Supervisor,Production and Technical Credits
13,Jim Reardon,,Story Supervisor,Production and Technical Credits
14,Rob Dressel,,Layout Supervisor,Production and Technical Credits
15,Adolph Lusinsky,,Director of look and lighting,Production and Technical Credits
16,Renato Dos Anjos,,Animation Supervisor,Production and Technical Credits
17,Sean D. Jenkins,,CG Supervisor,Production and Technical Credits
18,Dave Komorowski,,Character CG Supervisor,Production and Technical Credits
19,Gary Rydstrom,,Sound Designer,Production and Technical Credits
20,Frank Eulner,,Supervising Sound Editor,Production and Technical Credits
21,David E. Fluhr,,Re-recording Mixer,Production and Technical Credits
22,Gary A. Rizzo,,Re-recording Mixer,Production and Technical Credits
23,Robert Neuman,,Stereoscopic Supervisor,Production and Technical Credits
24,Monica Lago-Kaytis,,Associate Producer,Production and Technical Credits
25,Jamie Sparer Roberts,,Casting,Production and Technical Credits
