,0,1,2,type
0,Daniel Day-Lewis,,Abraham Lincoln,Leading Cast
0,Sally Field,,Mary Todd Lincoln,Supporting Cast
1,David Strathairn,,William Seward,Supporting Cast
2,Joseph Gordon-Levitt,,Robert Todd Lincoln,Supporting Cast
3,James Spader,,W.N. Bilbo,Supporting Cast
4,Hal Holbrook,,Preston Blair,Supporting Cast
5,Tommy Lee Jones,,Thaddeus Stevens,Supporting Cast
6,John Hawkes,,Robert Latham,Supporting Cast
7,Jackie Earle Haley,,Alexander Stephens,Supporting Cast
8,Bruce McGill,,Edwin Stanton,Supporting Cast
9,Tim Blake Nelson,,Richard Schell,Supporting Cast
10,Joseph Cross,,John Hay,Supporting Cast
11,Jared Harris,,Ulyses S. Grant,Supporting Cast
12,Lee Pace,,Fernando Wood,Supporting Cast
13,Peter McRobbie,,George Pendleton,Supporting Cast
14,Gulliver McGrath,,Tad Lincoln,Supporting Cast
15,Gloria Reuben,,Elizabeth Keckley,Supporting Cast
16,Jeremy Strong,,John Nicolay,Supporting Cast
17,Michael Stuhlbarg,,George Yeaman,Supporting Cast
18,Boris McGiver,,Alexander Coffroth,Supporting Cast
19,David Costabile,,James Ashley,Supporting Cast
20,Stephen Spinella,,Asa Vintner Litton,Supporting Cast
21,Walton Goggins,,Clay Hawkins,Supporting Cast
22,David Warshofsky,,William Hutton,Supporting Cast
23,Colman Domingo,,Private Harold Green,Supporting Cast
24,David Oyelowo,,Corporal Ira Clark,Supporting Cast
25,Lukas Haas,,First White Soldier,Supporting Cast
26,Dane DeHaan,,Second White Soldier,Supporting Cast
27,Carlos Thompson,,Navy Yard - Shouting Soldier,Supporting Cast
28,Bill Camp,,Mr. Jolly,Supporting Cast
29,Elizabeth Marvel,,Mrs. Jolly,Supporting Cast
30,Byron Jennings,,Montgomery Blair,Supporting Cast
31,Julie White,,Elizabeth Blair Lee,Supporting Cast
32,Charmaine Crowell-White,,Minerva - Blair's Servant,Supporting Cast
33,Ralph D. Edlow,,Leo - Blair's Servant,Supporting Cast
34,Grainger Hines,,Gideon Welles,Supporting Cast
35,Richard Topol,,James Speed,Supporting Cast
36,Walt Smith,,William Fessenden,Supporting Cast
37,Dakin Matthews,,John Usher,Supporting Cast
38,James Ike Eichling,,William Dennison,Supporting Cast
39,Wayne Duvall,,Senator Bluff Wade,Supporting Cast
40,Bill Raymond,,Schuyler Colfax,Supporting Cast
41,Michael Stanton Kennedy,,Hiram Price,Supporting Cast
42,Ford Flannagan,,White House Doorkeeper - Tom Pendel,Supporting Cast
43,Bob Ayers,,White House Petitioner,Supporting Cast
44,Robert Peters,,Jacob Graylor,Supporting Cast
45,John Moon,,Edwin LeClerk,Supporting Cast
46,Kevin Lawrence O'Donnell,,Charles Hanson,Supporting Cast
47,Jamie Horton,,Giles Stuart,Supporting Cast
48,Joseph Dellinger,,Nelson Merrick,Supporting Cast
49,Richard Warner,,Homer Benson,Supporting Cast
50,Elijah Chester,,Union Army Officer,Supporting Cast
51,Dave Hager,,Captain Nathan Saunders - River Queen,Supporting Cast
52,Sean Haggerty,,Officer in Peace Commissioners Exchange,Supporting Cast
53,Michael Shiflett,,Senator R.M.T. Hunter,Supporting Cast
54,Gregory Itzin,,Judge John A. Campbell,Supporting Cast
55,Stephen Dunn,,Petersburg Siege Lines,Supporting Cast
56,Stephen McKinley Henderson,,William Slade,Supporting Cast
57,Chase Edmunds,,Willie Lincoln,Supporting Cast
58,John Hutton,,Senator Charles Sumner,Supporting Cast
59,Robert Ruffin,,Major Thompson Echert,Supporting Cast
60,Drew Sease,,David Homer Bates,Supporting Cast
61,John Lescault,,Gustavus Fox,Supporting Cast
62,Scott Wichmann,,Charles Benjamin,Supporting Cast
63,Adam Driver,,Samuel Beckwith,Supporting Cast
64,Jean Kennedy Smith,,House of Representatives - Women Shouter,Supporting Cast
65,Shirley Augustine,,House of Representatives - Women Shouter,Supporting Cast
66,Sarah Wylie,,House of Representatives - Women Shouter,Supporting Cast
67,Margaret Ann McGowan,,House of Representatives - Women Shouter,Supporting Cast
68,Hilary Montgomery,,House of Representatives - Women Shouter,Supporting Cast
69,Asa-Luke Twocrow,,Ely Parker,Supporting Cast
70,Lancer Shull,,Union Soldier - Bodyguard,Supporting Cast
71,George Turman,,Milatary Hospital Doctor,Supporting Cast
72,Robert Wilharm,,Wounded Soldier,Supporting Cast
73,Kevin Kline,,Wounded Soldier,Supporting Cast
74,John Jones,,Wounded Soldier,Supporting Cast
75,Paul Gowans,,Wounded Soldier,Supporting Cast
76,Joseph Miller,,Wounded Soldier,Supporting Cast
77,John Bellemer,,Faust,Supporting Cast
78,Mary Dunleavy,,Marguerite,Supporting Cast
79,Christopher Evan Welch,,Clerk - Edward McPherson,Supporting Cast
80,Alan Sader,,Sergeant At Arms,Supporting Cast
81,Gannon McHale,,Aaron Benjamin,Supporting Cast
82,Ken Lambert,,Augustus Benjamin,Supporting Cast
83,Tom Belgrey,,Arthur Bentleigh,Supporting Cast
84,Ted Johnson,,John Ellis,Supporting Cast
85,Don Henderson Baker,,Walter Appleton,Supporting Cast
86,Raynor Scheine,,Josiah S. 'Beanpole' Burton,Supporting Cast
87,Armistead Nelson Wellford,,Nehemiah Cleary,Supporting Cast
88,Michael Ruff,,Harold Hollister,Supporting Cast
89,Rich Wills,,House of Representatives - Soldier One,Supporting Cast
90,Stephen Bozzo,,House of Representatives - Soldier Two,Supporting Cast
91,Christopher Alan Stewart,,Sergeant - Grant's HQ,Supporting Cast
92,Teddy Eck,,Corporal - Grant's HQ,Supporting Cast
93,Todd Fletcher,,Walter H. Washburn,Supporting Cast
