,0,1,2,type
0,Will Smith,,Agent J,Leading Cast
1,Tommy Lee Jones,,Agent K,Leading Cast
2,Josh Brolin,,Young Agent K,Leading Cast
0,Jemaine Clement,,Boris the Animal,Supporting Cast
1,Emma Thompson,,Agent O,Supporting Cast
2,Alice Eve,,Young Agent O,Supporting Cast
3,Michael Stuhlbarg,,Griffin,Supporting Cast
4,Bill Hader,,Andy Warhol,Supporting Cast
0,Barry Sonnenfeld,,Director,Production and Technical Credits
1,Etan Cohen,,Screenwriter,Production and Technical Credits
2,Lowell Cunningham,,Based on the Malibu Comic by,Production and Technical Credits
3,Walter F. Parkes,,Producer,Production and Technical Credits
4,Laurie MacDonald,,Producer,Production and Technical Credits
5,Steven Spielberg,,Executive Producer,Production and Technical Credits
6,G. Mac Brown,,Executive Producer,Production and Technical Credits
7,Bill Pope,,Cinematographer,Production and Technical Credits
8,Don Zimmerman,,Editor,Production and Technical Credits
9,Danny Elfman,,Composer,Production and Technical Credits
10,Bo Welch,,Production Designer,Production and Technical Credits
11,Mary Vogt,,Costume Designer,Production and Technical Credits
12,W. Steven Graham,,Art Director,Production and Technical Credits
13,Maya Shimoguchi,,Art Director,Production and Technical Credits
14,Susan Bode,,Set Decorator,Production and Technical Credits
15,Peter Kurland,,Sound Designer,Production and Technical Credits
16,Tom Fleischman,,Re-recording Mixer,Production and Technical Credits
17,Paul N. J. Ottosson,,Re-recording Mixer,Production and Technical Credits
18,Ken Ralston,,Visual Effects Supervisor,Production and Technical Credits
19,Jay Redd,,Visual Effects Supervisor,Production and Technical Credits
20,Simon Crane,,Stunt Coordinator,Production and Technical Credits
21,Michael Lerman,,Assistant Director,Production and Technical Credits
22,Ellen Chenoweth,,Casting Director,Production and Technical Credits
23,Igor Meglic,,Second Unit Camera,Production and Technical Credits
24,John M. Morse,,Second Assistant Director,Production and Technical Credits
25,Brett Robinson,,Second Second Assistant Director,Production and Technical Credits
