,0,1,2,type
0,Jamie Foxx,,Django,Leading Cast
1,Christoph Waltz,,Dr. King Schultz,Leading Cast
2,Leonardo DiCaprio,,Calvin Candie,Leading Cast
0,Kerry Washington,,Broomhilda von Shaft,Supporting Cast
1,Samuel L. Jackson,,Stephen,Supporting Cast
2,Walton Goggins,,Billy Crash,Supporting Cast
3,Dennis Christopher,,Leonide Moguy,Supporting Cast
4,James Remar,,Ace Speck,Supporting Cast
5,David Steen,,Mr. Stonesipher,Supporting Cast
6,Dana Gourrier,,Cora,Supporting Cast
7,Nichole Galicia,,Sheba,Supporting Cast
8,Laura Cayouette,,Lara Lee Candie-Fitzwilly,Supporting Cast
9,Sammi Rotibi,,Rodney,Supporting Cast
10,Todd Allen,,Dollar Bill,Supporting Cast
11,Jonah Hill,,Bag Head,Supporting Cast
12,Bruce Dern,,Old Man Carrucan,Supporting Cast
13,Omar J. Dorsey,,Chicken Charlie,Supporting Cast
14,M.C. Gainey,,Big John Brittle,Supporting Cast
15,Don Johnson,,Big Daddy,Supporting Cast
16,Tom Savini,,Elvis Brittle/Tracker,Supporting Cast
17,Misty Upham,,Minnie,Supporting Cast
18,James Russo,,Dicky Speck,Supporting Cast
19,RZA,,Thaddeus,Supporting Cast
20,Tom Wopat,,U.S. Marshal Gill Tatum,Supporting Cast
21,Don Stroud,,Sheriff Bill Sharp,Supporting Cast
22,Amber Tamblyn,,Daughter of Son of a Gunfighter,Supporting Cast
23,Cooper Huckabee,,Lil Raj Brittle,Supporting Cast
24,Doc Duhame,,Ellis Brittle,Supporting Cast
25,Lee Horsley,,Sheriff Gus,Supporting Cast
26,Ato Essandoh,,d'Artagnan,Supporting Cast
27,Zoë Bell,,Tracker,Supporting Cast
28,Michael Bowen,,Tracker,Supporting Cast
29,Robert Carradine,,Tracker,Supporting Cast
30,Jake Garber,,Tracker,Supporting Cast
31,Ted Neeley,,Tracker,Supporting Cast
32,James Parks,,Tracker,Supporting Cast
33,Michael Parks,,LeQuint Dickey Mining Co. Employee,Supporting Cast
34,John Jarratt,,LeQuint Dickey Mining Co. Employee,Supporting Cast
0,Quentin Tarantino,,LeQuint Dickey Mining Co. Employee,Cameos
0,Quentin Tarantino,,Director,Production and Technical Credits
1,Quentin Tarantino,,Screenwriter,Production and Technical Credits
2,Stacey Sher,,Producer,Production and Technical Credits
3,Reginald Hudlin,,Producer,Production and Technical Credits
4,Pilar Savone,,Producer,Production and Technical Credits
5,Bob Weinstein,,Executive Producer,Production and Technical Credits
6,Harvey Weinstein,,Executive Producer,Production and Technical Credits
7,Shannon McIntosh,,Executive Producer,Production and Technical Credits
8,Michael Shamberg,,Executive Producer,Production and Technical Credits
9,James W. Skotchdopole,,Executive Producer,Production and Technical Credits
10,Robert Richardson,,Cinematographer,Production and Technical Credits
11,Fred Raskin,,Editor,Production and Technical Credits
12,Mary Ramos,,Music Supervisor,Production and Technical Credits
13,J. Michael Riva,,Production Designer,Production and Technical Credits
14,David Klassen,,Supervising Art Director,Production and Technical Credits
15,Mara Schloop,,Art Director,Production and Technical Credits
16,Page Buckner,,Art Director,Production and Technical Credits
17,Leslie A. Pope,,Set Decorator,Production and Technical Credits
18,Sharen Davis,,Costume Designer,Production and Technical Credits
19,Mark Ulano,,Sound,Production and Technical Credits
20,Wylie Stateman,,Supervising Sound Editor,Production and Technical Credits
21,Michael Minkler,,Re-recording Mixer,Production and Technical Credits
22,Tony Lamberti,,Re-recording Mixer,Production and Technical Credits
23,John McLeod,,Special Effects Supervisor,Production and Technical Credits
24,Greg Steele,,Visual Effects Supervisor,Production and Technical Credits
25,Gregory Nicotero,,Special Make-up Effects,Production and Technical Credits
26,William Paul Clark,,Associate Producer,Production and Technical Credits
27,William Paul,,Assistant Director,Production and Technical Credits
28,Victoria Thomas,,Casting Director,Production and Technical Credits
29,Hector Gika,,Sound Effects Editor,Production and Technical Credits
30,William Paul Clark,,First Assistant Director,Production and Technical Credits
