,0,1,2,type
0,Ray Romano,,Manny,Leading Cast
1,John Leguizamo,,Sid,Leading Cast
2,Denis Leary,,Diego,Leading Cast
3,Wanda Sykes,,Sid's Ganny,Leading Cast
4,Keke Palmer,,Peaches,Leading Cast
0,Nicki Minaj,,Steffie,Supporting Cast
1,Drake,,Ethan,Supporting Cast
2,Jennifer Lopez,,Shira,Supporting Cast
3,Queen Latifah,,Ellie,Supporting Cast
4,Seann William Scott,,Crash,Supporting Cast
5,Josh Peck,,Eddie,Supporting Cast
6,Peter Dinklage,,Captian Gutt,Supporting Cast
7,Josh Gad,,Louis,Supporting Cast
8,Nick Frost,,Flynn,Supporting Cast
9,Aziz Ansari,,Squint,Supporting Cast
10,Alan Tudyk,,Milton/Hunky Siren,Supporting Cast
11,Kunal Nayyar,,Gupta,Supporting Cast
12,Eddie Sotelo,,Uncle Fungus,Supporting Cast
13,Joy Behar,,Eunice,Supporting Cast
14,Alain Chabat,,Silas,Supporting Cast
15,Heather Morris,,Katie,Supporting Cast
16,Christopher Campbell,,Creature Siren/Various,Supporting Cast
17,Karen Disher,,Scratte,Supporting Cast
18,Jason Fricchione,,Dumb Mammoth/Various,Supporting Cast
19,Ben Gleib,,Marshall,Supporting Cast
20,George Jacobs,,Beaver,Supporting Cast
21,James M. Palumbo,,Panicked Start,Supporting Cast
22,Alexandra Romano,,Meghan,Supporting Cast
23,Matthew D. Simmons,,Teen Elk,Supporting Cast
24,Patrick Stewart,,Ariscratle,Supporting Cast
25,Meghan Thurmeier,,Baby Bird,Supporting Cast
26,Chris Wedge,,Scrat,Supporting Cast
27,Keith Silverstein,,Various Voices,Supporting Cast
0,Ester Dean,,Female Siren,Cameos
1,Rebel Wilson,,Raz,Cameos
0,Steve Martino,,Director,Production and Technical Credits
1,Michael Thurmeier,,Director,Production and Technical Credits
2,Michael Berg,,Screenwriter,Production and Technical Credits
3,Jason Fuchs,,Screenwriter,Production and Technical Credits
4,Michael Berg,,Story Creator,Production and Technical Credits
5,Lori Forte,,Story Creator,Production and Technical Credits
6,Lori Forte,,Producer,Production and Technical Credits
7,John C. Donkin,,Producer,Production and Technical Credits
8,Chris Wedge,,Executive Producer,Production and Technical Credits
9,Carlos Saldanha,,Executive Producer,Production and Technical Credits
10,James M. Palumbo,,Editor,Production and Technical Credits
11,David Ian Salter,,Editor,Production and Technical Credits
12,John Powell,,Composer,Production and Technical Credits
13,Renato Falcao,,Director of Photography,Production and Technical Credits
14,Peter De Seve,,Character Designer,Production and Technical Credits
15,Nash Dunnigan,,Art Director,Production and Technical Credits
16,Christian Kaplan,,Casting Director,Production and Technical Credits
17,Anthony Nisi,,Production Manager,Production and Technical Credits
18,Christopher Campbell,,Co-Editor,Production and Technical Credits
19,Randy Thom,,Re-recording Mixer,Production and Technical Credits
20,Lora Hirschberg,,Re-recording Mixer,Production and Technical Credits
21,Scott R. Lewis,,Additional Re Recording Mixer,Production and Technical Credits
22,David Parker,,Additional Re Recording Mixer,Production and Technical Credits
23,Randy Thom,,Supervising Sound Editor,Production and Technical Credits
24,Michael Silvers,,Supervising Sound Editor,Production and Technical Credits
25,Scott Guitteau,,Sound Effects Editor,Production and Technical Credits
26,David Chrastka,,Sound Effects Editor,Production and Technical Credits
27,Nia Hansen,,Sound Effects Editor,Production and Technical Credits
28,Theresa Eckton,,Sound Effects Editor,Production and Technical Credits
29,Randy Thom,,Sound Designer,Production and Technical Credits
30,Brian Chumney,,Dialogue Editor,Production and Technical Credits
31,Tom Carlson,,Music Editor,Production and Technical Credits
32,Adam Schlesinger,,Additional Music,Production and Technical Credits
33,Ester Dean,,Additional Music,Production and Technical Credits
