,0,1,2,type
0,Kristen Stewart,,Snow White,Leading Cast
1,Charlize Theron,,Evil Queen,Leading Cast
2,Chris Hemsworth,,Huntsman,Leading Cast
0,Sam Claflin,,Prince,Supporting Cast
1,Ian McShane,,Ceasar,Supporting Cast
2,Bob Hoskins,,Costanitne,Supporting Cast
3,Ray Winstone,,Trajan,Supporting Cast
4,Nick Frost,,Nion,Supporting Cast
5,Toby Jones,,Claudius,Supporting Cast
6,Johnny Harris,,Quert,Supporting Cast
7,Brian Gleeson,,Gus,Supporting Cast
0,Rupert Sanders,,Director,Production and Technical Credits
1,Evan Daugherty,,Screenwriter,Production and Technical Credits
2,John Lee Hancock,,Screenwriter,Production and Technical Credits
3,Hossein Amini,,Screenwriter,Production and Technical Credits
4,Evan Daugherty,,Story Creator,Production and Technical Credits
5,Joe Roth,,Producer,Production and Technical Credits
6,Sam Mercer,,Producer,Production and Technical Credits
7,Palak Patel,,Executive Producer,Production and Technical Credits
8,Gloria Borders,,Executive Producer,Production and Technical Credits
9,Sarah Bradshaw,,Co-Producer,Production and Technical Credits
10,Greig Fraser,,Cinematographer,Production and Technical Credits
11,Conrad Buff,,Editor,Production and Technical Credits
12,Neil Smith,,Editor,Production and Technical Credits
13,James Newton Howard,,Composer,Production and Technical Credits
14,Dominic Watkins,,Production Designer,Production and Technical Credits
15,Dave Warren,,Supervising Art Director,Production and Technical Credits
16,John Frankish,,Art Director,Production and Technical Credits
17,Stuart Rose,,Art Director,Production and Technical Credits
18,Andrew Ackland-Snow,,Art Director,Production and Technical Credits
19,Alastair Bullock,,Art Director,Production and Technical Credits
20,Oliver Goodier,,Art Director,Production and Technical Credits
21,Fainche MacCarthy,,Set Decorator,Production and Technical Credits
22,Colleen Atwood,,Costume Designer,Production and Technical Credits
23,Chris Munro,,Sound Mixer,Production and Technical Credits
24,Craig Henighan,,Supervising Sound Editor,Production and Technical Credits
25,Neil Corbould,,Special Effects Supervisor,Production and Technical Credits
26,Michael Dawson,,Special Effects Supervisor,Production and Technical Credits
27,Cedric Nicolas-Troyan,,Visual Effects Supervisor,Production and Technical Credits
28,Philip Brennan,,Visual Effects Supervisor,Production and Technical Credits
29,Lynda Ellenshaw Thompson,,Visual Effects Producer,Production and Technical Credits
30,Steve Dent,,Stunt Coordinator,Production and Technical Credits
31,Ben Cooke,,Stunt Coordinator,Production and Technical Credits
32,David White,,Make-up and Prosthetic Effects Designer,Production and Technical Credits
33,Laurie Boccaccio,,Associate Producer,Production and Technical Credits
34,Richard Whelan,,Assistant Director,Production and Technical Credits
35,John Mahaffie,,Second Unit Director,Production and Technical Credits
36,Lucy Bevan,,Casting Director,Production and Technical Credits
37,Jeanette Surga,,Music Editor,Production and Technical Credits
38,Simon Chase,,Dialogue Editor,Production and Technical Credits
