,0,1,2,type
0,Adam Sandler,,Dracula,Lead Ensemble Members
1,Andy Samberg,,Johnnystein,Lead Ensemble Members
2,Selena Gomez,,Mavis,Lead Ensemble Members
3,Kevin James,,Frankenstein,Lead Ensemble Members
4,Fran Drescher,,Eunice,Lead Ensemble Members
5,Steve Buscemi,,Wayne,Lead Ensemble Members
6,Molly Shannon,,Wanda,Lead Ensemble Members
7,David Spade,,Griffin,Lead Ensemble Members
8,Cee Lo Green,,Murray,Lead Ensemble Members
0,Jon Lovitz,,Quasimodo,Supporting Cast
0,Genndy Tartakovsky,,Director,Production and Technical Credits
1,Peter Baynham,,Screenwriter,Production and Technical Credits
2,Robert Smigel,,Screenwriter,Production and Technical Credits
3,Todd Durham,,Story Creator,Production and Technical Credits
4,Dan Hageman,,Story Creator,Production and Technical Credits
5,Kevin Hageman,,Story Creator,Production and Technical Credits
6,Michelle Murdocca,,Producer,Production and Technical Credits
7,Adam Sandler,,Executive Producer,Production and Technical Credits
8,Robert Smigel,,Executive Producer,Production and Technical Credits
9,Lydia Bottegoni,,Co-Producer,Production and Technical Credits
10,Catherine Apple,,Cinematographer,Production and Technical Credits
11,Catherine Apple,,Editor,Production and Technical Credits
12,Mark Mothersbaugh,,Composer,Production and Technical Credits
13,Marcelo Vignali,,Production Designer,Production and Technical Credits
14,Ron Lukas,,Art Director,Production and Technical Credits
15,Noelle Triaureau,,Art Director,Production and Technical Credits
16,John Pospisil,,Sound Designer,Production and Technical Credits
17,Geoffrey G. Rubay,,Supervising Sound Editor,Production and Technical Credits
18,Jason George,,Supervising Sound Editor,Production and Technical Credits
19,Michael Semanick,,Re-recording Mixer,Production and Technical Credits
20,Tom Myers,,Re-recording Mixer,Production and Technical Credits
21,Kaan Kalyon,,Head of Story,Production and Technical Credits
22,James Crossley,,Senior Animation Supervisor,Production and Technical Credits
23,Daniel Kramer,,Visual Effects Supervisor,Production and Technical Credits
24,Von Willimas,,Stereoscopic Supervisor,Production and Technical Credits
25,Mary Hidalgo,,Casting,Production and Technical Credits
