,0,1,2,type
0,Christian Bale,,Bruce Wayne/Batman,Leading Cast
0,Michael Caine,,Alfred,Supporting Cast
1,Gary Oldman,,Commissioner Gordon,Supporting Cast
2,Anne Hathaway,,Selina Kyle,Supporting Cast
3,Tom Hardy,,Bane,Supporting Cast
4,Marion Cotillard,,Miranda Tate,Supporting Cast
5,Joseph Gordon-Levitt,,John Blake,Supporting Cast
6,Morgan Freeman,,Lucius Fox,Supporting Cast
0,Chris Ellis,,,Uncategorized
1,Brett Cullen,,,Uncategorized
2,Joey King,,,Uncategorized
3,Tom Conti,,,Uncategorized
4,Matthew Modine,,,Uncategorized
5,Liam Neeson,,,Uncategorized
0,Christopher Nolan,,Director,Production and Technical Credits
1,Christopher Nolan,,Screenwriter,Production and Technical Credits
2,Christopher Nolan,,Producer,Production and Technical Credits
3,Jonathan Nolan,,Screenwriter,Production and Technical Credits
4,David S. Goyer,,Story Creator,Production and Technical Credits
5,Emma Thomas,,Producer,Production and Technical Credits
6,Charles Roven,,Producer,Production and Technical Credits
7,Benjamin Melniker,,Executive Producer,Production and Technical Credits
8,Michael E. Uslan,,Executive Producer,Production and Technical Credits
9,Kevin De La Noy,,Executive Producer,Production and Technical Credits
10,Thomas Tull,,Executive Producer,Production and Technical Credits
11,Wally Pfister,,Director of Photography,Production and Technical Credits
12,Nathan Crowley,,Production Designer,Production and Technical Credits
13,Kevin Kavanaugh,,Production Designer,Production and Technical Credits
14,Lee Smith,,Editor,Production and Technical Credits
15,Hans Zimmer,,Composer,Production and Technical Credits
16,Lindy Hemming,,Costume Designer,Production and Technical Credits
17,Chris Corbould,,Special Effects Supervisor,Production and Technical Credits
18,Paul Franklin,,Visual Effects Supervisor,Production and Technical Credits
19,Tom Struthers,,Stunt Coordinator,Production and Technical Credits
20,Naaman Marshall,,Supervising Art Director,Production and Technical Credits
21,Joshua Lusby,,Art Director,Production and Technical Credits
22,Dean Wolcott,,Art Director,Production and Technical Credits
23,Zack Grobler,,Art Director,Production and Technical Credits
24,Robert Woodruff,,Art Director,Production and Technical Credits
25,Martha Johnston,,Set Designer,Production and Technical Credits
26,Theodore Sharps,,Set Designer,Production and Technical Credits
27,Paki Smith,,Set Decorator,Production and Technical Credits
28,Julie Ochipinti,,Set Decorator,Production and Technical Credits
29,Ed Novick,,Sound Mixer,Production and Technical Credits
30,Richard King,,Sound Designer,Production and Technical Credits
31,Richard King,,Supervising Sound Editor,Production and Technical Credits
32,Gary A. Rizzo,,Re-recording Mixer,Production and Technical Credits
33,Gregg Landaker,,Re-recording Mixer,Production and Technical Credits
34,Scott R. Fisher,,Special Effects Coordinator,Production and Technical Credits
35,Mike Chambers,,Visual Effects Producer,Production and Technical Credits
36,Nilo Otero,,Assistant Director,Production and Technical Credits
37,John Papsidera,,Casting Director,Production and Technical Credits
38,Brett Robinson,,Second Assistant Director,Production and Technical Credits
39,Linda Matthews,,Costume Supervisor,Production and Technical Credits
