,0,1,2,type
0,Jennifer Lawrence,,Katniss Everdeen,Leading Cast
0,Josh Hutcherson,,Peeta Mellark,Supporting Cast
1,Liam Hemsworth,,Gale Hawthorne,Supporting Cast
2,Woody Harrelson,,Haymitch Abernathy,Supporting Cast
3,Elizabeth Banks,,Effie Trinket,Supporting Cast
4,Lenny Kravitz,,Cinna,Supporting Cast
5,Stanley Tucci,,Caesar Flickerman,Supporting Cast
6,Donald Sutherland,,President Snow,Supporting Cast
7,Wes Bentley,,Seneca Crane,Supporting Cast
8,Toby Jones,,Claudius Templesmith,Supporting Cast
9,Alexander Ludwig,,Cato,Supporting Cast
10,Isabelle Fuhrman,,Clove,Supporting Cast
11,Amandla Stenberg,,Rue,Supporting Cast
12,Willow Shields,,Primrose Everdeen,Supporting Cast
13,Sandra Lafferty,,Hob Vendor,Supporting Cast
14,Paula Malcomson,,Katniss' Mother,Supporting Cast
15,Rhoda Griffis,,Registration Woman,Supporting Cast
16,Sandino Moya-Smith,,Propaganda,Supporting Cast
17,Raiko Bowman,,Peeta's Mother,Supporting Cast
18,Dwayne Boyd,,Peacekeeper #1,Supporting Cast
19,Anthony Reynolds,,Peacekeeper #2,Supporting Cast
20,Judd Lormand,,Peacekeeper #3,Supporting Cast
21,Kimiko Gelman,,Venia,Supporting Cast
22,Nelson Ascencio,,Flavius,Supporting Cast
23,Brooke Bundy,,Octavia,Supporting Cast
24,Dayo Okeniyi,,Thresh,Supporting Cast
25,Leven Rambin,,Glimmer,Supporting Cast
26,Jack Quaid,,Marvel,Supporting Cast
27,Latarsha Rose,,Portia,Supporting Cast
28,Ian Nelson,,Tribute Boy District 3,Supporting Cast
29,Kalia Prescott,,Tribute Girl District 3,Supporting Cast
30,Ethan Jamieson,,Tribute Boy District 4,Supporting Cast
31,Jacqueline Emerson,,Fox Face,Supporting Cast
32,Mackenzie Lintz,,Tribute Girl District 8,Supporting Cast
33,Annie Thurman,,Tribute Girl District 9,Supporting Cast
34,Dakota Hood,,Tribute Girl District 10,Supporting Cast
35,Amber Chaney,,Avox Girl,Supporting Cast
36,Karan Kendrick,,Atala,Supporting Cast
37,Shane Bissell,,Birthday Boy,Supporting Cast
38,Kate Kneeland,,Hovercraft Tech,Supporting Cast
39,Steve Coulter,,Game Center Tech #1,Supporting Cast
40,Sharon Morris,,Game Center Tech #2,Supporting Cast
41,Tim Taylor,,Game Center Tech #3,Supporting Cast
42,Jack Ross,,Game Center Tech #4,Supporting Cast
43,Troy Linger,,Katniss' Father,Supporting Cast
0,Gary Ross,,Director,Production and Technical Credits
1,Gary Ross,,Screenwriter,Production and Technical Credits
2,Suzanne Collins,,Screenwriter,Production and Technical Credits
3,Billy Ray,,Screenwriter,Production and Technical Credits
4,Suzanne Collins,,Story Creator,Production and Technical Credits
5,Nina Jacobson,,Producer,Production and Technical Credits
6,Jon Kilik,,Producer,Production and Technical Credits
7,Robin Bissell,,Executive Producer,Production and Technical Credits
8,Suzanne Collins,,Executive Producer,Production and Technical Credits
9,Louise Rosner-Meyer*,,Executive Producer,Production and Technical Credits
10,Tom Stern,,Director of Photography,Production and Technical Credits
11,Philip Messina,,Production Designer,Production and Technical Credits
12,Stephen Mirrione,,Editor,Production and Technical Credits
13,Juliette Welfling,,Editor,Production and Technical Credits
14,Judianna Makovsky,,Costume Designer,Production and Technical Credits
15,T-Bone Burnett,,Executive Music Producer,Production and Technical Credits
16,James Newton Howard,,Composer,Production and Technical Credits
17,Debra Zane,,Casting,Production and Technical Credits
18,Chantal Feghali,,Co-Executive Producer,Production and Technical Credits
19,Aldric La'auli Porter,,Co-Producer,Production and Technical Credits
20,Martin Cohen,,Co-Producer,Production and Technical Credits
21,Louis Phillips,,Co-Producer,Production and Technical Credits
22,Bryan Unkeless,,Co-Producer,Production and Technical Credits
23,Diana Unkeless,,Co-Producer,Production and Technical Credits
24,Lon Bender,,Sound Designer,Production and Technical Credits
25,Sheena Duggal,,Visual Effects Supervisor,Production and Technical Credits
26,Louise Rosner,,Unit Production Manager,Production and Technical Credits
27,Aldric La'auli Porter,,First Assistant Director,Production and Technical Credits
28,John R. Saunders*,,Second Assistant Director,Production and Technical Credits
29,Chad Stahelski,,Stunt Coordinator,Production and Technical Credits
30,Allan Poppleton,,Stunt Coordinator,Production and Technical Credits
31,Allan Poppleton,,Fight Coordinator,Production and Technical Credits
32,Jon Valera,,Fight Coordinator,Production and Technical Credits
33,Larry Dias,,Set Decorator,Production and Technical Credits
34,John Collins,,Supervising Art Director,Production and Technical Credits
35,Paul G. Richards,,Art Director,Production and Technical Credits
36,Robert Fechtman,,Art Director,Production and Technical Credits
37,Duane Manwiller,,"Steadicam/""A"" Camera Operator",Production and Technical Credits
38,James Apted,,"First Assistant ""A"" Camera",Production and Technical Credits
39,Max DeLeo,,"Second Assistnat ""A"" Camera",Production and Technical Credits
40,Maurice K. McGuire,,"""B"" Camera Operator",Production and Technical Credits
41,Robby Baumgartner,,Second Unit Camera,Production and Technical Credits
42,Michael Prestwood Smith,,Re-recording Mixer,Production and Technical Credits
43,Michael Keller,,Re-recording Mixer,Production and Technical Credits
44,Christopher S. Capp,,Sound Editor,Production and Technical Credits
45,Carl Rudsill,,Sound Mixer,Production and Technical Credits
46,Mark Weingarten,,Sound Mixer,Production and Technical Credits
47,Douglas Dresser,,Production Supervisor,Production and Technical Credits
48,George R. Lee,,Set Designer,Production and Technical Credits
49,Brian Baker,,Set Designer,Production and Technical Credits
50,John Berger,,Set Designer,Production and Technical Credits
51,Alex McCarroll,,Set Designer,Production and Technical Credits
52,Ve Neill,,Makeup Designer and Department Head,Production and Technical Credits
53,Glenn Hetrick,,Make-up and Prosthetic Effects Designer,Production and Technical Credits
54,Linda Flowers,,Hair Designer and Department Head,Production and Technical Credits
