,0,1,2,type
0,Daniel Craig,,James Bond,Leading Cast
1,Javier Bardem,,Silva,Leading Cast
0,Judi Dench,,M,Supporting Cast
1,Naomie Harris,,Eve Moneypenny,Supporting Cast
2,Albert Finney,,Kincade,Supporting Cast
3,Ralph Fiennes,,Gareth Mallory,Supporting Cast
4,Berenice Marlohe,,Severine,Supporting Cast
5,Ben Whishaw,,Q,Supporting Cast
6,Rory Kinnear,,Tanner,Supporting Cast
7,Ola Rapace,,Patrice,Supporting Cast
0,Sam Mendes,,Director,Production and Technical Credits
1,Neal Purvis,,Screenwriter,Production and Technical Credits
2,Robert Wade,,Screenwriter,Production and Technical Credits
3,John Logan,,Screenwriter,Production and Technical Credits
4,Michael G. Wilson,,Producer,Production and Technical Credits
5,Barbara Broccoli,,Producer,Production and Technical Credits
6,Callum McDougall,,Executive Producer,Production and Technical Credits
7,Andrew Noakes,,Co-Producer,Production and Technical Credits
8,David Pope,,Co-Producer,Production and Technical Credits
9,Roger Deakins,,Cinematographer,Production and Technical Credits
10,Stuart Baird,,Editor,Production and Technical Credits
11,Thomas Newman,,Composer,Production and Technical Credits
12,Dennis Gassner,,Production Designer,Production and Technical Credits
13,Chris Lowe,,Supervising Art Director,Production and Technical Credits
14,Anna Pinnock,,Set Decorator,Production and Technical Credits
15,Jany Temime,,Costume Designer,Production and Technical Credits
16,Stuart Wilson,,Sound,Production and Technical Credits
17,Per Hallberg,,Supervising Sound Editor,Production and Technical Credits
18,Karen M. Baker,,Supervising Sound Editor,Production and Technical Credits
19,Scott Millan,,Re-recording Mixer,Production and Technical Credits
20,Greg P. Russell,,Re-recording Mixer,Production and Technical Credits
21,Chris Corbould,,Special Effects Supervisor,Production and Technical Credits
22,Steve Begg,,Visual Effects Supervisor,Production and Technical Credits
23,Gary Powell,,Stunt Coordinator,Production and Technical Credits
24,Gregg Wilson,,Associate Producer,Production and Technical Credits
25,Michael Lerman,,Assistant Director,Production and Technical Credits
26,Alexander Witt,,Second Unit Director,Production and Technical Credits
27,Debbie Williams,,Casting Director,Production and Technical Credits
28,Daniel Hegeman*,,Sound Effects Editor,Production and Technical Credits
29,Will Dodds,,Additional Assistant Director,Production and Technical Credits
30,Terry Madden,,Assistant Director: Second Unit,Production and Technical Credits
31,Simon Chase,,Dialogue Editor,Production and Technical Credits
