,0,1,2,type
0,Martin Freeman,,Bilbo,Leading Cast
0,Ian McKellen,,Gandalf,Supporting Cast
1,Richard Armitage,,Thorin,Supporting Cast
2,Ken Stott,,Balin,Supporting Cast
3,Graham McTavish,,Dwalin,Supporting Cast
4,William Kircher,,Bifur/Tom Troll,Supporting Cast
5,James Nesbitt,,Bofur,Supporting Cast
6,Stephen Hunter,,Bombur,Supporting Cast
7,Dean O'Gorman,,Fili,Supporting Cast
8,Aidan Turner,,Kili,Supporting Cast
9,John Callen,,Oin,Supporting Cast
10,Peter Hambleton,,Gloin/William Troll,Supporting Cast
11,Jed Brophy,,Nori,Supporting Cast
12,Mark Hadlow,,Dori/Brent Troll,Supporting Cast
13,Adam Brown,,Ori,Supporting Cast
14,Ian Holm,,Old Bilbo Baggins,Supporting Cast
15,Elijah Wood,,Frodo,Supporting Cast
16,Hugo Weaving,,Elrond,Supporting Cast
17,Cate Blanchett,,Galadriel,Supporting Cast
18,Andy Serkis,,Gollum,Supporting Cast
19,Sylvester McCoy,,Radagast the Brown,Supporting Cast
20,Barry Humphries,,The Great Goblin,Supporting Cast
21,Jeffrey Thomas,,Thror,Supporting Cast
22,Mike Mizrahi,,Thrain,Supporting Cast
23,Lee Pace,,Thranduil,Supporting Cast
24,Manu Bennett,,Azog,Supporting Cast
25,Conan Stevens,,Bolg,Supporting Cast
26,John Rawls,,Yazneg,Supporting Cast
27,Stephen Ure,,Fimbul/Grinnah,Supporting Cast
28,Timothy Bartlett,,Master Worrywort,Supporting Cast
29,Bret McKenzie,,Lindir,Supporting Cast
30,Kiran Shah,,Goblin Scribe,Supporting Cast
31,Benedict Cumberbatch,,Necromancer,Supporting Cast
32,Glenn Boswell,,Dwarf Miner,Supporting Cast
33,Thomas Robins,,Young Thrain,Supporting Cast
0,Peter Jackson,,Director,Production and Technical Credits
1,Fran Walsh,,Screenwriter,Production and Technical Credits
2,Philippa Boyens,,Screenwriter,Production and Technical Credits
3,Peter Jackson,,Screenwriter,Production and Technical Credits
4,Guillermo del Toro,,Screenwriter,Production and Technical Credits
5,J.R.R. Tolkien,,Based on the Novel by,Production and Technical Credits
6,Carolynne Cunningham,,Producer,Production and Technical Credits
7,Zane Weiner,,Producer,Production and Technical Credits
8,Fran Walsh,,Producer,Production and Technical Credits
9,Peter Jackson,,Producer,Production and Technical Credits
10,Alan Horn,,Executive Producer,Production and Technical Credits
11,Toby Emmerich,,Executive Producer,Production and Technical Credits
12,Ken Kamins,,Executive Producer,Production and Technical Credits
13,Carolyn Blackwood,,Executive Producer,Production and Technical Credits
14,Philippa Boyens,,Co-Producer,Production and Technical Credits
15,Eileen Moran,,Co-Producer,Production and Technical Credits
16,Andrew Lesnie,,Director of Photography,Production and Technical Credits
17,Dan Hennah,,Production Designer,Production and Technical Credits
18,Jabez Olssen,,Editor,Production and Technical Credits
19,Amy Hubbard,,U.K. Casting by,Production and Technical Credits
20,John Hubbard,,U.K. Casting by,Production and Technical Credits
21,Victoria Burrows,,U.S. Casting by,Production and Technical Credits
22,Scot Boland,,U.S. Casting by,Production and Technical Credits
23,Liz Mullane,,New Zealand Casting by,Production and Technical Credits
24,Ann Robinson,,Casting (Australia),Production and Technical Credits
25,Ann Maskrey,,Costume Designer,Production and Technical Credits
26,Richard Taylor,,Costume Designer,Production and Technical Credits
27,Bob Buck,,Costume Designer,Production and Technical Credits
28,Howard Shore,,"Music Compsed, Orchestrated & Conducted by",Production and Technical Credits
29,Richard Taylor,,"Armour, Weapons, Creatures and Special Makeup",Production and Technical Credits
30,Joe Letteri,,Senior Visual Effects Supervisor,Production and Technical Credits
31,Eric Saindon,,Visual Effects Supervisor,Production and Technical Credits
32,David Clayton,,Animation Supervisor,Production and Technical Credits
33,Matthew Dravitzki,,Associate Producer,Production and Technical Credits
34,Amanda Walker,,Associate Producer,Production and Technical Credits
35,Glenn Boswell,,Stunt Coordinator,Production and Technical Credits
36,Christopher Boyes,,Re-recording Mixer,Production and Technical Credits
37,Mark Atkin,,scale double - Thorin Oakenshield,Production and Technical Credits
