,0,1,2,type
0,Kristen Stewart,,Bella Swan,Leading Cast
1,Robert Pattinson,,Edward Cullen,Leading Cast
2,Taylor Lautner,,Jacob Black,Leading Cast
0,Billy Burke,,Charlie Swan,Supporting Cast
1,Peter Facinelli,,Dr. Carlisie Cullen,Supporting Cast
2,Elizabeth Reaser,,Esme Cullen,Supporting Cast
3,Kellan Lutz,,Emmett Cullen,Supporting Cast
4,Nikki Reed,,Rosalie Hale,Supporting Cast
5,Jackson Rathbone,,Jasper Hale,Supporting Cast
6,Ashley Greene,,Alice Cullen,Supporting Cast
7,Michael Sheen,,Aro,Supporting Cast
8,Dakota Fanning,,Jane,Supporting Cast
9,Chaske Spencer,,Sam Uley,Supporting Cast
10,Mackenzie Foy,,Renesmee,Supporting Cast
11,Maggie Grace,,Irina,Supporting Cast
12,Jamie Campbell Bower,,Caius,Supporting Cast
13,Christopher Heyerdahl,,Marcus,Supporting Cast
14,Lateef Crowder,,Santiago,Supporting Cast
15,Daniel Cudmore,,Felix,Supporting Cast
16,Charlie Bewley,,Demetri,Supporting Cast
17,Billy Wagenseller,,Vasilii,Supporting Cast
18,Cameron Bright,,Alec,Supporting Cast
19,Andrea Powell,,Sasha,Supporting Cast
20,MyAnna Buring,,Tanya,Supporting Cast
21,Casey Labow,,Kate,Supporting Cast
22,Mia Maestro,,Carmen,Supporting Cast
23,Christian Camargo,,Eleazar,Supporting Cast
24,Omar Metwally,,Amun,Supporting Cast
25,Andrea Gabriel,,Kebi,Supporting Cast
26,Angela Sarafyan,,Tia,Supporting Cast
27,Rami Malek,,Benjamin,Supporting Cast
28,Tracey Heggins,,Senna,Supporting Cast
29,Judith Shekoni,,Zafrina,Supporting Cast
30,John Edward Lee,,English Punk,Supporting Cast
31,Lee Pace,,Garrett,Supporting Cast
32,Patrick Brennan,,Liam,Supporting Cast
33,Lisa Howard,,Siobhan,Supporting Cast
34,Marlane Barnes,,Maggie,Supporting Cast
35,Bill Tangradi,,Randall,Supporting Cast
36,Toni Trucks,,Mary,Supporting Cast
37,Eric Odom,,Peter,Supporting Cast
38,Valorie Curry,,Charlotte,Supporting Cast
39,Joe Anderson,,Alistair,Supporting Cast
40,Pacey Gillespie,,Young Quileute,Supporting Cast
41,Brayden Jimmie,,Young Quileute,Supporting Cast
42,Gabrial Swo Wo,,Young Quileute,Supporting Cast
43,Guri Weinberg,,Stefan,Supporting Cast
44,Noel Fisher,,Vladimir,Supporting Cast
45,Amdouly,,Henri,Supporting Cast
46,Janelle Froehlich,,Yvette,Supporting Cast
47,Masami Kosaka,,Toshiro,Supporting Cast
48,Alex Rice,,Sue Clearwater,Supporting Cast
49,Tony Bentley,,Maitre D',Supporting Cast
50,Wendell Pierce,,J. Jenks,Supporting Cast
51,Julia Jones,,Leah,Supporting Cast
52,Booboo Stewart,,Seth,Supporting Cast
53,J.D. Pardo,,Nahuel,Supporting Cast
54,Marisa Quinn,,Huilen,Supporting Cast
55,Christie Burke,,Renesmee (Young Woman),Supporting Cast
56,Angelo Renai,,Minister Weber,Supporting Cast
57,Abigail Cornell,,Renesmee (4 Years),Supporting Cast
58,Isabella Ianuzzi,,Renesmee (4 Years),Supporting Cast
59,Milli Wilkinson,,Renesmee (4 Years),Supporting Cast
60,Eliza Faria,,Renesmee (4 Years),Supporting Cast
61,Tate Clemons,,Renesmee (5 years),Supporting Cast
62,Taylor Diane Robinson,,Renesmee (5 years),Supporting Cast
63,Kailyn Stratton,,Renesmee (5 years),Supporting Cast
64,Rachel St. Gelais,,Renesmee (5 years),Supporting Cast
65,Blythe Barrington-Hughes,,Renesmee (7 years),Supporting Cast
0,Bill Condon,,Director,Production and Technical Credits
1,Melissa Rosenberg,,Screenwriter,Production and Technical Credits
2,Stephenie Meyer,,Based on the Novel ‘Breaking Dawn’ by,Production and Technical Credits
3,Wyck Godfrey,,Producer,Production and Technical Credits
4,Karen Rosenfelt,,Producer,Production and Technical Credits
5,Stephenie Meyer,,Producer,Production and Technical Credits
6,Marty Bowen,,Executive Producer,Production and Technical Credits
7,Greg Mooradian,,Executive Producer,Production and Technical Credits
8,Mark Morgan,,Executive Producer,Production and Technical Credits
9,Guy Oseary,,Executive Producer,Production and Technical Credits
10,Bill Bannerman,,Co-Producer,Production and Technical Credits
11,Guillermo Navarro,,Director of Photography,Production and Technical Credits
12,Richard Sherman,,Production Designer,Production and Technical Credits
13,Virginia Katz,,Editor,Production and Technical Credits
14,Alexandra Patsavas,,Music Supervisor,Production and Technical Credits
15,Carter Burwell,,Composer,Production and Technical Credits
16,Michael Wilkinson,,Costume Designer,Production and Technical Credits
17,Debra Zane,,Casting,Production and Technical Credits
18,Terry Windell,,Visual Effects Supervisor,Production and Technical Credits
19,Ian Slater,,Editor,Production and Technical Credits
20,John M. Morse,,Second Assistant Director,Production and Technical Credits
