,0,1,2,type
0,Andrew Garfield,,Peter Parker / Spider-Man,Leading Cast
0,Emma Stone,,Gwen Stacy,Supporting Cast
1,Rhys Ifans,,The Lizard / Dr. Curt Connors,Supporting Cast
2,C. Thomas Howell,,Ray,Supporting Cast
3,Campbell Scott,,Richard Parker,Supporting Cast
4,Martin Sheen,,Ben Parker,Supporting Cast
5,Sally Field,,May Parker,Supporting Cast
6,Embeth Davidtz,,Mary Parker,Supporting Cast
7,Chris Zylka,,"Eugene ""Flash"" Thompson",Supporting Cast
8,Max Charles,,Peter Parker (Age 4),Supporting Cast
0,Stan Lee,,Librarian,Cameos
0,Marc Webb,,Director,Production and Technical Credits
1,James Vanderbilt,,Screenwriter,Production and Technical Credits
2,Alvin Sargent,,Screenwriter,Production and Technical Credits
3,Steve Kloves,,Screenwriter,Production and Technical Credits
4,Laura Ziskin,,Producer,Production and Technical Credits
5,Avi Arad,,Producer,Production and Technical Credits
6,Matt Tolmach,,Producer,Production and Technical Credits
7,Stan Lee,,Executive Producer,Production and Technical Credits
8,Kevin Feige,,Executive Producer,Production and Technical Credits
9,Michael Grillo,,Executive Producer,Production and Technical Credits
10,James Vanderbilt,,Story Creator,Production and Technical Credits
11,Stan Lee,,Based on the comicbook by Stan Lee,Production and Technical Credits
12,Steve Ditko,,Based on the comicbook by Steve Ditko,Production and Technical Credits
13,John Schwartzman,,Cinematographer,Production and Technical Credits
14,Alan Edward Bell,,Editor,Production and Technical Credits
15,Pietro Scalia,,Editor,Production and Technical Credits
16,James Horner,,Composer,Production and Technical Credits
17,J. Michael Riva,,Production Designer,Production and Technical Credits
18,David F. Klassen,,Supervising Art Director,Production and Technical Credits
19,N.C. Page Buckner,,Art Director,Production and Technical Credits
20,Michael E. Goldman,,Art Director,Production and Technical Credits
21,Paul Sonski,,Art Director,Production and Technical Credits
22,Suzan Wexler,,Art Director,Production and Technical Credits
23,Leslie A. Pope,,Set Decorator,Production and Technical Credits
24,Ernie Avila,,Set Designer,Production and Technical Credits
25,Kym Barrett,,Costume Designer,Production and Technical Credits
26,Shannon Mills,,Sound Designer,Production and Technical Credits
27,John Pritchett,,Sound Mixer,Production and Technical Credits
28,Lee Gilmore,,Sound Effects Editor,Production and Technical Credits
29,Shannon Mills,,Supervising Sound Editor,Production and Technical Credits
30,Addison Teague,,Supervising Sound Editor,Production and Technical Credits
31,Paul Massey,,Re-recording Mixer,Production and Technical Credits
32,David Giammarco,,Re-recording Mixer,Production and Technical Credits
33,Deb Adair,,Re-recording Mixer,Production and Technical Credits
34,Jerome Chen,,Visual Effects Supervisor,Production and Technical Credits
35,Rob Engle,,Visual Effects Supervisor,Production and Technical Credits
36,Cari Thomas,,Visual Effects Designer,Production and Technical Credits
37,Andy Armstrong,,Stunt Coordinator,Production and Technical Credits
38,James Armstrong,,Stunt Coordinator,Production and Technical Credits
39,Gary Ray Stearns,,Fight Choreographer,Production and Technical Credits
40,Tom Cohen,,Associate Producer,Production and Technical Credits
41,Kyla Kraman,,Associate Producer,Production and Technical Credits
42,Beatriz Sequeira,,Associate Producer,Production and Technical Credits
43,Richard Graves,,Assistant Director,Production and Technical Credits
44,Vic Armstrong,,Second Unit Director,Production and Technical Credits
45,Peter Lyons Collister,,Second Unit Camera,Production and Technical Credits
46,Francine Maisler,,Casting Director,Production and Technical Credits
47,Jacob Riehle,,Assistant Sound Editor,Production and Technical Credits
48,Christopher Waegner,,Character CG Supervisor,Production and Technical Credits
