,0,1,2,type
0,Kelly Macdonald,,Merida,Lead Ensemble Members
1,Billy Connolly,,King Fergus,Lead Ensemble Members
2,Emma Thompson,,Queen Elinor,Lead Ensemble Members
3,Julie Walters,,Witch,Lead Ensemble Members
4,Robbie Coltrane,,Lord Dingwall,Lead Ensemble Members
5,Kevin McKidd,,Lord MacGuffin,Lead Ensemble Members
6,Craig Ferguson,,Lord Macintosh,Lead Ensemble Members
0,John Ratzenberger,,Gordon,Supporting Cast
0,Mark Andrews,,Director,Production and Technical Credits
1,Brenda Chapman,,Director,Production and Technical Credits
2,Steve Percell,,Co-Director,Production and Technical Credits
3,Katherine Sarafilm,,Producer,Production and Technical Credits
4,John Lasseter,,Executive Producer,Production and Technical Credits
5,Andrew Stanton,,Executive Producer,Production and Technical Credits
6,Pete Docter,,Executive Producer,Production and Technical Credits
7,Brenda Chapman,,Story Creator,Production and Technical Credits
8,Mark Andrews,,Screenwriter,Production and Technical Credits
9,Steve Purcell,,Screenwriter,Production and Technical Credits
10,Brenda Chapman,,Screenwriter,Production and Technical Credits
11,Irene Mecchi,,Screenwriter,Production and Technical Credits
12,Robert Anderson,,Cinematographer,Production and Technical Credits
13,Nicholas C. Smith,,Editor,Production and Technical Credits
14,Patrick Doyle,,Composer,Production and Technical Credits
15,Tom MacDougall,,Music Supervisor,Production and Technical Credits
16,Steve Pilcher,,Production Designer,Production and Technical Credits
17,Matt Nolte,,Art Director,Production and Technical Credits
18,Noah Klocek,,Art Director,Production and Technical Credits
19,Tia Wallace Kratter,,Art Director,Production and Technical Credits
20,Brian Larsen,,Story Supervisor,Production and Technical Credits
21,Bill Wise,,Supervising Technical Director,Production and Technical Credits
22,Steve May,,Supervising Technical Director,Production and Technical Credits
23,Alan Barillaro,,Supervising Animator,Production and Technical Credits
24,Steven Clay Hunter,,Supervising Animator,Production and Technical Credits
25,Gary Rydstrom,,Sound Designer,Production and Technical Credits
26,Gwendolyn Yates Whittle,,Supervising Sound Editor,Production and Technical Credits
27,Josh Gold,,Sound Effects Editor,Production and Technical Credits
28,Gary Rydstrom,,Re-recording Mixer,Production and Technical Credits
29,Tom Johnson,,Re-recording Mixer,Production and Technical Credits
30,David MacCarthy,,Special Effects Supervisor,Production and Technical Credits
31,Bob Whitehill,,Stereoscopic Supervisor,Production and Technical Credits
32,Mary Alice Drumm,,Associate Producer,Production and Technical Credits
33,Kevin Reher,,Casting Director,Production and Technical Credits
34,Natalie Lyon,,Casting Director,Production and Technical Credits
35,Nia Hansen,,Sound Effects Editor,Production and Technical Credits
