,0,1,2,type
0,Mark Wahlberg,,John Bennett,Leading Cast
1,Seth MacFarlane,,Ted,Leading Cast
0,Mila Kunis,,Lori Collins,Supporting Cast
1,Joel McHale,,Res,Supporting Cast
2,Giovanni Ribisi,,Donny,Supporting Cast
3,Patrick Warburton,,Guy,Supporting Cast
4,Matt Walsh,,Thomas,Supporting Cast
5,Jessica Barth,,Tami-Lynn,Supporting Cast
6,Aedin Mincks,,Robert,Supporting Cast
7,Bill Smitrovich,,Frank,Supporting Cast
8,Brett Manley,,Young John,Supporting Cast
9,Ralph Garman,,John's Dad,Supporting Cast
10,Alex Borstein,,John's Mom,Supporting Cast
11,John Viener,,Alix,Supporting Cast
12,Laura Vandervoort,,Tanya,Supporting Cast
13,Robert Wu,,"Asian Man ""Ming""",Supporting Cast
14,Ginger Gonzaga,,Gina,Supporting Cast
15,Jessica Stroup,,Tracy,Supporting Cast
16,Melissa Ordway,,Michelle,Supporting Cast
17,Max Harris,,Greenbaum Kid,Supporting Cast
18,Zane Cowans,,Kid #1/Young Ted Voice,Supporting Cast
19,T.J. Hourigan,,Kid #2,Supporting Cast
20,Owen Clarke,,Kid #3,Supporting Cast
21,Kristina Ellery,,Heavenly,Supporting Cast
22,Katelyn Lorren,,Cherene,Supporting Cast
23,Chanty Sok,,Angelique,Supporting Cast
24,Sara Fischer,,Sauvignon Blanc,Supporting Cast
25,Cassie Djerf,,Waitress,Supporting Cast
26,Joe Siriani,,Guy at Table #1,Supporting Cast
27,Pat Shea,,Guy at Table #2,Supporting Cast
28,Paul Campbell,,Guy in Line,Supporting Cast
29,Josh Duvendeck,,Guy #1,Supporting Cast
30,Chris Cox,,Guy #2,Supporting Cast
31,Henry Penzi,,Partygoer (Ted's Buddy),Supporting Cast
32,Tania Cabrera,,Girl at Party,Supporting Cast
33,Colton Shires,,Teenage John,Supporting Cast
34,Viera Andrea Moya,,Plymouth PR Worker,Supporting Cast
35,Haejee Kim,,Club Girl,Supporting Cast
36,Lydia Hannibal,,Ellen,Supporting Cast
37,Shawn Thornton,,Crazy Guy,Supporting Cast
38,Eric Weinstein,,Stagehand,Supporting Cast
39,Danny Smith,,Waiter,Supporting Cast
40,Mike Nikitas,,Newscaster,Supporting Cast
41,Robin Hamilton,,Female Newscaster,Supporting Cast
42,Mike Henry,,Southern Newscaster,Supporting Cast
43,Johnny Lee Davenport,,Husband,Supporting Cast
44,Christina Everett,,Wife,Supporting Cast
0,Patrick Stewart,,Narrator,Narrator(s)
0,Norah Jones,,Herself,Cameos
1,Sam Jones,,Himself,Cameos
2,Tom Skerritt,,Himself,Cameos
0,Seth MacFarlane,,Director,Production and Technical Credits
1,Seth MacFarlane,,Screenwriter,Production and Technical Credits
2,Alec Sulkin,,Screenwriter,Production and Technical Credits
3,Wellsesly Wild,,Screenwriter,Production and Technical Credits
4,Seth MacFarlane,,Story Creator,Production and Technical Credits
5,Scott Stuber,,Producer,Production and Technical Credits
6,Seth MacFarlane,,Producer,Production and Technical Credits
7,John Jacobs,,Producer,Production and Technical Credits
8,Jason Clark,,Producer,Production and Technical Credits
9,Jonathan Mone,,Executive Producer,Production and Technical Credits
10,Michael Barrett,,Director of Photography,Production and Technical Credits
11,Stephen Lineweaver,,Production Designer,Production and Technical Credits
12,Jeff Freeman,,Editor,Production and Technical Credits
13,Debra McGuire,,Costume Designer,Production and Technical Credits
14,Blair Clark,,Visual Effects Supervisor,Production and Technical Credits
15,Walter Murphy,,Composer,Production and Technical Credits
16,Sheila Jaffe,,Casting Director,Production and Technical Credits
17,Mark Kamine,,Unit Production Manager,Production and Technical Credits
18,Jason Clark,,Unit Production Manager,Production and Technical Credits
19,Eric N. Heffron*,,First Assistant Director,Production and Technical Credits
20,Richard Oswald,,Second Assistant Director,Production and Technical Credits
21,Mark Kamine,,Co-Producer,Production and Technical Credits
22,Eric N. Heffron*,,Co-Producer,Production and Technical Credits
23,Christopher T. Sadler,,Second Second Assistant Director,Production and Technical Credits
