,0,1,2,type
0,Ben Stiller,,Alex,Lead Ensemble Members
1,Chris Rock,,Marty,Lead Ensemble Members
2,David Schwimmer,,Melman,Lead Ensemble Members
3,Jada Pinkett Smith,,Gloria,Lead Ensemble Members
4,Sacha Baron Cohen,,King Julian XII,Lead Ensemble Members
5,Cedric the Entertainer,,Maurice,Lead Ensemble Members
6,Andy Richter,,Mort,Lead Ensemble Members
7,Frances McDormand,,Captain Chantel DuBois,Lead Ensemble Members
8,Tom McGrath,,Skipper,Lead Ensemble Members
0,Jessica Chastain,,Gia,Supporting Cast
1,Bryan Cranston,,Vitaly,Supporting Cast
2,Martin Short,,Stefano,Supporting Cast
3,Eric Darnell,,Comandante/Zoo Official/Zoo Announcer,Supporting Cast
4,Chris Miller,,Kowalski,Supporting Cast
0,Frank Welker,,Sonya,Uncategorized
0,Eric Darnell,,Director,Production and Technical Credits
1,Garry Summers,,Re-recording Mixer,Production and Technical Credits
2,Conrad Vernon,,Director,Production and Technical Credits
3,Tom McGrath,,Director,Production and Technical Credits
4,Eric Darnell,,Screenwriter,Production and Technical Credits
5,Noah Baumbach,,Screenwriter,Production and Technical Credits
6,Mireille Soria,,Producer,Production and Technical Credits
7,Mark Swift,,Producer,Production and Technical Credits
8,Nick Fletcher,,Editor,Production and Technical Credits
9,Hans Zimmer,,Composer,Production and Technical Credits
10,Kendal Cronkhite-Shaindlin,,Production Designer,Production and Technical Credits
11,Shannon Jeffries,,Art Director,Production and Technical Credits
12,Rex Grignon,,Head of Character Animation,Production and Technical Credits
13,Rob Koo,,Head of Story,Production and Technical Credits
14,Nol Le Meyer,,Head of Layout,Production and Technical Credits
15,Will Files,,Sound Designer,Production and Technical Credits
16,Dennis Leonard,,Supervising Sound Editor,Production and Technical Credits
17,Will Files,,Re-recording Mixer,Production and Technical Credits
18,Mahesh Ramasubramanian,,Visual Effects Supervisor,Production and Technical Credits
19,Holly Edwards,,Associate Producer,Production and Technical Credits
20,Leslee Feldman,,Casting Director,Production and Technical Credits
21,Christi Soper,,Casting Director,Production and Technical Credits
22,Steve Orlando,,Assistant Sound Effects Editor,Production and Technical Credits
