,0,1,2,type
0,Benedict Cumberbatch,,John Harris,Leading Cast
1,Chris Pine,,Captain Kirk,Leading Cast
2,Zachary Quinto,,Spock,Leading Cast
0,John Cho,,Hikaru Sulu,Lead Ensemble Members
1,Alice Eve,,Dr. Carol Marcus,Lead Ensemble Members
2,Simon Pegg,,Scotty,Lead Ensemble Members
3,Zoe Saldana,,Nyota Uhura,Lead Ensemble Members
4,Karl Urban,,"Leonard ""Bones"" McCoy",Lead Ensemble Members
0,Bruce Greenwood,,Christopher Pike,Supporting Cast
1,Peter Weller,,Admiral Marcus,Supporting Cast
2,Anton Yelchin,,Pavel Chekov,Supporting Cast
0,J.J. Abrams,,Director,Production and Technical Credits
1,Roberto Orci,,Screenwriter,Production and Technical Credits
2,Alex Kurtzman,,Screenwriter,Production and Technical Credits
3,Damon Lindelof,,Screenwriter,Production and Technical Credits
4,Gene Roddenberry,,Story Creator,Production and Technical Credits
5,J.J. Abrams,,Producer,Production and Technical Credits
6,Bryan Burk,,Producer,Production and Technical Credits
7,Damon Lindelof,,Producer,Production and Technical Credits
8,Alex Kurtzman,,Producer,Production and Technical Credits
9,Roberto Orci,,Producer,Production and Technical Credits
10,Jeffrey Chernov,,Executive Producer,Production and Technical Credits
11,David Ellison,,Executive Producer,Production and Technical Credits
12,Dana Goldberg,,Executive Producer,Production and Technical Credits
13,Paul Schwake,,Executive Producer,Production and Technical Credits
14,Dan Mindel,,Director of Photography,Production and Technical Credits
15,Scott Chambliss,,Production Designer,Production and Technical Credits
16,Maryann Brandon,,Editor,Production and Technical Credits
17,Mary Jo Markey,,Editor,Production and Technical Credits
18,Michael Kaplan,,Costume Designer,Production and Technical Credits
19,Michael Giacchino,,Composer,Production and Technical Credits
20,Ramsey Avery,,Supervising Art Director,Production and Technical Credits
21,Kasra Faranahi,,Art Director,Production and Technical Credits
22,Michael E. Goldman,,Art Director,Production and Technical Credits
23,Andrew E.W. Murdock,,Art Director,Production and Technical Credits
24,Harry Otto,,Art Director,Production and Technical Credits
25,Lauren Polizzi,,Art Director,Production and Technical Credits
26,Karen Manthey,,Set Decorator,Production and Technical Credits
27,Peter J. Devlin,,Sound Mixer,Production and Technical Credits
28,Ben Burtt,,Sound Designer,Production and Technical Credits
29,Ben Burtt,,Supervising Sound Editor,Production and Technical Credits
30,Matthew Wood,,Supervising Sound Editor,Production and Technical Credits
31,Will Files,,Re-recording Mixer,Production and Technical Credits
32,James Bolt,,Re-recording Mixer,Production and Technical Credits
33,Roger Guyett,,Visual Effects Supervisor,Production and Technical Credits
34,Patrick Tubach,,Visual Effects Supervisor,Production and Technical Credits
35,"John Stoneham, Jr.",,Stunt Coordinator,Production and Technical Credits
36,Tommy Gormley,,First Assistant Director,Production and Technical Credits
37,Roger Guyett,,Second Unit Director,Production and Technical Credits
38,Robert Bruce McCleery,,Second Unit Camera,Production and Technical Credits
39,April Webster,,Casting,Production and Technical Credits
40,Alyssa Weisberg,,Casting,Production and Technical Credits
41,Easton Smith,,Set Designer,Production and Technical Credits
42,Ben Grossmann,,Visual Effects Supervisor,Production and Technical Credits
43,Burt Dalton,,Special Effects Supervisor,Production and Technical Credits
