,0,1,2,type
0,Chris Hemsworth,,Thor,Lead Ensemble Members
1,Natalie Portman,,Jane Foster,Lead Ensemble Members
2,Tom Hiddleston,,Loki,Lead Ensemble Members
3,Anthony Hopkins,,Odin,Lead Ensemble Members
4,Idris Elba,,Heimdall,Lead Ensemble Members
5,Christopher Eccleston,,Malekith the Accursed,Lead Ensemble Members
6,Jaimie Alexander,,Sif,Lead Ensemble Members
0,Stellan Skarsgård,,Dr. Erik Selvig,Supporting Cast
1,Adewale Akinnuoye-Agbaje,,Algrim the Strong/Kurse,Supporting Cast
2,Kat Dennings,,Darcy Lewis,Supporting Cast
3,Ray Stevenson,,Volstagg,Supporting Cast
4,Zachary Levi,,Fandral,Supporting Cast
5,Tadanobu Asano,,Hogun,Supporting Cast
6,Rene Russo,,Frigga,Supporting Cast
7,Chris O'Dowd,,Richard,Supporting Cast
8,Jonathan Howard,,Ian Boothby,Supporting Cast
0,Stan Lee,,Mental Ward Patient,Cameos
1,Chris Evans,,Captain America,Cameos
0,Alan Taylor,,Director,Production and Technical Credits
1,Christopher L. Yost,,Screenwriter,Production and Technical Credits
2,Christopher Markus,,Screenwriter,Production and Technical Credits
3,Stephen McFeely,,Screenwriter,Production and Technical Credits
4,Don Payne,,Story Creator,Production and Technical Credits
5,Kevin Feige,,Producer,Production and Technical Credits
6,Nigel Gostelow,,Executive Producer,Production and Technical Credits
7,Stan Lee,,Executive Producer,Production and Technical Credits
8,Alan Fine,,Executive Producer,Production and Technical Credits
9,Victoria Alonso,,Executive Producer,Production and Technical Credits
10,Craig Kyle,,Executive Producer,Production and Technical Credits
11,Louis D’Esposito,,Executive Producer,Production and Technical Credits
12,Kramer Morgenthau,,Director of Photography,Production and Technical Credits
13,Charles Wood,,Production Designer,Production and Technical Credits
14,Conrad Buff,,Editor,Production and Technical Credits
15,Malcolm Jamieson,,Editor,Production and Technical Credits
16,Dan Lebental,,Editor,Production and Technical Credits
17,Wendy Partridge,,Costume Designer,Production and Technical Credits
18,Jake Morrison,,Visual Effects Supervisor,Production and Technical Credits
19,Dave Jordan,,Music Supervisor,Production and Technical Credits
20,Carter Burwell,,Composer,Production and Technical Credits
21,Sarah Halley Finn,,Casting Director,Production and Technical Credits
22,Ray Chan,,Supervising Art Director,Production and Technical Credits
23,Hayley Easton-Street,,Art Director,Production and Technical Credits
24,Gregory Fangeaux,,Art Director,Production and Technical Credits
25,David Stephenson,,Sound Mixer,Production and Technical Credits
26,Shannon Mills,,Supervising Sound Editor,Production and Technical Credits
27,Shannon Mills,,Sound Designer,Production and Technical Credits
28,Josh Gold,,Sound Effects Editor,Production and Technical Credits
29,Lora Hirschberg,,Re-recording Mixer,Production and Technical Credits
30,Juan Peralta,,Re-recording Mixer,Production and Technical Credits
31,Paul Corbould,,Special Effects Supervisor,Production and Technical Credits
32,Jake Morrison,,Special Effects Supervisor,Production and Technical Credits
33,Steve Dent,,Stunt Coordinator,Production and Technical Credits
34,Jamie Christopher,,First Assistant Director,Production and Technical Credits
35,John Mahaffie,,Second Unit Director,Production and Technical Credits
36,Jamie Christopher,,Associate Producer,Production and Technical Credits
37,Diana Giorgiutti,,Visual Effects Producer,Production and Technical Credits
38,Sheena Duggal,,Visual Effects Supervisor,Production and Technical Credits
39,Steve Orlando,,Supervising Assistant Editor,Production and Technical Credits
40,Steve Durkee,,Music Editor,Production and Technical Credits
41,Nia Hansen,,Foley Editor,Production and Technical Credits
