,0,1,2,type
0,Nicolas Cage,,Grug,Lead Ensemble Members
1,Emma Stone,,Eep,Lead Ensemble Members
2,Ryan Reynolds,,Guy,Lead Ensemble Members
3,Catherine Keener,,Ugga,Lead Ensemble Members
4,Cloris Leachman,,Gran,Lead Ensemble Members
5,Clark Duke,,Thunk,Lead Ensemble Members
6,Chris Sanders,,Belt,Lead Ensemble Members
0,Chris Sanders,,Director,Production and Technical Credits
1,Kirk De Micco,,Director,Production and Technical Credits
2,Kristine Belson,,Producer,Production and Technical Credits
3,Jane Hartwell,,Producer,Production and Technical Credits
4,Kirk DeMicco,,Screenwriter,Production and Technical Credits
5,Chris Sanders,,Screenwriter,Production and Technical Credits
6,John Cleese,,Story Creator,Production and Technical Credits
7,Kirk DeMicco,,Story Creator,Production and Technical Credits
8,Chris Sanders,,Story Creator,Production and Technical Credits
9,Alan Silvestri,,Composer,Production and Technical Credits
10,Darren Holmes,,Editor,Production and Technical Credits
11,Christophe Lautrette,,Production Designer,Production and Technical Credits
12,Markus Manninen,,Visual Effects Supervisor,Production and Technical Credits
13,James Baxter,,Head of Character Animation,Production and Technical Credits
14,Ed Gombert,,Head of Story,Production and Technical Credits
15,Yong Duk Jhun,,Head of Layout,Production and Technical Credits
16,Pual Duncan,,Art Director,Production and Technical Credits
17,Dominique R. Louis,,Art Director,Production and Technical Credits
18,Roger Deakins,,Visual Consultant,Production and Technical Credits
19,Daniela Mazzucato,,Production Manager,Production and Technical Credits
20,Jed Schlanger,,Production Manager,Production and Technical Credits
21,Line K. Andersen,,Animation Supervisor,Production and Technical Credits
22,Hans Dastrup,,Animation Supervisor,Production and Technical Credits
23,Jakob Hjort Jensen,,Animation Supervisor,Production and Technical Credits
24,Fredrick Nilsson,,Animation Supervisor,Production and Technical Credits
25,Kristof Nilsson,,Animation Supervisor,Production and Technical Credits
26,Sean Sexton,,Animation Supervisor,Production and Technical Credits
27,Mark Edwards,,Head of Lighting,Production and Technical Credits
28,Shadi Almassizadeh,,Lighting Supervisor,Production and Technical Credits
29,Jonathan Harman,,Lighting Supervisor,Production and Technical Credits
30,Bert SL Poole,,Lighting Supervisor,Production and Technical Credits
31,Valarie Lettera-Spletzer,,Final Layout Supervisor,Production and Technical Credits
32,Randy Thom,,Sound Designer,Production and Technical Credits
33,Jonathan Null,,Supervising Sound Editor,Production and Technical Credits
34,Randy Thom,,Re-recording Mixer,Production and Technical Credits
35,Gary A. Rizzo,,Re-recording Mixer,Production and Technical Credits
36,Leslee Feldman,,Casting,Production and Technical Credits
37,Christi Soper Hilt*,,Casting,Production and Technical Credits
