,0,1,2,type
0,Christian Bale,,Irving Rosenfeld,Lead Ensemble Members
1,Amy Adams,,Sydney Prosser,Lead Ensemble Members
2,Bradley Cooper,,Richie Dimaso,Lead Ensemble Members
3,Jeremy Renner,,Carmine Polito,Lead Ensemble Members
4,Jennifer Lawrence,,Rosalyn Rosenfeld,Lead Ensemble Members
0,Louis C.K.,,Stoddard Thorsen,Supporting Cast
1,Jack Huston,,Pete Musane,Supporting Cast
2,Michael Peña,,Paco Hernandez / Sheikh Abdullah,Supporting Cast
3,Shea Whigham,,Carl Elway,Supporting Cast
4,Alessandro Nivola,,Anthony Amado,Supporting Cast
5,Elisabeth Rohm,,Dolly Polito,Supporting Cast
6,Paul Herman,,Alfonse Simone,Supporting Cast
7,Said Taghmaoui,,Sheikh / Al,Supporting Cast
8,Anthony Zerbe,,U.S. Senator,Supporting Cast
9,Colleen Camp,,Brenda,Supporting Cast
10,Adrian Martinez,,,Supporting Cast
11,Matthew Russell,,,Supporting Cast
12,Thomas Matthews,,,Supporting Cast
0,David O. Russell,,Director,Production and Technical Credits
1,Eric Warren Singer,,Screenwriter,Production and Technical Credits
2,David O. Russell,,Screenwriter,Production and Technical Credits
3,Megan Ellison,,Producer,Production and Technical Credits
4,Charles Roven,,Producer,Production and Technical Credits
5,Richard Suckle,,Producer,Production and Technical Credits
6,Jonathan Gordon,,Producer,Production and Technical Credits
7,Matthew Budman,,Executive Producer,Production and Technical Credits
8,Bradley Cooper,,Executive Producer,Production and Technical Credits
9,Eric Warren Singer,,Executive Producer,Production and Technical Credits
10,George Parra,,Executive Producer,Production and Technical Credits
11,Judy Becker,,Production Designer,Production and Technical Credits
12,Jay Cassidy,,Editor,Production and Technical Credits
13,Crispin Struthers,,Editor,Production and Technical Credits
14,Alan Baumgarten,,Editor,Production and Technical Credits
15,Danny Elfman,,Composer,Production and Technical Credits
16,Linus Sandgren,,Director of Photography,Production and Technical Credits
17,Mark Kamine,,Co-Producer,Production and Technical Credits
18,Andy Horwitz,,Co-Producer,Production and Technical Credits
19,Susan Jacobs,,Music Supervisor,Production and Technical Credits
20,Jesse Rosenthal,,Art Director,Production and Technical Credits
21,Heather Loeffler,,Set Decorator,Production and Technical Credits
22,Michael Wilkinson,,Costume Designer,Production and Technical Credits
23,Tom Williams,,Sound Designer,Production and Technical Credits
24,John Ross,,Supervising Sound Editor,Production and Technical Credits
25,John Ross,,Re-recording Mixer,Production and Technical Credits
26,Myron Nettinga,,Re-recording Mixer,Production and Technical Credits
27,John Ruggieri,,Special Effects Coordinator,Production and Technical Credits
28,Robert Hackl,,Visual Effects Producer,Production and Technical Credits
29,Ben Bray,,Stunt Coordinator,Production and Technical Credits
30,Frank Torres,,Stunt Coordinator,Production and Technical Credits
31,Michele Ziegler,,Associate Producer,Production and Technical Credits
32,Michele Ziegler,,Assistant Director,Production and Technical Credits
33,Ben Bray,,Second Unit Director,Production and Technical Credits
34,Mary Vernieu,,Casting Director,Production and Technical Credits
35,Lindsay Graham,,Casting Director,Production and Technical Credits
