,0,1,2,type
0,Leonardo DiCaprio,,Jay Gatsby,Lead Ensemble Members
1,Tobey Maguire,,Nick Carraway,Lead Ensemble Members
2,Joel Edgerton,,Tom Buchanan,Lead Ensemble Members
3,Carey Mulligan,,Daisy Buchanan,Lead Ensemble Members
4,Isla Fisher,,Myrtle Wilson,Lead Ensemble Members
5,Elizabeth Debicki,,Jordan Baker,Lead Ensemble Members
0,Jason Clarke,,George Wilson,Supporting Cast
1,Lisa Adam,,Weeping/Singing Woman,Supporting Cast
2,Frank Aldridge,,Well Dressed Male Witness Wilson's Garage,Supporting Cast
3,Amitabh Bachchan,,Meyer Wolfshiem,Supporting Cast
4,Steve Bisley,,Dan Cody,Supporting Cast
5,Richard Carter,,Herzog,Supporting Cast
6,Adelaide Clemens,,Catherine,Supporting Cast
7,Vince Colosimo,,Michaelis,Supporting Cast
8,Max Cullen,,Owl Eyes,Supporting Cast
9,Mal Day,,The Boss-Probity Trust,Supporting Cast
10,Emmanuel Ekwens,,Jazz Player,Supporting Cast
11,Eden Falk,,Mr. McKee,Supporting Cast
12,Emily Foreman,,Pammy,Supporting Cast
13,Tiger Leacey Wyvill,,Pammy,Supporting Cast
14,Charlize Skinner,,Pammy,Supporting Cast
15,Garrett William Fountain,,Barman,Supporting Cast
16,David Furlong,,Walter Chase,Supporting Cast
17,Daniel Gill,,Police Commissioner,Supporting Cast
18,iOTA,,Trimalchio the Orchestra Leader,Supporting Cast
19,Price Johnson,,Singer - Wilson's Garage,Supporting Cast
20,Stephen James King,,Nelson,Supporting Cast
21,Goran D. Kleut,,Head Waiter Speakeasy,Supporting Cast
22,Kim Knuckey,,Senator Gulick,Supporting Cast
23,Barrie Laws,,Party Guest,Supporting Cast
24,Mark Lemon,,The Professor,Supporting Cast
25,John Maumau,,The Boxer,Supporting Cast
26,Brendan MacLean,,Klipspringer,Supporting Cast
27,Callan McAuliffe,,Teen Jay Gatsby,Supporting Cast
28,Ben McIvor,,Clerk-Probity Trust,Supporting Cast
29,Hamish Michael,,Clerk-Probity Trust,Supporting Cast
30,Brian Rooney,,Clerk-Probity Trust,Supporting Cast
31,Kevin McGlothan,,Footman,Supporting Cast
32,Nick Meenahan,,Train Conductor,Supporting Cast
33,Olga Miller,,Russian Silent Film Actress,Supporting Cast
34,Heather Mitchell,,Daisy's Mother,Supporting Cast
35,Gus Murray,,Teddy Barton,Supporting Cast
36,Kate Mulvany,,Mrs. McKee,Supporting Cast
37,Barry Otto,,Benny McClenahan,Supporting Cast
38,John O'Connell,,Newton Orchid,Supporting Cast
39,Corey Blake Owers,,Louisville Officer,Supporting Cast
