,0,1,2,type
0,Vera Farmiga,,Lorraine Warren,Leading Cast
0,Patrick Wilson,,Ed Warren,Supporting Cast
1,Lili Taylor,,Carolyn Perron,Supporting Cast
2,Ron Livingston,,Roger Perron,Supporting Cast
3,Shanley Caswell,,Andrea,Supporting Cast
4,Hayley McFarland,,Nancy,Supporting Cast
5,Joey King,,Christine,Supporting Cast
6,Mackenzie Foy,,Cindy,Supporting Cast
7,Kyla Deaver,,April,Supporting Cast
8,Shannon Kook,,Drew,Supporting Cast
9,John Brotherton,,Brad,Supporting Cast
10,Sterling Jerins,,Judy Warren,Supporting Cast
11,Marion Guyot,,Georgiana,Supporting Cast
12,Morganna Bridgers,,Debbie,Supporting Cast
13,Amy Tipton,,Camilla,Supporting Cast
14,Kymour Kennedy,,Student #1,Supporting Cast
15,Sean Flynn,,Student #2,Supporting Cast
16,Ashley White,,Female Student,Supporting Cast
17,Zach Pappas,,Rick,Supporting Cast
18,Arnell Powell,,Reporter,Supporting Cast
19,Joseph Bishara,,Bathsheba,Supporting Cast
20,Rose Bachtel,,Leah,Supporting Cast
21,J. Donovan Nelson,,David,Supporting Cast
22,Christof Veillon,,Maurice,Supporting Cast
23,George T. Zervos,,Catholic Priest,Supporting Cast
24,Carmella Gioio,,Mrs. Walker,Supporting Cast
25,Steve Coulter,,Father Gordon,Supporting Cast
26,Desi Domo,,Suicide Maid,Supporting Cast
0,James Wan,,Director,Production and Technical Credits
1,Chad Hayes,,Screenwriter,Production and Technical Credits
2,Carey Hayes,,Screenwriter,Production and Technical Credits
3,Tony DeRosa-Grund,,Producer,Production and Technical Credits
4,Peter Safran,,Producer,Production and Technical Credits
5,Rob Cowan,,Producer,Production and Technical Credits
6,Walter Hamada,,Executive Producer,Production and Technical Credits
7,Dave Neustadter,,Executive Producer,Production and Technical Credits
8,John R. Leonetti,,Director of Photography,Production and Technical Credits
9,Julie Berghoff,,Production Designer,Production and Technical Credits
10,Kirk Morri,,Editor,Production and Technical Credits
11,Joseph Bishara,,Composer,Production and Technical Credits
12,Anne McCarthy,,Casting Director,Production and Technical Credits
13,Kellie Gesel,,Casting Director,Production and Technical Credits
14,Kristen M. Burke,,Costume Designer,Production and Technical Credits
15,Joel Kramer,,Stunt Coordinator,Production and Technical Credits
16,Norbet Phillips,,Stunt Coordinator,Production and Technical Credits
17,Christopher V. Bromley,,Unit Production Manager,Production and Technical Credits
18,Albert Cho,,First Assistant Director,Production and Technical Credits
19,Jeff Bilger,,Second Assistant Director,Production and Technical Credits
20,Geoffrey S. Grimsman,,Art Director,Production and Technical Credits
21,Sophie Neudorfer,,Set Decorator,Production and Technical Credits
22,Carl Rudsill,,Sound Mixer,Production and Technical Credits
23,Jason Leib,,Post-Production Supervisor,Production and Technical Credits
24,Steve Maslow,,Re-recording Mixer,Production and Technical Credits
25,Gregg Landaker,,Re-recording Mixer,Production and Technical Credits
26,Joe Dzuban,,Sound Designer,Production and Technical Credits
27,Joe Dzuban,,Supervising Sound Editor,Production and Technical Credits
28,Bruce Tanis,,Sound Effects Editor,Production and Technical Credits
29,Joe Tsai,,Sound Effects Editor,Production and Technical Credits
30,Justin Dzuban,,Dialogue Editor,Production and Technical Credits
31,Daniel Laurie,,Dialogue Editor,Production and Technical Credits
32,Lise Richardson,,Music Editor,Production and Technical Credits
33,Janet Ingram,,Costume Supervisor,Production and Technical Credits
34,Eleanor Sabaduquia,,Make Up Department Head,Production and Technical Credits
35,Rick Pour,,Key Make Up Artist,Production and Technical Credits
36,Justin Raleigh,,Special Make-up Effects,Production and Technical Credits
37,Yesim Osman,,Hair Department Head,Production and Technical Credits
38,David Beavis,,Special Effects Supervisor,Production and Technical Credits
