,0,1,2,type
0,Jason Bateman,,Sandy Patterson,Leading Cast
1,Melissa McCarthy,,Diana,Leading Cast
0,Jon Favreau,,Harold Cornish,Supporting Cast
1,Amanda Peet,,Trish Patterson,Supporting Cast
2,"Tip ""T.I."" Harris",,Julian,Supporting Cast
3,Genesis Rodriguez,,Marisol,Supporting Cast
4,Morris Chestnut,,Detective Reilly,Supporting Cast
5,John Cho,,Daniel Casey,Supporting Cast
6,Robert Patrick,,Skiptracer,Supporting Cast
7,Eric Stonestreet,,Big Chuck,Supporting Cast
8,Jonathan Banks,,Paul,Supporting Cast
9,Ryan Gaul,,Bartender,Supporting Cast
10,Steve Mallory,,Party Guy,Supporting Cast
11,Tyler Nilson,,Party Guy,Supporting Cast
12,Steve Little,,Party Guy's Buddy,Supporting Cast
13,Andrew Friedman,,Tequila Guys,Supporting Cast
14,Antwan Mills,,Winter Park Cops,Supporting Cast
15,Iann Quinn,,Winter Park Cops,Supporting Cast
16,Diva Tyler,,Booking Officer,Supporting Cast
17,Mary-Charles Jones,,Franny Patterson,Supporting Cast
18,Maggie Elizabeth Jones,,Jessie Patterson,Supporting Cast
19,Sope Aluko,,Secretary at Prominence Denver,Supporting Cast
20,Brett Baker,,Alec,Supporting Cast
21,Nevaina,,Cosmetics Girl,Supporting Cast
22,Diolita Arnold,,Cosmetic Girl,Supporting Cast
23,Jamie Moore,,Electronics Store Employee,Supporting Cast
24,Brenda Cannon,,Jewelry Store Salesperson,Supporting Cast
25,Badar Shahid,,Cellphone Kiosk Salesman,Supporting Cast
26,Carlos Navarro,,Luis Gas Station Attendant,Supporting Cast
27,Nelson Bonella,,Cop Giving Traffic Ticket,Supporting Cast
28,Angelyn Pass,,New Catalyst Receptionist,Supporting Cast
29,Lori Beth Edgeman,,Arlene in the Lady's Choice Salon,Supporting Cast
30,Ben Falcone,,Tony/Motel Desk Clerk,Supporting Cast
31,Kate Graham,,Counter Girl,Supporting Cast
32,Deacon Dawson,,Witness on Highway,Supporting Cast
33,Geordie White,,Traffic Stop,Supporting Cast
34,Steve Witting,,Carl/Bus Station Attendant,Supporting Cast
35,Tim Amdrews,,Used Car Salesman,Supporting Cast
36,Gary Weeks,,Security Guard - Prominence Offices,Supporting Cast
37,Matthew Burke,,Ken Talbott,Supporting Cast
38,Craig A. Meyer,,St. Louis Terrace Clerk,Supporting Cast
39,Lee Spencer,,St. Louis Terrace Manager,Supporting Cast
40,Topher Payne,,Hairdresser,Supporting Cast
41,Carmela Zumbado,,Salon Salesperson,Supporting Cast
42,Zeeky Minnis,,Salon Salesperson,Supporting Cast
43,John Eddins,,St. Louis Cop,Supporting Cast
44,Dale W. Bernhard,,St. Louis Cop,Supporting Cast
45,Nicole Dukes,,Prison Guard,Supporting Cast
0,Seth Gordon,,Director,Production and Technical Credits
1,Craig Mazin,,Screenwriter,Production and Technical Credits
2,Jerry Eeten,,Story Creator,Production and Technical Credits
3,Craig Mazin,,Story by,Production and Technical Credits
4,Scott Stuber,,Producer,Production and Technical Credits
5,Jason Bateman,,Producer,Production and Technical Credits
6,Pamela Abdy,,Producer,Production and Technical Credits
7,Peter Morgan,,Executive Producer,Production and Technical Credits
8,Dan Kolsrud,,Executive Producer,Production and Technical Credits
9,Javier Aguirresarobe,,Cinematographer,Production and Technical Credits
10,Shepherd Frankel,,Production Designer,Production and Technical Credits
11,Peter Teschner,,Editor,Production and Technical Credits
12,Carol Ramsey,,Costume Designer,Production and Technical Credits
13,Dana Sano,,Music Supervisor,Production and Technical Credits
14,Christopher Lennertz,,Composer,Production and Technical Credits
15,Lisa Beach,,Casting,Production and Technical Credits
16,Sarah Katzman,,Casting Director,Production and Technical Credits
17,Marcei A. Brown,,Unit Production Manager,Production and Technical Credits
18,Dan Kolsrud,,Unit Production Manager,Production and Technical Credits
19,Darin Rivetti,,First Assistant Director,Production and Technical Credits
20,Andrew Max Cahn,,Art Director,Production and Technical Credits
21,Calla Klessig,,Assistant Art Director,Production and Technical Credits
22,Sean Jennings,,Assistant Art Director,Production and Technical Credits
23,Maria Nay,,Set Decorator,Production and Technical Credits
24,James Tocci,,Set Decorator,Production and Technical Credits
25,Gary Hymes,,Stunt Coordinator,Production and Technical Credits
