,0,1,2,type
0,Kristen Bell,,Anna,Lead Ensemble Members
1,Idina Menzel,,Elsa,Lead Ensemble Members
2,Jonathan Groff,,Kristoff,Lead Ensemble Members
3,Josh Gad,,Olaf,Lead Ensemble Members
4,Santino Fontana,,Hans,Lead Ensemble Members
5,Alan Tudyk,,Duke of Weselton,Lead Ensemble Members
0,Ciaran Hinds,,Pabbie/Grandpa,Supporting Cast
1,Chris Williams,,Oaken,Supporting Cast
0,Chris Buck,,Director,Production and Technical Credits
1,Jennifer Lee,,Director,Production and Technical Credits
2,Jennifer Lee,,Screenwriter,Production and Technical Credits
3,Peter Del Vecho,,Producer,Production and Technical Credits
4,John Lasseter,,Executive Producer,Production and Technical Credits
5,Kristen Anderson-Lopez,,Original Songs,Production and Technical Credits
6,Robert Lopez,,Original Songs,Production and Technical Credits
7,Christophe Beck,,Composer,Production and Technical Credits
8,Jeff Draheim,,Editor,Production and Technical Credits
9,Chris Buck,,Story Creator,Production and Technical Credits
10,Jennifer Lee,,Story Creator,Production and Technical Credits
11,Shane Morris,,Story Creator,Production and Technical Credits
12,Scott Beattie,,Layout,Production and Technical Credits
13,Mohit Kallianpur,,Lighting,Production and Technical Credits
14,Tom MacDougall,,Music Supervisor,Production and Technical Credits
15,Chris Montan,,Executive Music Producer,Production and Technical Credits
16,David Womersley,,Production Designer,Production and Technical Credits
17,Michael Giaimo,,Art Director,Production and Technical Credits
18,Steve Goldberg,,Visual Effects Supervisor,Production and Technical Credits
19,Paul Briggs,,Head of Story,Production and Technical Credits
20,Lino Di Salvo,,Head of Animation,Production and Technical Credits
21,Mark Hammel,,Technical Supervisor,Production and Technical Credits
22,Frank Hanner,,Character CG Supervisor,Production and Technical Credits
23,Chad Stubblefield,,Modeling Supervisor,Production and Technical Credits
24,Jon Kim Krummell II,,Modeling Supervisor,Production and Technical Credits
25,Michelle Lee Robinson,,Look Supervisor,Production and Technical Credits
26,Hans-Joerg E. Keim,,Look Supervisor,Production and Technical Credits
27,Keith Wilson,,Character TD Supervisor,Production and Technical Credits
28,Carlos Cabral,,Character TD Supervisor,Production and Technical Credits
29,Mark Empey,,Technical Animation Supervisor,Production and Technical Credits
30,Rebecca Wilson Bresee,,Animation Supervisor,Production and Technical Credits
31,Hyrum Virl Osmond,,Animation Supervisor,Production and Technical Credits
32,"Malcon G. Pierce, III",,Animation Supervisor,Production and Technical Credits
33,Odin Benitez,,Supervising Sound Editor,Production and Technical Credits
34,Odin Benitez,,Sound Designer,Production and Technical Credits
35,David E. Fluhr,,Re-recording Mixer,Production and Technical Credits
36,Gabriel Guy,,Re-recording Mixer,Production and Technical Credits
37,Katie A. Fico,,Stereoscopic Supervisor,Production and Technical Credits
38,Aimee Scribner,,Associate Producer,Production and Technical Credits
39,Jamie Sparer Roberts,,Casting Director,Production and Technical Credits
40,Mark A. Williams,,Animation,Production and Technical Credits
