,0,1,2,type
0,Henry Cavill,,Clark Kent/Kal-El,Leading Cast
1,Michael Shannon,,General Zod,Leading Cast
0,Amy Adams,,Lois Lane,Supporting Cast
1,Kevin Costner,,Jonathan Kent,Supporting Cast
2,Diane Lane,,Martha Kent,Supporting Cast
3,Laurence Fishburne,,Perry White,Supporting Cast
4,Russell Crowe,,Jor-El,Supporting Cast
5,Antje Traue,,Faora-Ul,Supporting Cast
6,Harry J. Lennix,,General Swanwick,Supporting Cast
7,Richard Schiff,,Dr. Emil Hamilton,Supporting Cast
8,Christopher Meloni,,Colonel Nathan Hardy,Supporting Cast
9,Ayelet Zurer,,Lara Lor-Van,Supporting Cast
10,Dylan Sprayberry,,Clark Kent (13 Years),Supporting Cast
11,Cooper Timberline,,Clark Kent (9-Years),Supporting Cast
12,Richard Cetrone,,Tor-An,Supporting Cast
13,Mackenzie Gray,,Jax-Ur,Supporting Cast
14,Julian Richings,,Lor-Em,Supporting Cast
15,Mary Black,,Ro-Zar,Supporting Cast
16,Samantha Jo,,Car-Vex,Supporting Cast
17,Michael Kelly,,Steve Lombard,Supporting Cast
18,Rebecca Buller,,Jenny,Supporting Cast
19,Christina Wren,,Major Carrie Farris,Supporting Cast
20,David Lewis,,Major Laramore,Supporting Cast
21,Tahmoh Penikett,,Jed Eubanks,Supporting Cast
22,Doug Abrahams,,Heraldson,Supporting Cast
23,Brad Kelly,,Byrne,Supporting Cast
24,David Paetkau,,Northcom Threat Analyst,Supporting Cast
25,Elizabeth Thai,,Northcom Threat Analyst,Supporting Cast
26,Ian Rozylo,,Northcom Threat Analyst,Supporting Cast
27,Alessandro Juliani,,Officer Sekowsky,Supporting Cast
28,Kwesi Ameyaw,,Canadian Airman,Supporting Cast
29,Mike Dopud,,Canadian Airman,Supporting Cast
30,Jack Foley,,Teenage Pete Ross,Supporting Cast
31,Jadin Gould,,Lana Lang,Supporting Cast
32,Robert Gerdisch,,Whitney Fordham,Supporting Cast
33,Ryan Mitchell,,Bus Boy,Supporting Cast
34,Alexa Gengelbach,,Bus Girl,Supporting Cast
35,Caroline Thomas,,Bus Girl,Supporting Cast
36,Stephanie Song,,Bus Girl,Supporting Cast
37,Coburn Goss,,Father Leone,Supporting Cast
38,Lesley Bevan,,Ms. Rampling,Supporting Cast
39,Chad Krowchuk,,Glen Woodburn,Supporting Cast
40,Ian Tracey,,Ludlow,Supporting Cast
41,Carmen Lavigne,,Chrissy-Waitress,Supporting Cast
42,Howard Siegel,,Weaver,Supporting Cast
43,Heidi Kettenring,,Helen Ross,Supporting Cast
44,Justin Butler,,Student,Supporting Cast
45,Jacqueline Scislowski,,Student,Supporting Cast
46,Daniel Coonley,,Student,Supporting Cast
47,Sally Elting,,Student,Supporting Cast
48,Joseph Cranford,,Pere Ross,Supporting Cast
49,Clint Carleton,,Roughneck,Supporting Cast
50,Mark Gibbon,,Roughneck,Supporting Cast
51,Stuart Ambrose,,A-10 Pilot,Supporting Cast
52,Tom Nagel,,A-10 Pilot,Supporting Cast
53,Jackson Berlin,,F-35 Pilot,Supporting Cast
54,George Canyon,,F-35 Pilot,Supporting Cast
55,Kyle Riefsnyder,,Little Bird Gunship Pilot,Supporting Cast
56,Aaron Smolinski,,Communications Officer,Supporting Cast
57,Carla Gugino,,Voice of Kelor,Supporting Cast
58,Bruce Bohne,,Ace O'Clubs Bartender,Supporting Cast
59,Rowen Kahn,,Ken Braveman,Supporting Cast
60,Robert Moloney,,News Show Host,Supporting Cast
61,Sean Campbell,,Bar Buddy,Supporting Cast
62,Aaron Pearl,,Bar Buddy,Supporting Cast
63,Rebecca Spence,,Young Mother,Supporting Cast
64,Joe Minoso,,Metropolis Policeman,Supporting Cast
65,Brian King,,Train Station Family (Father),Supporting Cast
66,Madison Moran,,Train Station Family (Daughter),Supporting Cast
67,Gabe Darley,,Train Station Family (Son),Supporting Cast
68,Bridgett Newton,,Train Station Family (Mother),Supporting Cast
69,Revard Dufresne,,Dev-Em,Supporting Cast
70,Apollonia Vanova,,Nadia,Supporting Cast
71,Dan Aho,,FBI Agent,Supporting Cast
72,Ronald W. Gibbs,,FBI Agent,Supporting Cast
73,Christopher Palermo,,Sergeant Vance,Supporting Cast
74,Edmundo Raul Sanchez,,Smallville Gas Station Attendant,Supporting Cast
75,Nicolas W. Von Zill,,Council Member,Supporting Cast
76,Allison Crowe,,Singer at Cassidy,Supporting Cast
77,Nick Touchie,,Coastal Villager,Supporting Cast
78,Eileen Touchie,,Coastal Villager,Supporting Cast
79,Malcolm Scott,,Tractor Repair Shop Owner,Supporting Cast
0,Zack Snyder,,Director,Production and Technical Credits
1,Charles Roven,,Producer,Production and Technical Credits
2,Christopher Nolan,,Producer,Production and Technical Credits
3,Emma Thomas,,Producer,Production and Technical Credits
4,Deborah Snyder,,Producer,Production and Technical Credits
5,David S. Goyer,,Screenwriter,Production and Technical Credits
6,David S. Goyer,,Story Creator,Production and Technical Credits
7,Christopher Nolan,,Story Creator,Production and Technical Credits
8,Thomas Tull,,Executive Producer,Production and Technical Credits
9,Lloyd Phillips,,Executive Producer,Production and Technical Credits
10,Jon Peters,,Executive Producer,Production and Technical Credits
11,Jerry Siegel,,Character Creator,Production and Technical Credits
12,Joe Shuster,,Character Creator,Production and Technical Credits
13,Amir Mokri,,Director of Photography,Production and Technical Credits
14,Alex McDowell,,Production Designer,Production and Technical Credits
15,David Brenner,,Editor,Production and Technical Credits
16,Hans Zimmer,,Composer,Production and Technical Credits
17,James Acheson,,Costume Designer,Production and Technical Credits
18,Michael Wilkinson,,Costume Designer,Production and Technical Credits
19,Wesley Coller,,Co-Producer,Production and Technical Credits
20,John 'DJ' DesJardin,,Visual Effects Supervisor,Production and Technical Credits
21,Lora Kennedy,,Casting Director,Production and Technical Credits
22,Kristy Carlson,,Casting Director,Production and Technical Credits
23,Lloyd Phillips,,Unit Production Manager,Production and Technical Credits
24,Jim Rowe,,Unit Production Manager,Production and Technical Credits
25,Gregor Wilson,,Unit Production Manager,Production and Technical Credits
26,Bruce G. Moriarty,,First Assistant Director,Production and Technical Credits
27,Misha Bukowski,,Second Assistant Director,Production and Technical Credits
28,Steve Battaglia,,Second Assistant Director,Production and Technical Credits
29,Josh R. Jaggars,,Visual Effects Producer,Production and Technical Credits
30,Damon Caro,,Second Unit Director,Production and Technical Credits
31,Damon Caro,,Stunt Coordinator,Production and Technical Credits
32,Andrea Wertheim,,Post-Production Supervisor,Production and Technical Credits
33,Sean Santiago,,Stereoscopic Supervisor,Production and Technical Credits
34,Curt Kanemoto,,Associate Producer,Production and Technical Credits
35,Scott Hecker,,Sound Designer,Production and Technical Credits
36,Eric A. Norris,,Sound Designer,Production and Technical Credits
37,Chris Jenkins,,Re-recording Mixer,Production and Technical Credits
38,Frank A. Montano,,Re-recording Mixer,Production and Technical Credits
39,Kim Sinclair,,Supervising Art Director,Production and Technical Credits
40,Chris Farmer,,Art Director,Production and Technical Credits
41,Anne Kuljian,,Set Decorator,Production and Technical Credits
42,Carlos Castillon,,Assistant Director,Production and Technical Credits
43,Tyler Ruocco,,Assistant Director,Production and Technical Credits
44,Cassie Dixon,,Assistant Director,Production and Technical Credits
45,Matthew Magnolia,,Visual Effects Supervisor,Production and Technical Credits
46,Michael McGee,,Sound Mixer,Production and Technical Credits
47,Todd Toon,,Sound Effects Editor,Production and Technical Credits
48,Byron Wilson,,Dialogue Editor,Production and Technical Credits
49,Chris Castaldi,,First Assistant Director-Visual Effects Unit,Production and Technical Credits
