,0,1,2,type
0,Sandra Bullock,,Ryan Stone,Leading Cast
1,George Clooney,,Matt Kowalski,Leading Cast
0,Ed Harris,,Mission Control Voice,Supporting Cast
1,Orto Ignatiussen,,Aningaaq,Supporting Cast
2,Phaldut Sharma,,Shariff Voice,Supporting Cast
3,Amy Warren,,Explorer Captain Voice,Supporting Cast
4,Basher Savage,,Russian Space Station Voice,Supporting Cast
0,Alfonso Cuarón,,Director,Production and Technical Credits
1,Alfonso Cuarón,,Producer,Production and Technical Credits
2,David Heyman,,Producer,Production and Technical Credits
3,Alfonso Cuarón,,Screenwriter,Production and Technical Credits
4,Jonas Cuaron,,Screenwriter,Production and Technical Credits
5,Chris de Faria,,Executive Producer,Production and Technical Credits
6,Nikki Penny,,Executive Producer,Production and Technical Credits
7,Stephen Jones,,Executive Producer,Production and Technical Credits
8,Emmanuel Lubezki,,Director of Photography,Production and Technical Credits
9,Andy Nicholson,,Production Designer,Production and Technical Credits
10,Alfonso Cuarón,,Editor,Production and Technical Credits
11,Mark Sanger,,Editor,Production and Technical Credits
12,Tim Webber,,Visual Effects Supervisor,Production and Technical Credits
13,Jany Temime,,Costume Designer,Production and Technical Credits
14,Steven Price,,Composer,Production and Technical Credits
15,Franklin Henson,,Stunt Coordinator,Production and Technical Credits
16,Josh Robertson,,First Assistant Director,Production and Technical Credits
17,Gabriela Rodriguez,,Associate Producer,Production and Technical Credits
18,David Shirk,,Senior Animation Supervisor,Production and Technical Credits
19,Richard McBride,,Visual Effects Supervisor,Production and Technical Credits
20,Charles Howell,,Visual Effects Producer,Production and Technical Credits
21,Max Solomon,,Animation Supervisor,Production and Technical Credits
22,Glenn Freemantle,,Supervising Sound Editor,Production and Technical Credits
23,Glenn Freemantle,,Sound Designer,Production and Technical Credits
24,Skip Lievsay,,Re-recording Mixer,Production and Technical Credits
25,Tania Goding,,First Assistant Director,Production and Technical Credits
26,Christopher Benstead,,Music Editor,Production and Technical Credits
27,George Drakoulias,,Music Supervisor,Production and Technical Credits
28,Niv Adiri,,Re-recording Mixer,Production and Technical Credits
29,Niv Adiri,,Sound Design Editor,Production and Technical Credits
30,Chris Munro,,Sound Mixer,Production and Technical Credits
31,Anna Panton,,Visual Effects Production Manager,Production and Technical Credits
32,Lucinda Syson,,Casting,Production and Technical Credits
33,David Rubin,,Casting,Production and Technical Credits
34,Richard Hicks,,Casting,Production and Technical Credits
35,Marianne Jenkins,,Post-Production Executive,Production and Technical Credits
36,Emma Zee,,Post-Production Supervisor,Production and Technical Credits
37,Rosie Goodwin,,Set Decorator,Production and Technical Credits
38,Joanne Woollard,,Set Decorator,Production and Technical Credits
39,Chris Lawrence,,CG Supervisor,Production and Technical Credits
40,Neil Corbould,,Special Effects Supervisor,Production and Technical Credits
