,0,1,2,type
0,Martin Freeman,,Bilbo Baggins,Leading Cast
0,Ian McKellen,,Gandalf,Supporting Cast
1,Richard Armitage,,Thorin,Supporting Cast
2,Ken Stott,,Balin,Supporting Cast
3,Graham McTavish,,Dwalin,Supporting Cast
4,William Kircher,,Bifur,Supporting Cast
5,James Nesbitt,,Bofur,Supporting Cast
6,Stephen Hunter,,Bombur,Supporting Cast
7,Dean O'Gorman,,Fili,Supporting Cast
8,Aidan Turner,,Kili,Supporting Cast
9,John Callen,,Oin,Supporting Cast
10,Peter Hambleton,,Gloin,Supporting Cast
11,Jed Brophy,,Nori,Supporting Cast
12,Mark Hadlow,,Dori,Supporting Cast
13,Adam Brown,,Ori,Supporting Cast
14,Orlando Bloom,,Legolas,Supporting Cast
15,Evangeline Lilly,,Tauriel,Supporting Cast
16,Lee Pace,,Thranduil,Supporting Cast
17,Cate Blanchett,,Galadriel,Supporting Cast
18,Benedict Cumberbatch,,Smaug,Supporting Cast
19,Mikael Persbrandt,,Beorn,Supporting Cast
20,Sylvester McCoy,,Radagast,Supporting Cast
21,Luke Evans,,Bard,Supporting Cast
22,Stephen Fry,,Master of Laketown,Supporting Cast
23,Ryan Gage,,Alfrid,Supporting Cast
24,John Bell,,Bain,Supporting Cast
25,Peggy Nesbitt,,Sigrid,Supporting Cast
26,Mary Nesbitt,,Tilda,Supporting Cast
27,Manu Bennett,,Azog,Supporting Cast
28,Lawrence Makoare,,Bolg,Supporting Cast
29,Ben Mitchell,,Narzug,Supporting Cast
30,Stephen Ure,,Fimbul,Supporting Cast
31,Craig Hall,,Galion,Supporting Cast
32,Robin Kerr,,Elros,Supporting Cast
33,Eli Kent,,Lethuin,Supporting Cast
34,Simon London,,Feren,Supporting Cast
35,Brian Sergent,,Spider,Supporting Cast
36,Peter Vere-Jones,,Spider,Supporting Cast
37,Mark Mitchinson,,Braga,Supporting Cast
38,Kelly Kilgour,,Soury,Supporting Cast
39,Sarah Peirse,,Hilda Bianca,Supporting Cast
40,Nick Blake,,Percy,Supporting Cast
41,Dallas Barnett,,Bill Ferny SNR,Supporting Cast
42,Matt Smith,,Squint,Supporting Cast
43,Katie Jackson,,Betsy Butterbur,Supporting Cast
44,Richard Whiteside,,Butterbur SNR,Supporting Cast
45,Greg Ellis,,Net Mender,Supporting Cast
46,Ray Henwood,,Old Fisherman,Supporting Cast
47,Tim Gordon,,Stallkeeper,Supporting Cast
48,Jabez Olssen,,Fish Monger,Supporting Cast
49,Stephen Colbert,,Laketown Spy,Supporting Cast
50,Evelyn McGee-Colbert,,Laketown Spy,Supporting Cast
51,Peter Colbert,,Laketown Spy,Supporting Cast
52,John Colbert,,Laketown Spy,Supporting Cast
53,Norman Kali,,Laketown Spy,Supporting Cast
54,Carter Nixon,,Laketown Spy,Supporting Cast
55,Zane Weiner,,Laketown Spy,Supporting Cast
56,Allan Smith,,ORC Underling,Supporting Cast
0,Peter Jackson,,Director,Production and Technical Credits
1,Fran Walsh,,Screenwriter,Production and Technical Credits
2,Philippa Boyens,,Screenwriter,Production and Technical Credits
3,Peter Jackson,,Screenwriter,Production and Technical Credits
4,Guillermo del Toro,,Screenwriter,Production and Technical Credits
5,J.R.R. Tolkien,,Story Creator,Production and Technical Credits
6,Carolynne Cunningham,,Producer,Production and Technical Credits
7,Zane Weiner,,Producer,Production and Technical Credits
8,Fran Walsh,,Producer,Production and Technical Credits
9,Peter Jackson,,Producer,Production and Technical Credits
10,Alan Horn,,Executive Producer,Production and Technical Credits
11,Toby Emmerich,,Executive Producer,Production and Technical Credits
12,Ken Kamins,,Executive Producer,Production and Technical Credits
13,Carolyn Blackwood,,Executive Producer,Production and Technical Credits
14,Dan Hennah,,Production Designer,Production and Technical Credits
15,Jabez Olssen,,Editor,Production and Technical Credits
