,0,1,2,type
0,Vin Diesel,,Dominic Toretto,Leading Cast
1,Michelle Rodriguez,,Letty,Leading Cast
2,Paul Walker,,Brian O'Conner,Leading Cast
3,Dwayne Johnson,,Hobbs,Leading Cast
4,Jordana Brewster,,Mia,Leading Cast
0,Tyrese Gibson,,Roman,Supporting Cast
1,Sung Kang,,Han,Supporting Cast
2,Gal Gadot,,Gisele,Supporting Cast
3,Chris ‘Ludacris’ Bridges,,Tej,Supporting Cast
4,Luke Evans,,Shaw,Supporting Cast
5,Elsa Pataky,,Elena,Supporting Cast
6,Gina Carano,,Riley,Supporting Cast
7,Clara Paget,,Vegh,Supporting Cast
8,Kim Kold,,Klaus,Supporting Cast
9,Joe Taslim,,Jah,Supporting Cast
10,Samuel Stewart,,Danlinger,Supporting Cast
11,Benjamin Davies,,Adolfson,Supporting Cast
12,Matthew Stirling,,Oakes,Supporting Cast
13,David Ajala,,Ivory,Supporting Cast
14,Thure Lindhardt,,Firuz,Supporting Cast
15,Shea Whigham,,Stasiak,Supporting Cast
16,Andrei Zayats,,Russian Officer,Supporting Cast
17,John Ortiz,,Braga,Supporting Cast
18,Jason Thorpe,,Snobby Autioneer Oranizer,Supporting Cast
19,Huggy Leaver,,Pawn Shop Owner,Supporting Cast
20,Alexander Vegh,,Forensic Analyst,Supporting Cast
21,Stephen Marcus,,Davies,Supporting Cast
22,Magda Rodriguez,,Secretary,Supporting Cast
23,Andy Pointon,,Terry,Supporting Cast
24,Victor Gardener,,NATO Commander,Supporting Cast
25,Sol De La Barreda,,Doctor,Supporting Cast
26,Estrella Lorenzo,,Nurse,Supporting Cast
27,Francois Philppart De Foy,,Nurse,Supporting Cast
28,Carolina Pozo,,Nurse,Supporting Cast
29,Elvira Tricas,,Nurse,Supporting Cast
30,Jhony Mendez,,Santago,Supporting Cast
31,Revil Beat,,Benito,Supporting Cast
32,Sarah Li,,Lead Chinese Agent,Supporting Cast
33,Lizandro Leon,,Costa Rica Happy Man,Supporting Cast
34,Sonia Hern,,Hot Girl,Supporting Cast
35,Ndez Fumero,,Hot Girl,Supporting Cast
36,Pilar Mayo,,Hot Girl,Supporting Cast
0,Justin Lin,,Director,Production and Technical Credits
1,Chris Morgan,,Screenwriter,Production and Technical Credits
2,Gary Scott Thompson,,Character Creator,Production and Technical Credits
3,Neal H. Moritz,,Producer,Production and Technical Credits
4,Vin Diesel,,Producer,Production and Technical Credits
5,Clayton Townsend,,Producer,Production and Technical Credits
6,Justin Lin,,Executive Producer,Production and Technical Credits
7,Amanda Lewis,,Executive Producer,Production and Technical Credits
8,Samantha Vincent,,Executive Producer,Production and Technical Credits
9,Chris Morgan,,Executive Producer,Production and Technical Credits
10,Stephen F. Windon,,Cinematographer,Production and Technical Credits
11,Jan Roelfs,,Production Designer,Production and Technical Credits
12,Christian Wagner,,Editor,Production and Technical Credits
13,Kelly Matsumoto,,Editor,Production and Technical Credits
14,Sanja Milkovic Hays,,Costume Designer,Production and Technical Credits
15,Lucas Vidal,,Composer,Production and Technical Credits
16,Lucinda Syson,,Casting,Production and Technical Credits
17,David Vickery,,Visual Effects Supervisor,Production and Technical Credits
18,Kelvin McIlwain,,Visual Effects Supervisor,Production and Technical Credits
19,Simon Emanuel,,Unit Production Manager,Production and Technical Credits
20,Clayton Townsend,,Unit Production Manager,Production and Technical Credits
21,Vincent Lascoumes,,First Assistant Director,Production and Technical Credits
22,Christophe Le Chanu,,Second Assistant Director,Production and Technical Credits
23,Greg Powell,,Supervising Stunt Coordinator,Production and Technical Credits
24,Sarah Franzl,,Assistant Stunt Coordinator,Production and Technical Credits
25,Troy Robinson,,Stunt Coordinator/Dom Stunt Double,Production and Technical Credits
26,Olivier Schneider,,Fight Choreographer,Production and Technical Credits
27,Spiro Razatos,,Second Unit Director/Stunt Coordinator,Production and Technical Credits
28,Kevin Elam,,Visual Effects Producer,Production and Technical Credits
29,Leigh Folsom-Boyd,,Editor,Production and Technical Credits
30,Greg D'Auria,,Editor,Production and Technical Credits
31,James Hambidge,,Supervising Art Director,Production and Technical Credits
32,Les Tomkins,,Senior Art Director,Production and Technical Credits
33,Stuart Rose,,Senior Art Director,Production and Technical Credits
34,Guy Bradley,,Art Director,Production and Technical Credits
35,Toby Britton,,Art Director,Production and Technical Credits
36,Gavin Fitch,,Art Director,Production and Technical Credits
37,Huw Arthur,,Standby Art Director,Production and Technical Credits
38,Richard Roberts,,Set Decorator,Production and Technical Credits
39,Sophie Hervieu,,Assistant Set Decorator,Production and Technical Credits
40,Igor Meglic,,Second Unit Camera,Production and Technical Credits
41,Andy Gill,,Stunt Coordinator-Second Unit,Production and Technical Credits
