,0,1,2,type
0,Andy Serkis,,Caesar,Leading Cast
0,Jason Clarke,,Malcolm,Supporting Cast
1,Gary Oldman,,Dreyfus,Supporting Cast
2,Keri Russell,,Ellie,Supporting Cast
3,Toby Kebbell,,Koba,Supporting Cast
4,Kodi Smit-McPhee,,Alexander,Supporting Cast
5,Enrique Murciano,,Kempt,Supporting Cast
6,Kirk Acevedo,,Carver,Supporting Cast
7,Judy Greer,,Cornelia,Supporting Cast
8,Karin Konoval,,Maurice,Supporting Cast
9,Terry Notary,,Rocket,Supporting Cast
10,Kevin Rankin,,McVeigh,Supporting Cast
11,Keir O'Donnell,,Finney,Supporting Cast
12,J.D. Evermore,,Sniper,Supporting Cast
13,Doc Shaw,,Ash,Supporting Cast
14,Nick Thurston,,River,Supporting Cast
0,Matt Reeves,,Director,Production and Technical Credits
1,Mark Bomback,,Screenwriter,Production and Technical Credits
2,Rich Jaffa,,Screenwriter,Production and Technical Credits
3,Amanda Silver,,Screenwriter,Production and Technical Credits
4,Peter Chernin,,Producer,Production and Technical Credits
5,Dylan Clark,,Producer,Production and Technical Credits
6,Rick Jaffa,,Producer,Production and Technical Credits
7,Amanda Silver,,Producer,Production and Technical Credits
8,Mark Bomback,,Executive Producer,Production and Technical Credits
9,Thomas M. Hammel,,Executive Producer,Production and Technical Credits
10,Michael Seresin,,Director of Photography,Production and Technical Credits
11,James Chinlund,,Production Designer,Production and Technical Credits
12,William Hoy,,Editor,Production and Technical Credits
13,Stan Salfas,,Editor,Production and Technical Credits
14,Michael Giacchino,,Composer,Production and Technical Credits
15,Joe Letteri,,Visual Effects Supervisor,Production and Technical Credits
16,Rick Jaffa,,Character Creator,Production and Technical Credits
17,Amanda Silver,,Character Creator,Production and Technical Credits
18,Naaman Marshall,,Art Director,Production and Technical Credits
19,Amanda Moss Serino,,Set Decorator,Production and Technical Credits
20,Melissa Bruning,,Costume Designer,Production and Technical Credits
21,Ed White,,Sound Mixer,Production and Technical Credits
22,Douglas Murray,,Supervising Sound Editor,Production and Technical Credits
23,Will Files,,Supervising Sound Editor,Production and Technical Credits
24,Andy Nelson,,Re-recording Mixer,Production and Technical Credits
25,Will Files,,Re-recording Mixer,Production and Technical Credits
26,Dan Lemmon,,Visual Effects Supervisor,Production and Technical Credits
27,Weta Digital,,Visual Effects,Production and Technical Credits
28,Jennifer Teaves,,Associate Producer,Production and Technical Credits
29,Mathew Dunne,,Assistant Director,Production and Technical Credits
30,Brad Parker,,Second Unit Director,Production and Technical Credits
31,Gary Powell,,Second Unit Director,Production and Technical Credits
32,Gary Capo,,Second Unit Camera,Production and Technical Credits
33,Debra Zane,,Casting Director,Production and Technical Credits
34,Charles Croughwell,,Stunt Coordinator,Production and Technical Credits
35,Marny Eng,,Stunt Coordinator,Production and Technical Credits
36,Terry Notary,,Stunt Coordinator,Production and Technical Credits
37,Mildred Iatrou Morgan*,,Dialogue Supervisor,Production and Technical Credits
38,Daniel Barrett,,Animation Supervisor,Production and Technical Credits
39,Erik Winquist,,Visual Effects Supervisor,Production and Technical Credits
