,0,1,2,type
0,Jennifer Lawrence,,Katniss Everdeen,Leading Cast
0,Josh Hutcherson,,Peeta Mellark,Supporting Cast
1,Liam Hemsworth,,Gale Hawthorne,Supporting Cast
2,Woody Harrelson,,Haymitch Abernathy,Supporting Cast
3,Elizabeth Banks,,Effie Trinket,Supporting Cast
4,Julianne Moore,,President Coin,Supporting Cast
5,Philip Seymour Hoffman,,Plutarch Heavensbee,Supporting Cast
6,Jeffrey Wright,,Beetee,Supporting Cast
7,Stanley Tucci,,Ceasar Flickerman,Supporting Cast
8,Donald Sutherland,,President Snow,Supporting Cast
9,Willow Shields,,Primrose Everdeen,Supporting Cast
10,Sam Claflin,,Finnick Odair,Supporting Cast
11,Mahershala Ali,,Boggs,Supporting Cast
12,Jena Malone,,Johanna Mason,Supporting Cast
13,Paula Malcomson,,Katniss' Mother,Supporting Cast
14,Natalie Dormer,,Cressida,Supporting Cast
15,Evan Ross,,Messalla,Supporting Cast
16,Elden Henson,,Pollux,Supporting Cast
17,Wes Chatham,,Castor,Supporting Cast
18,Sarita Choudhury,,Egeria,Supporting Cast
19,Stef Dawson,,Annie Cresta,Supporting Cast
20,Patina Miller,,Commander Paylor,Supporting Cast
21,Robert Knepper,,Antonius,Supporting Cast
22,Caitlin Fowler,,D8 Another Patient,Supporting Cast
23,Jada Taylor,,D8 Female Patient,Supporting Cast
24,Nicholas Pryor,,D8 Male Patient,Supporting Cast
25,Donna Biscoe,,D8 Old Woman,Supporting Cast
26,Michael Garza,,Eddy,Supporting Cast
27,Erika Bierman,,Snow's Granddaughter,Supporting Cast
28,Jenique Bennett,,Rescue Hovercraft Pilot,Supporting Cast
29,Rus Blackwell,,D13 Systems Operator,Supporting Cast
30,Stevie Ray Dallimore,,D13 Systems Operator #2,Supporting Cast
31,Breann Couch,,D13 Systems Operator #3,Supporting Cast
32,Jordan Woods-Robinson,,Snow's Stylist #1,Supporting Cast
33,Katie Sawhill,,Orderly,Supporting Cast
34,Jackson Mizell,,Bunker Door Security,Supporting Cast
35,Charles Kronmuller,,Pilot #1,Supporting Cast
0,Francis Lawrence,,Director,Production and Technical Credits
1,Danny Strong,,Screenwriter,Production and Technical Credits
2,Peter Craig,,Screenwriter,Production and Technical Credits
3,Suzanne Collins,,Story Creator,Production and Technical Credits
4,Nina Jacobson,,Producer,Production and Technical Credits
5,Jon Kilik,,Producer,Production and Technical Credits
6,Suzanne Collins,,Executive Producer,Production and Technical Credits
7,Jan Foster,,Executive Producer,Production and Technical Credits
8,Joe Drake,,Executive Producer,Production and Technical Credits
9,Allison Shearmur,,Executive Producer,Production and Technical Credits
10,Jo Willems,,Director of Photography,Production and Technical Credits
11,Philip Messina,,Production Designer,Production and Technical Credits
12,Alan Edward Bell,,Editor,Production and Technical Credits
13,Mark Yoshikawa,,Editor,Production and Technical Credits
14,Kurt and Bart,,Costume Designer,Production and Technical Credits
15,Charles Gibson,,Visual Effects Supervisor,Production and Technical Credits
16,James Newton Howard,,Composer,Production and Technical Credits
17,Debra Zane,,Casting Director,Production and Technical Credits
18,Mika Saito,,Production Supervisor,Production and Technical Credits
19,Cameron MacConomy,,Associate Producer,Production and Technical Credits
20,Larry Dias,,Set Decorator,Production and Technical Credits
21,Dan Webster,,Supervising Art Director,Production and Technical Credits
22,Andrew Max Cahn,,Art Director,Production and Technical Credits
23,Priscilla Elliott,,Art Director,Production and Technical Credits
24,Lauren Polizzi,,Art Director,Production and Technical Credits
25,Sean Ryan Jennings,,Assistant Art Director,Production and Technical Credits
26,Justin Miller,,Assistant Art Director,Production and Technical Credits
27,Murray Close,,Additional Photography-Still Photographer,Production and Technical Credits
28,Jennifer Vecchiarello,,Associate Editor,Production and Technical Credits
29,Lauren Clark Carroll,,First Assistant Editor,Production and Technical Credits
30,Lara Khachooni,,Assistant Editor,Production and Technical Credits
31,Madelaine Jereczek,,Assistant Editor,Production and Technical Credits
32,Tom Reagan,,Visual Effects Editor,Production and Technical Credits
33,Alan McCurdy,,Assistant Visual Effects Editor,Production and Technical Credits
34,Micah Wolf,,Apprentice Editor,Production and Technical Credits
35,Skip Lievsay,,Supervising Sound Editor,Production and Technical Credits
36,Jeremy Peirson,,Supervising Sound Editor,Production and Technical Credits
37,Lee Gilmore,,Sound Effects Editor,Production and Technical Credits
38,Skip Lievsay,,Re-recording Mixer,Production and Technical Credits
39,Jeremy Peirson,,Re-recording Mixer,Production and Technical Credits
40,Jeffrey Harlacker,,Post-Production Supervisor,Production and Technical Credits
41,Walter Garcia,,Visual Effects Producer,Production and Technical Credits
42,Chrysta Burton,,Associate Visual Effects Producer,Production and Technical Credits
43,Ana Maria Quintana,,Script Supervisor,Production and Technical Credits
44,Jose Antonio Garcia,,Sound Mixer,Production and Technical Credits
45,Shayna Markowitz,,Casting Associate,Production and Technical Credits
46,Bridget Cohen,,Casting Assistant,Production and Technical Credits
47,Samy Burch,,Local Casting Associate,Production and Technical Credits
48,Alex Marden,,Local Casting Assistant,Production and Technical Credits
49,Rose Locke,,Extras Casting,Production and Technical Credits
50,Jamie Lynn Catrett,,Extras Casting,Production and Technical Credits
51,Katie Lawson,,Extras Casting Assistant,Production and Technical Credits
52,Ressie Burtley,,Extras Casting Assistant,Production and Technical Credits
53,Robert Fechtman,,Set Designer,Production and Technical Credits
54,Jim Hewitt,,Set Designer,Production and Technical Credits
55,Karl Martin,,Set Designer,Production and Technical Credits
56,Easton Smith,,Set Designer,Production and Technical Credits
57,Jim Tocci,,Set Designer,Production and Technical Credits
58,Ernie Avila,,Set Designer,Production and Technical Credits
59,Al Hobbs,,Set Designer,Production and Technical Credits
60,George Lee-McDonnell,,Set Designer,Production and Technical Credits
61,Steve Cremin,,Special Effects Coordinator,Production and Technical Credits
62,William D. Lee,,Assistant Special Effects Coordinator,Production and Technical Credits
63,Mark A. Peterson,,Costume Supervisor,Production and Technical Credits
64,Ve Neill,,Make up,Production and Technical Credits
65,Nikoletta Skarlatos,,Make up,Production and Technical Credits
66,Conor McCullagh,,Make up,Production and Technical Credits
67,Kris Evans,,Background Make up Supervisor,Production and Technical Credits
68,"Glenn Hetrick's Optic Nerve Studios, Inc.",,"Special Makeup Effects, Prosthetics Creator",Production and Technical Credits
69,Camille Friend,,Hairstylist,Production and Technical Credits
70,Kim Santantonio,,Hairstylist,Production and Technical Credits
71,Barbara Cantu,,Hairstylist,Production and Technical Credits
72,Sam Hargrave,,Stunt Coordinator/Fight Coordinator,Production and Technical Credits
73,R.A. Rondell,,Supervising Stunt Coordinator,Production and Technical Credits
74,Philippe Guegan,,Stunt Coordinator (Paris),Production and Technical Credits
