,0,1,2,type
0,Chris Pratt,,Peter Quill,Lead Ensemble Members
1,Zoe Saldana,,Gamora,Lead Ensemble Members
2,Dave Bautista,,Drax,Lead Ensemble Members
3,Vin Diesel,,Groot,Lead Ensemble Members
4,Bradley Cooper,,Rocket,Lead Ensemble Members
0,Lee Pace,,Ronan,Supporting Cast
1,Michael Rooker,,Yondu Udonta,Supporting Cast
2,Karen Gillan,,Nebula,Supporting Cast
3,Djimon Hounsou,,Korath,Supporting Cast
4,John C. Reilly,,Corpsman Dey,Supporting Cast
5,Glenn Close,,Nova Prime,Supporting Cast
6,Benicio del Toro,,The Collector,Supporting Cast
7,Laura Haddock,,Meredith Quill,Supporting Cast
8,Sean Gunn,,Kraglin/On Set Rocket,Supporting Cast
9,Peter Serafinowicz,,Denarian Saal,Supporting Cast
10,Christopher Fairbank,,The Broker,Supporting Cast
11,Krystian Godlewski,,On Set Groot,Supporting Cast
12,Wyatt Oleff,,Young Quill,Supporting Cast
13,Gregg Henry,,Grandpa,Supporting Cast
14,Janis Ahern,,Meredith's Mother,Supporting Cast
15,Solomon Mousley,,Meredith's Brother,Supporting Cast
16,Lindsay Morton,,Meredith's Best Friend,Supporting Cast
17,Robert Firth,,Dr. Fitzgibbon,Supporting Cast
18,Melia Kreiling,,Bereet,Supporting Cast
19,Tom Proctor,,Horuz,Supporting Cast
20,Nick Holmes,,Horuz' Mate,Supporting Cast
21,Max Wrottesley,,Sacrificed Nova Corpsman,Supporting Cast
22,Nicole Alexandria Shipley,,Pretty Xandarian,Supporting Cast
23,Sharif Atkins,,Nova Arresting Pilot,Supporting Cast
24,Brendan Fehr,,Corpsman Dey's Partner,Supporting Cast
25,Tomas Arana,,Kree Ambassador,Supporting Cast
26,Mikaela Hoover,,Nova Prime's Assistant,Supporting Cast
27,Emmett J. Scanlan,,Head Riot Guard,Supporting Cast
28,Dominic Grant,,Angry Guard,Supporting Cast
29,Spencer Wilding,,Mean Guard,Supporting Cast
30,Alison Lintott,,Sad Woman With Horns,Supporting Cast
31,Alexis Rodney,,Moloka Dar,Supporting Cast
32,Nathan Fillion,,Montrous Inmate,Supporting Cast
33,Keeley Forsyth,,Mottled Prisoner,Supporting Cast
34,Frank Gilhooley,,Burly Prisoner,Supporting Cast
35,Alexis Denisof,,The Other,Supporting Cast
36,Enzo Cilenti,,Watchtower Guard,Supporting Cast
37,Richard Katz,,One Legged Prisoner,Supporting Cast
38,Enoch Frost,,Rifle Guard,Supporting Cast
39,Ronan Summers,,"""Drop The Leg"" Guard",Supporting Cast
40,Ophelia Lovibond,,Carina,Supporting Cast
41,Laura Ortiz,,Tortured Pink Girl,Supporting Cast
42,Marama Corlett,,Pit Boss,Supporting Cast
43,Rosie Jones,,Lady of the Boot of Jemiah,Supporting Cast
44,Abidemi Sobande,,Lady of the Boot of Jemiah,Supporting Cast
45,Alex Rose,,Lady of the Boot of Jemiah,Supporting Cast
46,Ekaterina Zalitko,,Lady of the Boot of Jemiah,Supporting Cast
47,Emily Redding,,Lady of the Boot of Jemiah,Supporting Cast
48,Fred Fred,,Cosmo the Space Dog,Supporting Cast
49,Stephen Blackehart,,Knowhere Dispatcher,Supporting Cast
50,Jennifer Moylan-Taylor,,Sad Krylorian Girl,Supporting Cast
51,Bruce MacKinnon,,One-Eyed Ravager,Supporting Cast
52,Ralph Ineson,,Ravager Pilot,Supporting Cast
53,Rob Zombie,,Ravager Navigator Voice,Supporting Cast
54,Naomi Ryan,,Nova Centurion,Supporting Cast
55,John Brotherton,,Nova Starblaster Pilot,Supporting Cast
56,Graham Shiels,,Alien Nova Pilot,Supporting Cast
57,James Gunn,,Maskless Sakaaran,Supporting Cast
58,Douglas Robson,,Maskless Sakaaran,Supporting Cast
59,Rachel Cullen,,Corpsman Dey's Wife,Supporting Cast
60,Isabella Poynton,,Corpsman Dey's Daughter,Supporting Cast
61,Imogen Poynton,,Corpsman Dey's Daughter,Supporting Cast
62,David Yarovesky,,Goth Ravager,Supporting Cast
63,Miriam Lucia,,Crying Xandarian Citizen,Supporting Cast
0,Stan Lee,,Xandarian Ladie's Man,Cameos
0,James Gunn,,Director,Production and Technical Credits
1,James Gunn,,Screenwriter,Production and Technical Credits
2,Nicole Perlman,,Screenwriter,Production and Technical Credits
3,Kevin Feige,,Producer,Production and Technical Credits
4,Louis D’Esposito,,Executive Producer,Production and Technical Credits
5,Alan Fine,,Executive Producer,Production and Technical Credits
6,Victoria Alonso,,Executive Producer,Production and Technical Credits
7,Jeremy Latcham,,Executive Producer,Production and Technical Credits
8,Nik Korda,,Executive Producer,Production and Technical Credits
9,Stan Lee,,Executive Producer,Production and Technical Credits
10,David J. Grant,,Co-Producer,Production and Technical Credits
11,Jonathan Schwartz,,Co-Producer,Production and Technical Credits
12,Ben Davis,,Director of Photography,Production and Technical Credits
13,Charles Wood,,Production Designer,Production and Technical Credits
14,Fred Raskin,,Editor,Production and Technical Credits
15,Craig Wood,,Editor,Production and Technical Credits
16,Hughes Winborne,,Editor,Production and Technical Credits
17,Alexandra Byrne,,Costume Designer,Production and Technical Credits
18,Stephane Ceretti,,Visual Effects Supervisor,Production and Technical Credits
19,Susan Pickett,,Visual Effects Producer,Production and Technical Credits
20,Tyler Bates,,Composer,Production and Technical Credits
21,Dave Jordan,,Music Supervisor,Production and Technical Credits
22,Sarah Halley Finn,,Casting Director,Production and Technical Credits
23,Hermione Ninnim,,Unit Production Manager,Production and Technical Credits
24,Nik Korda,,Unit Production Manager,Production and Technical Credits
25,Jamie Christopher,,First Assistant Director,Production and Technical Credits
26,Jamie Christopher,,Associate Producer,Production and Technical Credits
27,Matthew Sharp,,Second Assistant Director,Production and Technical Credits
28,Olivier Dumont,,Associate Visual Effects Supervisor,Production and Technical Credits
29,Christopher Boyes,,Supervising Sound Editor,Production and Technical Credits
30,Christopher Boyes,,Sound Designer,Production and Technical Credits
31,Matthew Wood,,Supervising Sound Editor,Production and Technical Credits
32,Lora Hirschberg,,Re-recording Mixer,Production and Technical Credits
33,Christopher Boyes,,Re-recording Mixer,Production and Technical Credits
34,Peter MacDonald,,Second Unit Director,Production and Technical Credits
35,Jonathan Taylor,,Second Unit Director,Production and Technical Credits
36,Thomas Robinson Harper,,Stunt Coordinator,Production and Technical Credits
37,James Young,,Stunt Coordinator-Fight Coordinator,Production and Technical Credits
38,Raymond Chan,,Supervising Art Director,Production and Technical Credits
39,Mike Stallion,,Art Director,Production and Technical Credits
40,Mark Swain,,Art Director,Production and Technical Credits
41,Tom Brown,,Art Director,Production and Technical Credits
42,Jordan Crockett,,Art Director,Production and Technical Credits
43,Paula Casarin,,Script Supervisor,Production and Technical Credits
44,Jennifer Wood,,Assistant Script Supervisor,Production and Technical Credits
45,Jesse Torres,,Post-Production Supervisor,Production and Technical Credits
46,Meagan Costello,,First Assistant Editor,Production and Technical Credits
47,Simon Morgan,,First Assistant Editor,Production and Technical Credits
48,John Breinholt,,First Assistant Editor,Production and Technical Credits
49,Emma McCleave,,First Assistant Editor-UK,Production and Technical Credits
50,Ben Renton,,Second Assistant Editor-UK,Production and Technical Credits
51,Louise Horishny,,Third Assistant Editor-UK,Production and Technical Credits
52,Chris Tonick,,Assistant Editor,Production and Technical Credits
53,Dylan Quirt,,Assistant Editor,Production and Technical Credits
54,Heather Mullen,,Assistant Editor,Production and Technical Credits
55,Todd Felderstein,,Assistant Editor,Production and Technical Credits
56,Steve Durkee,,Supervising Music Editor,Production and Technical Credits
57,Darrell Hall,,Music Editor,Production and Technical Credits
58,Will Kaplan,,Music Editor,Production and Technical Credits
59,Nashia Wachsman,,Music Editor,Production and Technical Credits
60,Simon Hayes,,Sound Mixer,Production and Technical Credits
61,Ricky Davis,,Lighting Technician,Production and Technical Credits
62,Tim Neill,,Lighting Technician,Production and Technical Credits
63,Jack Ridout,,Lighting Technician,Production and Technical Credits
64,Terence Townsend,,Lighting Technician,Production and Technical Credits
65,William Finch,,Lighting Technician,Production and Technical Credits
66,Andrew Purdy,,Lighting Technician,Production and Technical Credits
67,Patrick O'Flynn,,Lighting Technician,Production and Technical Credits
68,Dan Grace,,Costume Supervisor,Production and Technical Credits
69,Elizabeth Yianni-Georgiou,,Make up,Production and Technical Credits
70,Andrew Simonin,,Hairstylist,Production and Technical Credits
71,Richard Roberts,,Set Decorator,Production and Technical Credits
72,David White,,Special Makeup Effects Designer,Production and Technical Credits
73,Nicolas Aithadi,,Visual Effects Supervisor,Production and Technical Credits
74,Jonathan Fawkner,,Visual Effects Supervisor,Production and Technical Credits
75,Paul Corbould,,SFX Supervisor,Production and Technical Credits
76,Brad Semenoff,,Dialogue/ADR Editor,Production and Technical Credits
