,0,1,2,type
0,Chris Evans,,Captain America/Steve Rogers,Lead Ensemble Members
1,Scarlett Johansson,,Natasha Romanoff/Black Widow,Lead Ensemble Members
2,Sebastian Stan,,Bucky Barnes/Winter Soldier,Lead Ensemble Members
3,Robert Redford,,Agent Alexander Pierce,Lead Ensemble Members
4,Samuel L. Jackson,,Nick Fury,Lead Ensemble Members
0,Anthony Mackie,,Sam Wilson/Falcon,Supporting Cast
1,Cobie Smulders,,Agent Maria Hill,Supporting Cast
2,Frank Grillo,,Brock Rumlow,Supporting Cast
3,Emily VanCamp,,Agent 13,Supporting Cast
4,Hayley Atwell,,Peggy Carter,Supporting Cast
5,Georges St-Pierre,,Georges Batroc,Supporting Cast
6,Toby Jones,,Arnim Zola,Supporting Cast
7,Maximiliano Hernández,,Agent Jasper Sitwell,Supporting Cast
8,Callan Mulvey,,Jack Rollins,Supporting Cast
9,Jenny Agutter,,Councilwoman Hawley,Supporting Cast
10,Bernard White,,Councilman Singh,Supporting Cast
11,Alan Dale,,Councilman Rockwell,Supporting Cast
12,Chin Han,,Councilman Yen,Supporting Cast
13,Garry Shandling,,Senator Stern,Supporting Cast
14,Salvator Xuereb,,French Pirate #1,Supporting Cast
15,Brian Duffy,,French Pirate #2,Supporting Cast
16,Zack Duhame,,Engine Pirate,Supporting Cast
17,Adetokumboh M'Cormack,,French Radio Pirate,Supporting Cast
18,Christopher George Sarris,,Skinny Steve,Supporting Cast
19,Aaron Himelstein,,Launch Tech #1,Supporting Cast
20,Allan Chanes,,Launch Tech #2,Supporting Cast
21,Gozie Agbo,,Dr. Fine,Supporting Cast
22,Christopher Markus,,SHIELD Interrogator #1,Supporting Cast
23,Stephen McFeely,,SHIELD Interrogator #2,Supporting Cast
24,Pat Healy,,Scientist #1,Supporting Cast
25,Ed Brubaker,,Scientist #2,Supporting Cast
26,D.C. Pierson,,Apple Employee,Supporting Cast
27,Danny Pudi,,Com Tech #1,Supporting Cast
28,Bernie Zilinskas,,Com Tech #2,Supporting Cast
29,Branka Katic,,Renata,Supporting Cast
30,Angela Russo-Otstot,,Garcia,Supporting Cast
31,Jon Sklaroff,,Charlie XO,Supporting Cast
32,Chad Todhunter,,Charlie Weapons Tech,Supporting Cast
33,Abigail Marlowe,,SHIELD Tech,Supporting Cast
34,Jeremy Maxwell,,Lead SHIELD Pilot,Supporting Cast
35,Emerson Brooks,,Senior SHIELD Agent,Supporting Cast
36,Evan Parke,,SHIELD Agent,Supporting Cast
37,Ricardo Chacon,,Strike SGT. #1,Supporting Cast
38,Griffin M. Allen,,Strike SGT. #2,Supporting Cast
39,Ann Russo,,Strike Agent,Supporting Cast
40,Joe Rosalina,,Strike Agent,Supporting Cast
41,Michael Debeljak,,Strike Agent,Supporting Cast
42,Eddie J. Fernandez,,Strike Agent,Supporting Cast
43,Jody Hart,,25th Floor Strike Agent,Supporting Cast
44,Steven Culp,,Scudder,Supporting Cast
45,Derek Hughes,,Human Resources Executive,Supporting Cast
46,Wendy Hoopes,,Doctor,Supporting Cast
47,Ethan Rains,,Lead EMT,Supporting Cast
