,0,1,2,type
0,Chris Pratt,,Emmet,Lead Ensemble Members
1,Will Ferrell,,President Business,Lead Ensemble Members
2,Elizabeth Banks,,Wyldstyle/Lucy,Lead Ensemble Members
3,Will Arnett,,Batman,Lead Ensemble Members
4,Alison Brie,,Uni-Kitty,Lead Ensemble Members
5,Charlie Day,,Spaceman Benny,Lead Ensemble Members
6,Morgan Freeman,,Vitruvius,Lead Ensemble Members
7,Jonah Hill,,Green Lantern,Lead Ensemble Members
8,Channing Tatum,,Superman,Lead Ensemble Members
9,Cobie Smulders,,Wonder Woman,Lead Ensemble Members
0,Nick Offerman,,Craggy,Supporting Cast
1,Liam Neeson,,Bad Cop/Good Cop,Supporting Cast
2,Craig Berry,,Blake,Supporting Cast
3,Amanda Farinos,,Mom,Supporting Cast
4,Keith Ferguson,,Han Solo,Supporting Cast
5,Orville Forte,,Abraham Lincoln,Supporting Cast
6,Dave Franco,,Wally,Supporting Cast
7,Todd Hansen,,Gandalf,Supporting Cast
8,Jake Johnson,,Barry,Supporting Cast
9,Keegan-Michael Key,,Foreman Jim,Supporting Cast
10,Kelly Lafferty,,Lord Business' Assistant,Supporting Cast
11,Chris McKay,,Larry the Barista,Supporting Cast
12,Christopher Miller,,TV Presenter,Supporting Cast
13,Graham Miller,,Duplo,Supporting Cast
14,Doug Nicholas,,Surfer Dave,Supporting Cast
15,Chris Romano,,Joe,Supporting Cast
16,Chris Paluszek,,Robot Foreman,Supporting Cast
17,Jadon Sand,,Finn,Supporting Cast
18,Melissa Sturm,,Gail/Ma Cop,Supporting Cast
19,Jorma Taccone,,Shakespeare,Supporting Cast
20,Billy Dee Williams,,Lando,Supporting Cast
21,Leiki Veskimets,,Voice of Computer,Supporting Cast
22,Anthony Daniels,,C-3PO,Supporting Cast
23,David Burrows,,Octan Robot,Supporting Cast
0,Shaquille O'Neal,,Shaq,Cameos
0,Phil Lord,,Director,Production and Technical Credits
1,Christopher Miller,,Director,Production and Technical Credits
2,Dan Lin,,Producer,Production and Technical Credits
3,Roy Lee,,Producer,Production and Technical Credits
4,Phil Lord,,Screenwriter,Production and Technical Credits
5,Christopher Miller,,Screenwriter,Production and Technical Credits
6,Dan Hageman,,Story Creator,Production and Technical Credits
7,Kevin Hageman,,Story Creator,Production and Technical Credits
8,Phil Lord,,Story Creator,Production and Technical Credits
9,Christopher Miller,,Story Creator,Production and Technical Credits
10,Jill Wilfert,,Executive Producer,Production and Technical Credits
11,Matthew Ashton,,Executive Producer,Production and Technical Credits
12,Kathleen Fleming,,Executive Producer,Production and Technical Credits
13,Allison Abbate,,Executive Producer,Production and Technical Credits
14,Zareh Nalbandian,,Executive Producer,Production and Technical Credits
15,Jon Burton,,Executive Producer,Production and Technical Credits
16,Benjamin Melniker,,Executive Producer,Production and Technical Credits
17,Michael E. Uslan,,Executive Producer,Production and Technical Credits
18,Seanne Winslow,,Executive Producer,Production and Technical Credits
19,James Packer,,Executive Producer,Production and Technical Credits
20,Steven Mnuchin,,Executive Producer,Production and Technical Credits
21,Matt Skiena,,Executive Producer,Production and Technical Credits
22,Bruce Berman,,Executive Producer,Production and Technical Credits
23,Pablo Plaisted,,Cinematographer,Production and Technical Credits
24,Grant Freckelton,,Production Designer,Production and Technical Credits
25,David Burrows,,Editor,Production and Technical Credits
26,Chris McKay,,Editor,Production and Technical Credits
27,Mark Mothersbaugh,,Composer,Production and Technical Credits
28,John Powers Middleton,,Co-Producer,Production and Technical Credits
29,Chris McKay,,Animation Co-Director,Production and Technical Credits
30,Amber Naismith,,Associate Producer,Production and Technical Credits
31,Will Allegra,,Associate Producer,Production and Technical Credits
32,David Siegel,,Unit Production Manager,Production and Technical Credits
33,Steve Day,,Assistant Director,Production and Technical Credits
34,Cara McCastlain,,Assistant Director,Production and Technical Credits
35,Wayne Pashley,,Supervising Sound Editor,Production and Technical Credits
36,Wayne Pashley,,Sound Designer,Production and Technical Credits
37,"Robert Fisher, Jr.",,Additional Editor,Production and Technical Credits
38,Mary Hidalgo,,Casting Director,Production and Technical Credits
