,0,1,2,type
0,Martin Freeman,,Bilbo,Leading Cast
0,Ian McKellen,,Gandalf the Grey,Supporting Cast
1,Richard Armitage,,Thorin Oakenshield,Supporting Cast
2,Evangeline Lilly,,Tauriel,Supporting Cast
3,Lee Pace,,Thranduil,Supporting Cast
4,Luke Evans,,Bard,Supporting Cast
5,Benedict Cumberbatch,,Smaug/Necromancer,Supporting Cast
6,Ken Stott,,Balin,Supporting Cast
7,James Nesbitt,,Bofur,Supporting Cast
8,Cate Blanchett,,Galadriel,Supporting Cast
9,Ian Holm,,Old Bilbo,Supporting Cast
10,Christopher Lee,,Saruman,Supporting Cast
11,Hugo Weaving,,Elrond,Supporting Cast
12,Orlando Bloom,,Legolas,Supporting Cast
13,Stephen Fry,,Master of Laketown,Supporting Cast
14,John Bell,,Bain,Supporting Cast
15,Manu Bennett,,Azog,Supporting Cast
16,Jed Brophy,,Nori,Supporting Cast
17,Adam Brown,,Ori,Supporting Cast
18,John Callen,,Oin,Supporting Cast
19,Billy Connolly,,Dain,Supporting Cast
20,Ryan Gage,,Alfrid,Supporting Cast
21,Mark Hadlow,,Dori,Supporting Cast
22,Stephen Hunter,,Bombur,Supporting Cast
23,William Kircher,,Bifur,Supporting Cast
24,Sylvester McCoy,,Radagast,Supporting Cast
25,Graham McTavish,,Dwalin,Supporting Cast
26,Dean O'Gorman,,Fili,Supporting Cast
27,Mikael Persbrandt,,Beorn,Supporting Cast
28,Aidan Turner,,Kili,Supporting Cast
29,Peter Hambleton,,Gloin,Supporting Cast
30,Peggy Nesbitt,,Sigrid,Supporting Cast
31,Mary Nesbitt,,Tilda,Supporting Cast
32,John Tui,,Bolg,Supporting Cast
33,Mark Mitchinson,,Braga,Supporting Cast
34,Kelly Kilgour,,Soury,Supporting Cast
35,Sarah Peirse,,Hilda Bianca,Supporting Cast
36,Nick Blake,,Percy,Supporting Cast
37,Simon London,,Feren,Supporting Cast
38,Conan Stevens,,Keeper of the Dungeons,Supporting Cast
39,Allan Smith,,Ragash,Supporting Cast
40,Miranda Harcourt,,Olga,Supporting Cast
41,Thomasin McKenzie,,Astrid,Supporting Cast
42,Erin Banks,,Lobelia Sackville Baggins,Supporting Cast
43,Brian Hotter,,Otho Sackville Baggins,Supporting Cast
44,Timothy Bartlett,,Master Worrywort,Supporting Cast
45,Merv Smith,,Tosser Grubb,Supporting Cast
46,Martin Kwok,,Voice of Ragash,Supporting Cast
47,Dee Bradley Baker,,Creature Voice,Supporting Cast
48,Olof Johnsson,,Creature Voice,Supporting Cast
49,Jon Olson,,Creature Voice,Supporting Cast
50,Otep Shamaya,,Creature Voice,Supporting Cast
51,Debra Wilson,,Creature Voice,Supporting Cast
0,Peter Jackson,,Director,Production and Technical Credits
1,Fran Walsh,,Screenwriter,Production and Technical Credits
2,Philippa Boyens,,Screenwriter,Production and Technical Credits
3,Peter Jackson,,Screenwriter,Production and Technical Credits
4,Guillermo del Toro,,Screenwriter,Production and Technical Credits
5,J.R.R. Tolkien,,Story Creator,Production and Technical Credits
6,Peter Jackson,,Producer,Production and Technical Credits
7,Carolynne Cunningham,,Producer,Production and Technical Credits
8,Zane Weiner,,Producer,Production and Technical Credits
9,Fran Walsh,,Producer,Production and Technical Credits
10,Alan Horn,,Executive Producer,Production and Technical Credits
11,Tony Emmerich,,Executive Producer,Production and Technical Credits
12,Ken Kamins,,Executive Producer,Production and Technical Credits
13,Carolyn Blackwood,,Executive Producer,Production and Technical Credits
14,Andrew Lesnie,,Director of Photography,Production and Technical Credits
15,Dan Hannah,,Production Designer,Production and Technical Credits
16,Jabez Olssen,,Editor,Production and Technical Credits
17,Joe Letteri,,Special Visual Effects Supervisor,Production and Technical Credits
18,Weta Digital,,Visual Effects and Animation,Production and Technical Credits
19,Philippa Boyens,,Co-Producer,Production and Technical Credits
20,Eileen Moran,,Co-Producer,Production and Technical Credits
21,Howard Shore,,Composer,Production and Technical Credits
22,David Clayton,,Animation Supervisor,Production and Technical Credits
23,Michael Cozens,,Animation Supervisor,Production and Technical Credits
24,Aaron Gilman,,Animation Supervisor,Production and Technical Credits
25,Matthew Dravitzki,,Associate Producer,Production and Technical Credits
26,Amanda Walker,,Associate Producer,Production and Technical Credits
27,Richard Taylor,,Costume Designer,Production and Technical Credits
28,Bob Buck,,Costume Designer,Production and Technical Credits
29,Ann Maskrey,,Costume Designer,Production and Technical Credits
30,Amy Hubbard,,Casting Director-U.K. Casting,Production and Technical Credits
31,John Hubbard,,Casting Director-U.K. Casting,Production and Technical Credits
32,Victoria Burrows,,Casting Director-U.S. Casting,Production and Technical Credits
33,Scot Boland,,Casting Director-U.S. Casting,Production and Technical Credits
34,Liz Mullane,,Casting Director-New Zealand Casting,Production and Technical Credits
35,Miranda Rivers,,Casting Director-New Zealand Casting,Production and Technical Credits
36,Ann Robinson,,Casting Director-Australian Casting,Production and Technical Credits
37,Richard Taylor,,"Special Make up Effects-Armour, Weapons, Creatures and Special Make up",Production and Technical Credits
38,Eric Saindon,,Visual Effects Supervisor,Production and Technical Credits
39,R. Christopher White,,Visual Effects Supervisor,Production and Technical Credits
40,Matt Aitken,,Visual Effects Supervisor,Production and Technical Credits
41,Brigitte Yorke,,Unit Production Manager,Production and Technical Credits
42,Zane Weiner,,Unit Production Manager,Production and Technical Credits
43,Carolynne Cunningham,,Assistant Director-First Assistant Director,Production and Technical Credits
44,Andy Serkis,,Second Unit Director,Production and Technical Credits
45,Brent Burge,,Supervising Sound Editor,Production and Technical Credits
46,Jason Canovas,,Supervising Sound Editor,Production and Technical Credits
47,David Farmer,,Sound Designer,Production and Technical Credits
48,Dave Whitehead,,Sound Editor,Production and Technical Credits
49,Christopher Boyes,,Re-recording Mixer,Production and Technical Credits
50,Michael Hedges,,Re-recording Mixer,Production and Technical Credits
51,Michael Semanick,,Re-recording Mixer,Production and Technical Credits
52,Mark Willsher,,Music Editor-Supervising Music Editor,Production and Technical Credits
53,Joshua Levinson,,Post-Production Supervisor,Production and Technical Credits
54,Simon Bright,,Supervising Art Director,Production and Technical Credits
55,Andy McLaren,,Art Director,Production and Technical Credits
