,0,1,2,type
0,Mark Wahlberg,,Cade Yeager,Leading Cast
1,Nicola Peltz,,Tessa Yeager,Leading Cast
2,Jack Reynor,,Shane Dyson,Leading Cast
0,Stanley Tucci,,Joshua Joyce,Supporting Cast
1,Abigail Klein,,Joshua's Assistant,Supporting Cast
2,Robert Foxworth,,Ratchet,Supporting Cast
3,John Goodman,,Hound,Supporting Cast
4,Kelsey Grammer,,Harold Attinger,Supporting Cast
5,Ken Watanabe,,Drift,Supporting Cast
6,Titus Welliver,,James Savoy,Supporting Cast
7,Frank Welker,,Galvatron,Supporting Cast
8,Peter Cullen,,Optimus Prime,Supporting Cast
9,Mark Ryan,,Lockdown,Supporting Cast
10,Reno Wilson,,Brains,Supporting Cast
11,John DiMaggio,,Crosshairs,Supporting Cast
12,Sophia Myles,,Darcy Tirrel,Supporting Cast
13,Li Bingbing,,Su Yueming,Supporting Cast
14,T.J. Miller,,Lucas Flannery,Supporting Cast
15,Han Geng,,Convertible Passenger,Supporting Cast
16,James Bachman,,Gill Wembley,Supporting Cast
17,Thomas Lennon,,Chief of Staff,Supporting Cast
18,Charles Parnell,,CIA Director,Supporting Cast
19,Erika Fong,,CIA Analyst,Supporting Cast
20,Michael Collins,,CIA Analyst,Supporting Cast
21,Zou Shiming,,Elevator Boxer,Supporting Cast
22,Richard Riehle,,Theater Landlord,Supporting Cast
23,Patrick Bristow,,Landlord's Grandson,Supporting Cast
24,Cleo King,,Realtor,Supporting Cast
25,Calvin Wimmer,,Realtor Client,Supporting Cast
26,Glenn Keogh,,Arctic Site Foreperson,Supporting Cast
27,David Midthunder,,Arctic Site Guard,Supporting Cast
28,Richard Gallion,,Air Force Operator,Supporting Cast
29,Nick Horst,,Air Force Technician,Supporting Cast
30,Kassem Gharaibeh,,Wembley's Associate,Supporting Cast
31,Ed Welburn,,KSI Executive,Supporting Cast
32,Yanis Kalnins,,KSI Security Chief,Supporting Cast
33,Peter A. Kelly,,KSI Guard,Supporting Cast
34,Jessica Gomes,,KSI Spokesmodel,Supporting Cast
35,Andreas Beckett,,KSI Scientist,Supporting Cast
36,Alexander Leeb,,KSI Scientist,Supporting Cast
37,Jamison Haase,,KSI Robot Controller,Supporting Cast
38,Drew Wicks,,KSI Robot Controller,Supporting Cast
39,Gene Shieh,,KSI Factory Executive,Supporting Cast
40,Woei Bee,,KSI Factory Executive,Supporting Cast
41,Wang Ying,,KSI Greeter,Supporting Cast
42,William Wang,,KSI Worker,Supporting Cast
43,Melanie Sprecht,,Joshua's Assistant,Supporting Cast
44,Lin Po Hung,,Attinger's Driver,Supporting Cast
45,Kevin Covais,,Dorky Driver,Supporting Cast
46,Blair Adam Baillio,,Robot Thief,Supporting Cast
47,Mikal A. Vega,,Cemetery Wind Team,Supporting Cast
48,Andrew Arrabito,,Cemetery Wind Team,Supporting Cast
49,Michael Wong,,Hong Kong Police Chief,Supporting Cast
50,Winston Yeh Kingman,,Hong Kong Man in Suit,Supporting Cast
51,Ray Lui,,Motorcycle Owner,Supporting Cast
52,Candice Zhao,,Woman in Elevator,Supporting Cast
53,Li Jun Ting,,Hong Kong Police Officer,Supporting Cast
54,Howard Y. Woo,,Hong Kong Police Officer,Supporting Cast
55,Jingsheng Yu,,Hong Kong Police Officer,Supporting Cast
56,Zhang Tianyu,,Pangu Hotel Greeter,Supporting Cast
57,Wu Gang,,Chinese Minister of Defense,Supporting Cast
58,Teresa Daley,,Assistant to Minister of Defense,Supporting Cast
0,Michael Bay,,Director,Production and Technical Credits
1,Ehren Kruger,,Screenwriter,Production and Technical Credits
2,Lorenzo di Bonaventura,,Producer,Production and Technical Credits
3,Don Murphy,,Producer,Production and Technical Credits
4,Tom DeSanto,,Producer,Production and Technical Credits
5,Ian Bryce,,Producer,Production and Technical Credits
6,Steven Spielberg,,Executive Producer,Production and Technical Credits
7,Brian Goldner,,Executive Producer,Production and Technical Credits
8,Michael Bay,,Executive Producer,Production and Technical Credits
9,Mark Vahradian,,Executive Producer,Production and Technical Credits
10,Amir Mokri,,Director of Photography,Production and Technical Credits
11,Jeffrey Beecroft,,Production Designer,Production and Technical Credits
12,Roger Barton,,Editor,Production and Technical Credits
13,Paul Rubell,,Editor,Production and Technical Credits
14,William Goldenberg,,Editor,Production and Technical Credits
15,Steve Jablonsky,,Composer,Production and Technical Credits
16,Allegra Clegg,,Co-Producer,Production and Technical Credits
17,Matthew Cohan,,Co-Producer,Production and Technical Credits
18,K.C. Hodenfield,,Co-Producer,Production and Technical Credits
19,Michael Kase,,Co-Producer,Production and Technical Credits
20,Mark W. Mansbridge,,Supervising Art Director,Production and Technical Credits
21,Sebastian Schroeder,,Art Director,Production and Technical Credits
22,Ben Procter,,Art Director,Production and Technical Credits
23,Benjamin Edelberg,,Art Director,Production and Technical Credits
24,Stephen Cooper,,Art Director,Production and Technical Credits
25,William Ladd Skinner,,Art Director,Production and Technical Credits
26,David E. Scott,,Art Director,Production and Technical Credits
27,Rosemary Brandenberg,,Set Decorator,Production and Technical Credits
28,Marie-Sylvie Deveau,,Costume Designer,Production and Technical Credits
29,Peter J. Devlin,,Sound Mixer,Production and Technical Credits
30,Ethan Van der Ryn,,Supervising Sound Editor,Production and Technical Credits
31,Erik Aadahl,,Supervising Sound Editor,Production and Technical Credits
32,Ethan Van der Ryn,,Sound Designer,Production and Technical Credits
33,Lee Gilmore,,Sound Editor,Production and Technical Credits
34,Erik Aadahl,,Sound Designer,Production and Technical Credits
35,Greg P. Russell,,Re-recording Mixer,Production and Technical Credits
36,Scott Millan,,Re-recording Mixer,Production and Technical Credits
37,Jeffrey J. Haboush,,Re-recording Mixer,Production and Technical Credits
38,John Frazier,,Special Effects Supervisor,Production and Technical Credits
39,Scott Farrar,,Visual Effects Supervisor,Production and Technical Credits
40,Patrick Tubach,,Co-Visual Effects Supervisor,Production and Technical Credits
41,William Billheimer,,Visual Effects Producer,Production and Technical Credits
42,Scott Benza,,Animation Supervisor,Production and Technical Credits
43,Rick O’Connor,,Animation Supervisor,Production and Technical Credits
44,Regan Riskas,,Associate Producer,Production and Technical Credits
45,K.C. Hodenfield,,Assistant Director,Production and Technical Credits
46,Denise Chamian,,Casting Director,Production and Technical Credits
