,0,1,2,type
0,Hugh Jackman,,Logan / Wolverine,Leading Cast
1,James McAvoy,,Charles Xavier / Professor X,Leading Cast
2,Michael Fassbender,,Erik Lehnsherr / Magneto,Leading Cast
3,Patrick Stewart,,Charles Xavier / Professor X,Leading Cast
4,Jennifer Lawrence,,Raven Darkhölme / Mystique,Leading Cast
5,Ian McKellen,,Erik Lehnsherr / Magneto,Leading Cast
0,Halle Berry,,Ororo Munroe / Storm,Supporting Cast
1,Anna Paquin,,Marie / Rogue,Supporting Cast
2,Elliot Page,,Kitty Pryde,Supporting Cast
3,Peter Dinklage,,Bolivar Trask,Supporting Cast
4,Nicholas Hoult,,Hank McCoy/Beast,Supporting Cast
5,Omar Sy,,Bishop,Supporting Cast
6,Shawn Ashmore,,Bobby/Iceman,Supporting Cast
7,Evan Peters,,Peter Maximoff/Quicksilver,Supporting Cast
8,Daniel Cudmore,,Colossus,Supporting Cast
9,Lucas Till,,Havok,Supporting Cast
10,Fan Bingbing,,Blink,Supporting Cast
11,Booboo Stewart,,Warpath,Supporting Cast
12,Josh Helman,,Bill Stryker,Supporting Cast
13,Evan Jonigkeit,,Toad,Supporting Cast
14,Adan Canto,,Sunspot,Supporting Cast
15,Alexander Felici,,Young Mutant Scavenger,Supporting Cast
16,Mark Camacho,,President Nixon,Supporting Cast
17,Jan Gerste,,Gwen,Supporting Cast
18,Massimo Cannistraro,,Ramone,Supporting Cast
19,Mike Dopud,,Pinstripe Mafioso,Supporting Cast
20,Lee Villeneuve,,Black Coast Mafioso,Supporting Cast
21,Andreas Apergis,,Col. Sanders,Supporting Cast
22,Robert Montcalm,,Vietnam MP Guard,Supporting Cast
23,Greg Lowe,,Ink,Supporting Cast
24,Jaa Smith-Johnson,,Mutant Soldier,Supporting Cast
25,Alex Ivanovici,,Quarantine Doctor,Supporting Cast
26,Patricia Tougas,,Quarantine Nurse,Supporting Cast
27,Alain Dahan,,Quarantine Doctor #2,Supporting Cast
28,Michael Lerner,,Senator Brickman,Supporting Cast
29,Chris Claremont,,Congressman Parker,Supporting Cast
30,Len Wein,,Congressman Davis,Supporting Cast
31,Francois Paquette,,Congressman McCarter,Supporting Cast
32,Zabryna Guevara,,Trask Secretary,Supporting Cast
33,Zehra Leverman,,Ms. Maximoff,Supporting Cast
34,Angela Galuppo,,Pentagon Tour Guide,Supporting Cast
35,Milo Chang Sigel,,Pentagon Tour Boy,Supporting Cast
36,Kiana Chang Sigel,,Pentagon Young Girl,Supporting Cast
37,Kyle Gatehouse,,Pentagon Cook,Supporting Cast
38,Jean-Sebastien Cote,,Mustachioed Kitchen Guard,Supporting Cast
39,Stephane Julien,,Kitchen Guard,Supporting Cast
40,Taris Tyler,,Pentagon Elevator Guard,Supporting Cast
41,Darryl Scheelar,,Armed Kitchen Guard,Supporting Cast
42,Thai-Hoa Le,,General Nhuan,Supporting Cast
43,Johnny Tran,,Vietnamese Captain,Supporting Cast
44,Gregory Hlady,,General Petrov,Supporting Cast
45,Dan Quoc Thinh,,Vietnamese Translator,Supporting Cast
46,Vladimir Aksenov,,Russian Translator,Supporting Cast
47,Jimmy Chan,,Chinese Translator,Supporting Cast
48,Julian Casey,,Peace Summit Reporter,Supporting Cast
49,Robert Crooks,,Nixon Aide,Supporting Cast
50,Matt Cooke,,Secretary of Defense,Supporting Cast
51,Tim Post,,U.S. Army General,Supporting Cast
52,Jason Deline,,Desk Anchor,Supporting Cast
53,Karine Vanasse,,French Emergency Nurse,Supporting Cast
54,Pierre Yves Leblanc,,French TV Reporter,Supporting Cast
55,Jude Beny,,Female Traveler,Supporting Cast
56,Arthur Holden,,Blue Suit Traveler,Supporting Cast
57,Sean Curley,,Airport Backpacker,Supporting Cast
58,Susanna Fournier,,Flight Attendant,Supporting Cast
59,Andrew Peplowski,,White House Reporter,Supporting Cast
60,John Moore,,White House Lawn Reporter,Supporting Cast
61,Moe Jeudy-Lamour,,White House Ticket Man,Supporting Cast
62,Harry Standjofski,,Groundskeeper,Supporting Cast
63,Brianna Bone,,Red Haired Girl,Supporting Cast
64,Neil Napier,,Secret Service Agent,Supporting Cast
65,Jason Koehler,,White House Stage Guard,Supporting Cast
66,Miya Shelton-Contreras,,Peter's Little Sister,Supporting Cast
0,Bryan Singer,,Director,Production and Technical Credits
1,Simon Kinberg,,Screenwriter,Production and Technical Credits
2,Lauren Shuler Donner,,Producer,Production and Technical Credits
3,Hutch Parker,,Producer,Production and Technical Credits
4,Simon Kinberg,,Producer,Production and Technical Credits
5,Jane Goldman,,Story Creator,Production and Technical Credits
6,Matthew Vaughn,,Story Creator,Production and Technical Credits
7,Todd Hallowell,,Executive Producer,Production and Technical Credits
8,Josh McLaglen,,Executive Producer,Production and Technical Credits
9,Stan Lee,,Executive Producer,Production and Technical Credits
10,Newton Thomas Sigel,,Director of Photography,Production and Technical Credits
11,John Myhre,,Production Designer,Production and Technical Credits
12,John Ottman,,Editor,Production and Technical Credits
13,John Ottman,,Composer,Production and Technical Credits
14,Louise Mingenbach,,Costume Designer,Production and Technical Credits
15,Michele Laliberte,,Supervising Art Director,Production and Technical Credits
16,Caroline Alder,,Art Director,Production and Technical Credits
17,Vincent Gingras-Liberali,,Art Director,Production and Technical Credits
18,Gordon Sim,,Set Decorator,Production and Technical Credits
19,Glenn Bydwell,,Set Designer,Production and Technical Credits
20,Claude Lafrance,,Set Designer,Production and Technical Credits
21,Brent Lambert,,Set Designer,Production and Technical Credits
22,Celine Lampron,,Set Designer,Production and Technical Credits
23,Raymond Larose,,Set Designer,Production and Technical Credits
24,Veronique Meunier,,Set Designer,Production and Technical Credits
25,Guy Pigeon,,Set Designer,Production and Technical Credits
26,Alex Touikan,,Set Designer,Production and Technical Credits
27,Patrick Rousseau,,Sound Mixer,Production and Technical Credits
28,Craig Berkey,,Supervising Sound Editor,Production and Technical Credits
29,John A Larsen,,Supervising Sound Editor,Production and Technical Credits
30,Craig Berkey,,Sound Designer,Production and Technical Credits
31,Ron Bartlett,,Re-recording Mixer,Production and Technical Credits
32,D.M. Hemphill,,Re-recording Mixer,Production and Technical Credits
33,Blondel Aidoo,,Visual Effects Producer,Production and Technical Credits
34,Anders Langlands,,Visual Effects Supervisor,Production and Technical Credits
35,Lou Pecora,,Visual Effects Supervisor,Production and Technical Credits
36,Derek Spears,,Visual Effects Supervisor,Production and Technical Credits
37,Holger Voss,,Visual Effects Supervisor,Production and Technical Credits
38,Jeff Habberstad,,Stunt Coordinator,Production and Technical Credits
39,James M. Churchman,,Stunt Coordinator,Production and Technical Credits
40,Mike Scherer,,Stunt Coordinator,Production and Technical Credits
41,Nick Brandon,,Stunt Coordinator,Production and Technical Credits
42,Trevor Habberstad,,Stunt Coordinator,Production and Technical Credits
43,John D. Ross,,Stunt Coordinator,Production and Technical Credits
44,Colin Follenweider,,Stunt Coordinator,Production and Technical Credits
45,Mark Chadwick,,Stunt Coordinator,Production and Technical Credits
46,Stefan Lofgren,,Stunt Coordinator,Production and Technical Credits
47,Paul Leonard,,Stunt Coordinator,Production and Technical Credits
48,Daniel Stevens,,Fight Coordinator,Production and Technical Credits
49,Renae Moneymaker,,Fight Coordinator,Production and Technical Credits
50,Scott Willmann,,Stereoscopic Supervisor,Production and Technical Credits
51,Tom Cohen,,Associate Producer,Production and Technical Credits
52,Derek Hoffman,,Associate Producer,Production and Technical Credits
53,Kathleen McGill,,Associate Producer,Production and Technical Credits
54,Josh McLaglen,,Assistant Director,Production and Technical Credits
55,Brian Smrz,,Second Unit Director,Production and Technical Credits
56,Todd Hallowell,,Second Unit Director,Production and Technical Credits
57,Roger Mussenden,,Casting Director,Production and Technical Credits
58,Richard Stammers,,Visual Effects Supervisor,Production and Technical Credits
59,Tim Crosbie,,Visual Effects Supervisor,Production and Technical Credits
60,Cameron Waldbauer,,Special Effects Supervisor,Production and Technical Credits
61,Bethan Mowat,,Second Assistant Director,Production and Technical Credits
